year,position,fa_rank,werth,player_name,pa_ip,pool_size
2022,ALL_HIT,1,3.4115197548136966,Julio Rodriguez,560.0,401
2022,ALL_HIT,2,2.4934375901029338,Christian Walker,667.0,401
2022,ALL_HIT,4,0.755135893961115,Andres Gimenez,557.0,401
2022,ALL_HIT,8,-0.10248924900961232,Amed Rosario,670.0,401
2022,ALL_HIT,16,-2.1844233433549514,Seth Brown,555.0,401
2022,SP,1,2.330208246564065,Nestor Cortes,158.1,148
2022,SP,2,1.9530875042592588,Spencer Strider,131.2,148
2022,SP,4,1.262428331622706,Miles Mikolas,202.1,148
2022,SP,8,-0.08384646878855839,Kyle Wright,180.1,148
2022,SP,16,-1.6123591732579297,Andrew Heaney,72.2,148
2022,RP,1,1.4956389779803179,A.J. Minter,70.0,393
2022,RP,2,0.8818380621695048,Ryan Helsley,64.2,393
2022,RP,4,0.45762407021528806,Andres Munoz,65.0,393
2022,RP,8,-0.030726511694962988,Joe Mantiply,60.0,393
2022,RP,16,-0.9284485907829909,Collin McHugh,69.1,393
2023,ALL_HIT,1,3.36041419873903,Marcell Ozuna,592.0,397
2023,ALL_HIT,2,2.40774144959494,Lane Thomas,682.0,397
2023,ALL_HIT,4,0.597056503862195,Justin Turner,626.0,397
2023,ALL_HIT,8,-0.520176377268011,J.P. Crawford,638.0,397
2023,ALL_HIT,16,-2.347264066569836,Jack Suwinski,534.0,397
2023,SP,1,5.8545075025887,Zach Eflin,177.2,150
2023,SP,2,3.100565538333889,Kyle Bradish,168.2,150
2023,SP,4,1.5300529463300978,Bailey Ober,144.1,150
2023,SP,8,0.10762703096483328,Seth Lugo,146.1,150
2023,SP,16,-1.1428445403011742,Yusei Kikuchi,167.2,150
2023,RP,1,1.3250104642662262,Tanner Scott,78.0,394
2023,RP,2,0.9052856619847103,Yennier Cano,72.2,394
2023,RP,4,0.1901343858703507,Tyler Holton,85.1,394
2023,RP,8,-0.10951188088114083,Hunter Harvey,60.2,394
2023,RP,16,-0.8688581592906779,Jason Foley,69.0,394
2024,ALL_HIT,1,2.783860822191878,Jurickson Profar,668.0,404
2024,ALL_HIT,2,1.9188720300948865,Matt Chapman,647.0,404
2024,ALL_HIT,4,0.44238654860056525,Brenton Doyle,603.0,404
2024,ALL_HIT,8,-1.7969070785807566,Jonathan India,637.0,404
2024,ALL_HIT,16,-2.516005039810118,Joc Pederson,449.0,404
2024,SP,1,5.084626450049192,Shota Imanaga,173.1,177
2024,SP,2,4.455084483522011,Paul Skenes,133.0,177
2024,SP,4,3.092519864749797,Jack Flaherty,162.0,177
2024,SP,8,1.0198249093366418,Spencer Schwellenbach,123.2,177
2024,SP,16,-0.5390895202411762,Cristopher Sanchez,181.2,177
2024,RP,1,1.901434805944417,Ryan Walker,80.0,386
2024,RP,2,1.835226722859271,Nick Martinez,142.1,386
2024,RP,4,1.5944700569361006,Cade Smith,75.1,386
2024,RP,8,0.8241108998968834,Kirby Yates,61.2,386
2024,RP,16,-0.4686915924141475,Bryan Abreu,78.1,386
2025,ALL_HIT,1,5.708783558157378,George Springer,586.0,417
2025,ALL_HIT,2,5.345522016044697,Geraldo Perdomo,720.0,417
2025,ALL_HIT,4,2.9354032050665175,Trevor Story,654.0,417
2025,ALL_HIT,8,0.2528679011595905,Maikel Garcia,666.0,417
2025,ALL_HIT,16,-0.8358437113991558,Jo Adell,573.0,417
2025,SP,1,4.981270424458882,Nathan Eovaldi,130.0,172
2025,SP,2,2.251872418699439,Nick Lodolo,156.2,172
2025,SP,4,1.5634595464462928,Trevor Rogers,109.2,172
2025,SP,8,0.6686080953297087,Zack Littell,186.2,172
2025,SP,16,-0.8055082224086805,Ryan Pepiot,167.2,172
2025,RP,1,2.1579751782038423,Aroldis Chapman,61.1,395
2025,RP,2,1.177188606122891,Tyler Rogers,77.1,395
2025,RP,4,0.8932682667049245,Gabe Speier,62.0,395
2025,RP,8,-0.10705227590495847,Adrian Morejon,73.2,395
2025,RP,16,-0.49973264948872687,Tony Santillan,73.2,395
