Team,ShortName,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,OBP,SLG,OPS,wOBA,BB%,K%,BB/K,ISO,Spd,BABIP,UBR,GDPRuns,wRC,wRAA,UZR,wBsR,BaseRunning,WAR,Off,Def,wRC+,FPTS,FPTS_G,SPTS,SPTS_G,ADP,Pos,minpos,UPURL,teamid,League,PlayerName,xMLBAMID,playerids,playerid
LAD,Dodgers,152,592,696,167,84,29,4,50,135,132,95,6,166,5,4,0,15,26,4,0.282095,0.383621,0.597973,0.981594,0.411289,0.136494,0.238506,0.572289,0.315878,6.70973,0.307895,,,137.749,55.5108,0,2.38683,2.38683,6.54851,58.34892225265503,-17.5,167.841,1258.3,8.278289473,1258.3,8.278289473,999,0.91860465,DH,/players/shohei-ohtani/19755/stats/batting,22,NL,Shohei Ohtani,660271,19755,19755
NYY,Yankees,133,468,584,130,71,22,1,36,95,100,105,13,146,6,5,0,20,7,2,0.277778,0.412671,0.559829,0.9725,0.408187,0.179795,0.25,0.719178,0.282051,3.67223,0.323024,,,114.111,45.1071,4.7,-0.534718,-0.534718,6.53231,45.48370736837387,-1.7373900413513184,166.857,1008.6,7.583458646,1008.6,7.583458646,999,0.37086093,OF,/players/aaron-judge/15640/stats/batting,9,AL,Aaron Judge,592450,15640,15640
SEA,Mariners,152,538,621,120,61,21,0,38,79,103,75,6,168,5,3,0,9,6,2,0.223048,0.322061,0.473978,0.796039,0.339614,0.120773,0.270531,0.446429,0.250929,2.85959,0.244776,,,86.7667,13.3908,9.1,-0.510261,-0.510261,6.10671,17.804268717765808,20.5087308883667,125.023,797.9,5.249342105,797.9,5.249342105,999,0.23899371,C,/players/cal-raleigh/21534/stats/batting,11,AL,Cal Raleigh,663728,21534,21534
KCR,Royals,152,596,658,167,98,34,8,27,98,92,48,8,114,7,7,0,6,29,9,0.280201,0.337386,0.5,0.837386,0.352987,0.0729483,0.173252,0.421053,0.219799,7.09204,0.30303,,,99.081,21.3332,7.3,1.1571,1.1571,5.88327,20.302550077438354,14.553086757659912,124.687,932.1,6.132236842,932.1,6.132236842,999,0.02531646,SS,/players/bobby-witt-jr/25764/stats/batting,7,AL,Bobby Witt Jr.,677951,25764,25764
NYM,Mets,152,536,670,145,85,23,1,36,108,102,126,14,113,3,4,1,9,21,3,0.270522,0.409567,0.518657,0.928223,0.394418,0.18806,0.168657,1.11504,0.248134,4.821,0.278772,,,123.425,44.2593,-7.2,1.65111,1.65111,5.75688,48.561864614486694,-14.58536148071289,159.075,1105.3,7.271710526,1105.3,7.271710526,999,0.01875,OF,/players/juan-soto/20123/stats/batting,25,NL,Juan Soto,665742,20123,20123
BAL,Orioles,152,573,651,155,90,32,5,28,99,90,68,6,136,6,4,0,3,20,4,0.270506,0.351767,0.490401,0.842168,0.359153,0.104455,0.208909,0.5,0.219895,6.22275,0.307506,,,101.286,24.3648,-2.2,1.31887,1.31887,5.55807,26.942147731781006,4.97592568397522,133.395,928.3,6.107236842,928.3,6.107236842,999,0.05228758,SS,/players/gunnar-henderson/26289/stats/batting,2,AL,Gunnar Henderson,683002,26289,26289
SEA,Mariners,152,607,666,160,100,29,2,29,94,98,48,13,142,9,2,0,5,26,6,0.263591,0.325826,0.461285,0.787111,0.333082,0.0720721,0.213213,0.338028,0.197694,5.74269,0.299087,,,89.5219,10.8289,6.4,1.79226,1.79226,5.08201,17.901700615882874,8.847090005874634,120.523,860.7,5.6625,860.7,5.6625,999,0.00625,OF,/players/julio-rodriguez/23697/stats/batting,11,AL,Julio Rodríguez,677594,23697,23697
CHC,Cubs,152,558,615,144,85,28,5,26,95,93,36,2,143,9,6,6,2,31,7,0.258065,0.310345,0.46595,0.776295,0.331077,0.0585366,0.23252,0.251748,0.207885,7.4482,0.298734,,,81.6659,8.99889,13.2,2.48836,2.48836,4.98694,12.82130742073059,15.459699869155884,114.176,776.8,5.110526315,776.8,5.110526315,999,0.00636943,OF,/players/pete-crow-armstrong/27769/stats/batting,17,NL,Pete Crow-Armstrong,691718,27769,27769
ARI,Diamondbacks,152,573,661,147,80,27,12,28,114,92,71,5,136,10,5,2,3,33,6,0.256545,0.345979,0.492147,0.838125,0.356753,0.107413,0.205749,0.522059,0.235602,8.40506,0.28744,,,101.553,23.4511,6.9,3.11303,3.11303,4.85251,25.822797536849976,-0.3861551284790039,128.988,949,6.243421052,949,6.243421052,999,0.02083333,OF,/players/corbin-carroll/25878/stats/batting,15,NL,Corbin Carroll,682998,25878,25878
SDP,Padres,146,558,641,148,92,28,2,26,101,79,75,11,123,6,2,0,4,23,5,0.265233,0.357254,0.462366,0.81962,0.350739,0.117005,0.191888,0.609756,0.197133,5.65993,0.296837,,,95.3509,19.6118,9.2,1.48294,1.48294,4.85211,23.96386682987213,2.134303092956543,129.591,880.5,6.030821917,880.5,6.030821917,999,0.01290323,SS/OF,/players/fernando-tatis-jr/19709/stats/batting,29,NL,Fernando Tatis Jr.,665487,19709,19709
NYM,Mets,142,561,633,145,93,28,1,23,92,81,55,7,115,11,6,0,2,18,4,0.258467,0.333333,0.434938,0.768271,0.33019,0.0868878,0.181675,0.478261,0.176471,5.28973,0.284382,,,83.5999,8.80605,4.3,0.958476,0.958476,4.56387,12.269566714763641,11.27751350402832,115.077,775.1,5.458450704,775.1,5.458450704,999,0.0125,SS,/players/francisco-lindor/12916/stats/batting,25,NL,Francisco Lindor,596019,12916,12916
MIL,Brewers,152,566,648,151,100,31,1,19,85,80,75,17,123,3,4,0,4,6,2,0.266784,0.353395,0.425795,0.77919,0.3322,0.115741,0.189815,0.609756,0.159011,3.60051,0.308411,,,86.6387,10.0725,0.8,-0.681904,-0.681904,4.52868,9.999329209327698,12.704762279987335,113.908,793.6,5.221052631,793.6,5.221052631,999,0.14473684,C,/players/william-contreras/20503/stats/batting,23,NL,William Contreras,661388,20503,20503
TEX,Rangers,147,540,622,140,84,29,2,25,88,80,73,7,135,5,4,0,3,20,5,0.259259,0.350482,0.459259,0.809742,0.347612,0.117363,0.217042,0.540741,0.2,5.22678,0.299479,,,90.9455,17.4514,8.7,0.929154,0.929154,4.37963,19.554394245147705,1.8437385559082031,125.406,832.5,5.663265306,832.5,5.663265306,999,0,OF,/players/wyatt-langford/33333/stats/batting,13,AL,Wyatt Langford,694671,33333,33333
