Team,ShortName,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,OBP,SLG,OPS,wOBA,BB%,K%,BB/K,ISO,Spd,BABIP,UBR,GDPRuns,wRC,wRAA,UZR,wBsR,BaseRunning,WAR,Off,Def,wRC+,FPTS,FPTS_G,SPTS,SPTS_G,ADP,Pos,minpos,UPURL,teamid,League,PlayerName,xMLBAMID,playerids,playerid
NYY,Yankees,142.857,494.096,600,149.899,78.8917,25.2503,1.17536,44.5813,97.7901,107.346,96.5508,6.21274,143.502,5.15367,4.2,0,,9.93114,2.28009,0.30338,0.419339,0.629926,1.04926,0.43805,0.160918,0.239171,0.672817,0.326546,3.83013,0.339501,,,131.785,60.8904,4.28571,-0.0987305,-0.223,8.04804,60.497645899653435,-2.142857074737549,185.625,1166.6,8.158041958,1166.6,8.158041958,1.8600000143051147,0.37086093,OF,/players/aaron-judge/15640/stats/batting,9,AL,Aaron Judge,592450,15640,15640
KCR,Royals,142.857,540.348,600,158.857,92.826,33.455,4.30051,28.2751,90.0763,90.5998,49.332,3.67263,100.452,6.11988,4.2,0,,31.3051,9.37576,0.293989,0.357181,0.528804,0.885984,0.375981,0.0822199,0.16742,0.491101,0.234814,6.27979,0.314033,,,101.549,30.6541,8.82857,1.46685,1.923,6.95429,32.407346367836,15.257142543792725,142.987,930.8,6.509090909,930.8,6.509090909,3.0799999237060547,0.02531646,SS,/players/bobby-witt-jr/25764/stats/batting,7,AL,Bobby Witt Jr.,677951,25764,25764
NYM,Mets,142.857,488.159,600,141.753,80.7061,25.0258,1.43254,34.5881,93.4452,91.8764,104.584,5.22781,100.552,3.05725,4.2,0,,18.9552,6.57252,0.290382,0.415656,0.560079,0.975735,0.413936,0.174306,0.167586,1.0401,0.269697,4.56271,0.299996,,,120.038,49.1432,-2.4,-0.109412,-0.231,6.16131,48.74246495962143,-8.828571319580078,169.06,1054.9,7.376923076,1054.9,7.376923076,4.679999828338623,0.01875,OF,/players/juan-soto/20123/stats/batting,25,NL,Juan Soto,665742,20123,20123
TBR,Rays,142.857,542.948,600,164.625,96.2662,31.2377,2.04043,35.0806,87.147,99.3098,48.2522,4.25965,96.2746,4.5995,4.2,0,,5.18929,2.77772,0.303206,0.362461,0.562089,0.92455,0.390273,0.0804203,0.160458,0.501193,0.258884,3.5296,0.31156,,,108.511,37.6162,0.6,-1.05597,-1.514,6.03459,35.932498812675476,2.7428570985794067,152.805,971.4,6.793006993,971.4,6.793006993,16.65999984741211,0.03870968,3B,/players/junior-caminero/28163/stats/batting,12,AL,Junior Caminero,691406,28163,28163
SEA,Mariners,142.857,538.419,600,163.078,103.356,30.8491,2.40199,26.4708,85.0475,86.1806,48.9177,3.72313,113.704,8.46337,4.2,0,,27.4139,6.67658,0.302883,0.367432,0.516593,0.884025,0.377215,0.0815296,0.189506,0.430222,0.21371,5.73903,0.339444,,,102.15,31.255,2.31429,1.71205,2.26,5.94528,33.345311880111694,4.4571428298950195,143.835,923.2,6.455944055,923.2,6.455944055,9.529999732971191,0.00625,OF,/players/julio-rodriguez/23697/stats/batting,11,AL,Julio Rodríguez,677594,23697,23697
LAD,Dodgers,142.857,513.052,600,148.486,76.2647,25.5663,5.91663,40.7386,103.438,101.535,78.5523,5.1755,143.772,4.19559,4.2,0,,22.5189,6.58736,0.289417,0.38539,0.600527,0.985917,0.41264,0.13092,0.239621,0.546365,0.31111,6.56086,0.323818,,,119.407,48.5123,0,0.790567,0.992,5.59047,49.33453691005707,-15,168.17,1083.9,7.579720279,1083.9,7.579720279,1.2400000095367432,0.91860465,DH,/players/shohei-ohtani/19755/stats/batting,22,NL,Shohei Ohtani,660271,19755,19755
CIN,Reds,142.857,532.093,600,146.658,85.5438,30.9167,7.10707,23.0904,94.0127,79.8245,60.2236,2.98921,150.077,3.4402,4.2,0.0436,,38.5001,9.9498,0.275625,0.350561,0.490628,0.84119,0.359411,0.100373,0.250128,0.401285,0.215004,7.83792,0.340288,,,93.4764,22.5818,1.28571,2.66013,3.555,5.52364,25.96704077720642,7.714285492897034,131.604,872.3,6.1,872.3,6.1,8.529999732971191,0.02469136,SS,/players/elly-de-la-cruz/26668/stats/batting,18,NL,Elly De La Cruz,682829,26668,26668
BAL,Orioles,142.857,522.967,600,147.169,87.3699,31.1892,5.28751,23.3219,91.9155,80.5517,67.3156,3.39026,121.244,5.51747,4.2,0,,21.8895,4.61148,0.281411,0.366669,0.495057,0.861727,0.369127,0.112193,0.202074,0.555206,0.213646,6.56064,0.323697,,,98.2098,27.3151,-1.88571,1.45419,1.913,5.51545,29.05843150615692,4.542856931686401,138.279,881.6,6.165034965,881.6,6.165034965,12.34000015258789,0.05228758,SS,/players/gunnar-henderson/26289/stats/batting,2,AL,Gunnar Henderson,683002,26289,26289
SDP,Padres,142.857,525.749,600,146.838,88.6703,29.8099,1.2403,27.1179,81.1622,85.239,64.557,3.31052,114.163,5.49401,4.2,0,,23.5665,5.39004,0.279294,0.361482,0.49545,0.856933,0.367189,0.107595,0.190272,0.565481,0.216157,4.95478,0.308028,,,97.2653,26.3707,9.85714,1.48001,1.948,5.3084,28.14899253845215,3.4285712242126465,136.947,885.3,6.19090909,885.3,6.19090909,14.079999923706055,0.01290323,SS/OF,/players/fernando-tatis-jr/19709/stats/batting,29,NL,Fernando Tatis Jr.,665487,19709,19709
HOU,Astros,142.857,517.257,600,155.176,89.5764,30.7619,1.39415,33.4435,89.3865,95.9033,70.4979,4.73244,98.6704,8.04512,4.2,0,,4.90382,1.61024,0.299998,0.389532,0.558826,0.948357,0.401816,0.117497,0.164451,0.714479,0.258828,3.33863,0.312661,,,114.134,43.239,-4.37143,-0.757284,-1.108,5.26581,41.96132445335388,-10.799999713897705,160.734,994.7,6.955944055,994.7,6.955944055,33.08000183105469,0.68085106,DH/OF,/players/yordan-alvarez/19556/stats/batting,21,AL,Yordan Alvarez,670541,19556,19556
