Team,ShortName,W,L,GS,G,SV,HLD,BS,IP,TBF,H,R,ER,HR,SO,BB,IBB,HBP,ERA,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,GB%,AVG,BABIP,LOB%,FIP,FPTS,FPTS_IP,SPTS,SPTS_IP,WAR,RA9-WAR,QS,ADP,teamid,League,PlayerName,xMLBAMID,playerids,playerid
DET,Tigers,13.8565,0,33,33,0,0,,198,765.643,145.455,58.9664,53.9879,18.1375,241.199,42.4451,2.32716,7.76395,2.45399,0.948989,10.9636,1.92932,5.68263,0.824431,0.315029,0.0554372,0.25959157198667526,,0.20331,0.279145,0.7934,2.65037,1198.8,6.054545454545455,1088,5.494949494949495,6.11788,6.95601,0,6.880000114440918,6,AL,Tarik Skubal,669373,22267,22267
PIT,Pirates,13.587,0,33,33,0,0,,198,773.319,153.304,64.0299,58.6238,18.3523,233.417,43.5422,2.35049,7.86393,2.66472,0.994171,10.6099,1.97919,5.36071,0.834196,0.301838,0.0563056,0.24553221091628075,,0.212358,0.287043,0.776009,2.76122,1156,5.838383838383838,1066,5.383838383838384,5.83615,6.34092,0,9.779999732971191,27,NL,Paul Skenes,694973,33677,33677
BOS,Red Sox,13.9609,0,33,33,0,0,,198,797.903,153.989,64.7433,59.277,19.7143,247.454,50.4087,2.42521,8.29468,2.69441,1.03231,11.2479,2.2913,4.90896,0.896104,0.310131,0.0631764,0.24695414304733276,,0.208319,0.284462,0.789911,2.81942,1138.8000000000002,5.751515151515153,1050,5.303030303030303,5.67269,6.21977,0,12.079999923706055,3,AL,Garrett Crochet,676979,27463,27463
PHI,Phillies,13.5679,0,33,33,0,0,,198,805.688,169.345,71.3664,65.3409,15.6616,201.603,51.8638,2.44887,8.40736,2.97004,1.11722,9.16377,2.35745,3.88716,0.71189,0.250225,0.0643721,0.1858525425195694,,0.227182,0.290984,0.751909,3.04023,1053,5.318181818181818,1006,5.08080808080808,5.03747,5.50552,0,25.450000762939453,26,NL,Cristopher Sánchez,650911,20778,20778
SFG,Giants,13.3425,0,33,33,0,0,,198,810.431,177.183,75.3101,68.9517,17.1833,197.602,46.8876,2.46329,8.28272,3.13417,1.13167,8.9819,2.13125,4.21437,0.781061,0.243823,0.0578552,0.18596800044178963,,0.234598,0.296035,0.74375,3.10327,1026.9,5.1863636363636365,1000,5.05050505050505,4.88995,5.04109,0,57.540000915527344,30,NL,Logan Webb,657277,17995,17995
PHI,Phillies,13.1383,0,33,33,0,0,,198,784.891,153.926,72.4148,66.3008,21.6803,230.164,54.1349,2.38566,8.30936,3.01367,1.05081,10.462,2.46068,4.25167,0.985466,0.293243,0.0689713,0.22427160292863846,,0.213062,0.281014,0.763307,3.17983,1068.1999999999998,5.394949494949494,978,4.9393939393939394,4.83464,5.38855,0,112.94999694824219,26,NL,Zack Wheeler,554430,10310,10310
CIN,Reds,13.0481,0,33,33,0,0,,198,785.424,154.779,73.7336,67.5082,21.7763,232.737,55.5197,2.38728,8.35946,3.06856,1.06211,10.579,2.52362,4.19197,0.989831,0.29632,0.0706876,0.2256326749920845,,0.21451,0.284782,0.759488,3.18188,1065.6,5.381818181818181,978,4.9393939393939394,4.81921,5.15633,0,105,18,NL,Chase Burns,695505,35333,35333
ATL,Braves,13.4438,0,33,33,0,0,,198,802.941,156.951,72.3712,66.2609,21.7064,233.783,57.0818,2.44052,8.55657,3.01186,1.08097,10.6265,2.59463,4.09557,0.986653,0.291158,0.0710909,0.22006706148386002,,0.212872,0.280699,0.771393,3.19338,1056.3999999999999,5.335353535353534,974,4.91919191919192,4.79888,5.38855,0,39.040000915527344,16,NL,Chris Sale,519242,10603,10603
KCR,Royals,13.731,0,33,33,0,0,,198,824.053,155.004,73.2108,67.0296,21.635,254.425,70.6096,2.50469,9.17808,3.0468,1.13946,11.5648,3.20953,3.60327,0.983408,0.308749,0.0856858,0.22306283563375473,,0.208264,0.284851,0.780254,3.19457,1059.6,5.351515151515151,972,4.909090909090909,4.78013,5.27215,0,47.709999084472656,7,AL,Cole Ragans,666142,21846,21846
LAD,Dodgers,12.8498,0,33,33,0,0,,198,788.799,161.445,77.1582,70.6437,18.1983,214.208,62.2402,2.39754,8.60909,3.21108,1.12972,9.73674,2.8291,3.44164,0.827197,0.271562,0.078905,0.19265741854906082,,0.224869,0.295023,0.73926,3.23973,1040.1999999999998,5.253535353535352,971,4.904040404040404,4.59816,4.81229,0,26.780000686645508,22,NL,Yoshinobu Yamamoto,808967,33825,33825
