Team,ShortName,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,OBP,SLG,OPS,wOBA,BB%,K%,BB/K,ISO,Spd,BABIP,UBR,GDPRuns,wRC,wRAA,UZR,wBsR,BaseRunning,WAR,Off,Def,wRC+,FPTS,FPTS_G,SPTS,SPTS_G,ADP,Pos,minpos,UPURL,teamid,League,PlayerName,xMLBAMID,playerids,playerid
NYY,Yankees,149,527,644,160,82,26,1,52,111,125,107,7,157,6,5,0,,11,2,0.30431,0.423652,0.651177,1.07483,0.446788,0.166018,0.243157,0.682759,0.346867,3.89617,0.336378,-1.32049,,146.018,69.9247,4.44387,-0.106314,-1.42681,9.09682,69.50282752513885,-2.756126880645752,193.448,1293.2,8.67919463,1293.2,8.67919463,1.8600000143051147,0.37086093,OF,/players/aaron-judge/15640/stats/batting,9,AL,Aaron Judge,592450,15640,15640
KCR,Royals,157,615,679,186,109,38,7,32,110,104,52,4,109,7,5,0,,35,11,0.302308,0.360557,0.543732,0.904289,0.382873,0.0763275,0.160536,0.475455,0.241425,6.98615,0.32129,2.12478,,118.718,38.4892,9.69313,1.65443,3.77921,8.22071,40.01084589958191,16.968125820159912,145.274,1090.2,6.943949044,1090.2,6.943949044,3.0799999237060547,0.02531646,SS,/players/bobby-witt-jr/25764/stats/batting,7,AL,Bobby Witt Jr.,677951,25764,25764
NYM,Mets,159,557,686,158,91,27,2,39,110,107,121,6,119,4,5,0,,22,8,0.284685,0.41248,0.547678,0.960158,0.408472,0.176264,0.173872,1.01376,0.262993,4.67169,0.296904,-0.72028,,134.2,53.1438,-2.32464,-0.125942,-0.846223,6.95327,55.01233595609665,-9.874644041061401,168.702,1178.5,7.411949685,1178.5,7.411949685,4.679999828338623,0.01875,OF,/players/juan-soto/20123/stats/batting,25,NL,Juan Soto,665742,20123,20123
LAD,Dodgers,157,582,679,168,84,29,6,50,124,122,88,6,164,5,5,0,,25,7,0.288615,0.383518,0.614842,0.99836,0.416603,0.129253,0.241945,0.534223,0.326227,6.70534,0.317245,0.0862368,,137.313,57.084,0,0.876483,0.962719,6.55849,58.48699605464935,-16.975000381469727,171.48,1254,7.987261146,1254,7.987261146,1.2400000095367432,0.91860465,DH,/players/shohei-ohtani/19755/stats/batting,22,NL,Shohei Ohtani,660271,19755,19755
BAL,Orioles,156,590,672,166,97,34,6,28,108,96,71,3,143,6,5,0,,24,5,0.281191,0.361501,0.503591,0.865092,0.369604,0.105481,0.212674,0.495972,0.2224,6.69152,0.325266,1.60662,,110.255,30.8533,-2.32845,1.5792,3.18582,6.48036,35.338160276412964,4.871553897857666,140.595,998.2,6.398717948,998.2,6.398717948,12.34000015258789,0.05228758,SS,/players/gunnar-henderson/26289/stats/batting,2,AL,Gunnar Henderson,683002,26289,26289
SEA,Mariners,159,554,637,134,72,25,1,37,84,99,73,3,167,6,4,0,,9,3,0.2425,0.335025,0.488543,0.823569,0.352001,0.115285,0.262289,0.439534,0.246044,3.55314,0.275546,-1.68041,,95.4687,20.155,10.586,-0.429225,-2.10964,6.4225,23.099125862121582,17.735992908477783,133.556,868.1,5.459748427,868.1,5.459748427,18.350000381469727,0.23899371,C,/players/cal-raleigh/21534/stats/batting,11,AL,Cal Raleigh,663728,21534,21534
SEA,Mariners,159,621,686,175,112,32,3,29,94,97,51,4,148,10,5,0,,29,7,0.282528,0.343995,0.484183,0.828178,0.354488,0.0745203,0.215855,0.345232,0.201654,5.81421,0.325751,0.640145,,104.133,23.0766,2.45065,1.83443,2.47458,6.06734,30.99037790298462,4.700649738311768,135.269,960,6.037735849,960,6.037735849,9.529999732971191,0.00625,OF,/players/julio-rodriguez/23697/stats/batting,11,AL,Julio Rodríguez,677594,23697,23697
SDP,Padres,156,590,672,161,98,31,1,31,92,93,71,4,133,6,5,0,,26,6,0.272696,0.354243,0.48599,0.840233,0.36046,0.105516,0.197797,0.533454,0.213294,5.01907,0.301838,0.666632,,105.266,25.8639,10.7689,1.63295,2.29958,5.82136,31.171369075775146,3.3688998222351074,136.25,962.2,6.167948717,962.2,6.167948717,14.079999923706055,0.01290323,SS/OF,/players/fernando-tatis-jr/19709/stats/batting,29,NL,Fernando Tatis Jr.,665487,19709,19709
ATL,Braves,151,553,651,161,99,28,2,32,98,96,85,4,133,8,5,0,,25,6,0.290712,0.390049,0.52122,0.911269,0.389801,0.130408,0.204615,0.637334,0.230508,5.21624,0.3281,1.37275,,117.485,40.5641,-1.35226,1.42196,2.7947,5.68412,43.02477312088013,-9.127261757850647,152.141,1051.7,6.964900662,1051.7,6.964900662,5.420000076293945,0.04210526,OF,/players/ronald-acuna-jr/18401/stats/batting,16,NL,Ronald Acuña Jr.,660670,18401,18401
TOR,Blue Jays,125,437,495,121,83,22,0,16,60,59,50,2,58,4,3,1,,1,0,0.277186,0.353418,0.435352,0.78877,0.343325,0.100382,0.116419,0.862248,0.158165,2.39011,0.287504,-1.82365,,70.596,12.1552,16.3466,-0.774255,-2.59791,5.33235,10.02334976196289,25.071598052978516,121.651,618.7,4.9496,618.7,4.9496,158.9499969482422,0.056,C,/players/alejandro-kirk/22581/stats/batting,14,AL,Alejandro Kirk,672386,22581,22581
