Team,ShortName,W,L,GS,G,SV,HLD,BS,IP,TBF,H,R,ER,HR,SO,BB,IBB,HBP,ERA,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,GB%,AVG,BABIP,LOB%,FIP,FPTS,FPTS_IP,SPTS,SPTS_IP,WAR,RA9-WAR,QS,ADP,teamid,League,PlayerName,xMLBAMID,playerids,playerid
DET,Tigers,15,7,32,32,0,0,,202,800,154,63,57,19,247,44,,8,2.54652,0.980121,10.968,1.96709,5.57576,0.857828,0.308524,0.0553331,0.253190778195858,,0.206306,0.280238,0.792603,2.7127,1198.7000000000003,5.934158415841585,1101,5.4504950495049505,6.08276,6.60006,23,6.880000114440918,6,AL,Tarik Skubal,669373,22267,22267
BOS,Red Sox,14,8,32,32,0,0,,199,806,162,70,64,20,246,53,,8,2.90421,1.07697,11.0889,2.39337,4.63318,0.880965,0.30493,0.0658144,0.23911578208208084,,0.217302,0.296859,0.770825,2.86829,1114.4,5.6000000000000005,1044,5.2462311557788945,5.65702,5.92081,22,12.079999923706055,3,AL,Garrett Crochet,676979,27463,27463
PIT,Pirates,14,7,32,32,0,0,,191,771,152,64,58,17,230,51,,8,2.73761,1.06354,10.8243,2.41534,4.48148,0.785268,0.2987,0.066652,0.23204751312732697,,0.213998,0.291825,0.776842,2.79608,1092.1000000000001,5.717801047120419,1017,5.324607329842932,5.49778,6.09531,22,9.779999732971191,27,NL,Paul Skenes,694973,33677,33677
PHI,Phillies,15,8,32,32,0,0,,202,830,177,76,70,18,206,53,,9,3.09022,1.1317,9.15507,2.33641,3.91844,0.780942,0.248105,0.0633172,0.18478776514530182,,0.229635,0.291535,0.749023,3.13543,1039.2,5.144554455445545,1002,4.96039603960396,5.08576,5.50789,21,25.450000762939453,26,NL,Cristopher Sánchez,650911,20778,20778
SFG,Giants,13,9,32,32,0,0,,205,846,191,81,74,17,200,48,,9,3.25159,1.16913,8.78043,2.10693,4.16741,0.750646,0.235732,0.0565656,0.1791662499308586,,0.242085,0.303783,0.735987,3.09687,1040.3000000000002,5.074634146341464,1033,5.0390243902439025,4.57584,4.58811,20,57.540000915527344,30,NL,Logan Webb,657277,17995,17995
DET,Tigers,14,8,31,31,0,0,,194,807,170,77,71,15,189,65,,9,3.2831,1.2155,8.80051,3.02406,2.91017,0.718631,0.234536,0.0805919,0.15394392609596252,,0.232209,0.29293,0.740293,3.36272,965.1000000000001,4.974742268041238,931,4.798969072164948,4.12519,4.37637,20,82.37999725341797,6,AL,Framber Valdez,664285,17295,17295
NYY,Yankees,14,9,31,31,0,0,,188,773,161,76,69,18,181,59,,8,3.31909,1.17168,8.67965,2.80937,3.08954,0.852892,0.233983,0.075734,0.1582489237189293,,0.228296,0.282638,0.740018,3.5084,912.1999999999999,4.852127659574467,867,4.611702127659575,3.84431,3.93464,19,49.81999969482422,9,AL,Max Fried,608331,13743,13743
ATL,Braves,12,7,28,28,0,0,,162,665,130,59,54,18,198,47,,7,3.01939,1.09012,10.9726,2.61019,4.20377,1.0134,0.297581,0.0707892,0.22679197043180466,,0.212604,0.282742,0.776098,3.1615,873.3999999999999,5.391358024691357,810,5,3.82488,4.51444,18,39.040000915527344,16,NL,Chris Sale,519242,10603,10603
SEA,Mariners,14,9,32,32,0,0,,197,798,162,75,69,24,208,45,,8,3.14412,1.0485,9.46244,2.03125,4.65843,1.1126,0.260177,0.0558508,0.204326294362545,,0.218002,0.268989,0.761841,3.43965,998.4000000000001,5.068020304568528,930,4.720812182741117,3.79701,4.17693,21,35.130001068115234,11,AL,Bryan Woo,693433,30279,30279
HOU,Astros,12,9,31,31,0,0,,182,754,154,74,68,19,198,61,,8,3.35541,1.18537,9.82433,3.01698,3.25635,0.93267,0.26319,0.0808238,0.18236654251813889,,0.225696,0.290297,0.74803,3.44139,901.6999999999999,4.954395604395604,852,4.681318681318682,3.79426,3.90256,19,36.77000045776367,21,AL,Hunter Brown,686613,25880,25880
