Team,ShortName,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,OBP,SLG,OPS,wOBA,BB%,K%,BB/K,ISO,Spd,BABIP,UBR,GDPRuns,wRC,wRAA,UZR,wBsR,BaseRunning,WAR,Off,Def,wRC+,FPTS,FPTS_G,SPTS,SPTS_G,woba_sd,truetalent_sd,woba_sd_book,woba_se,total_se,q10,q20,q30,q40,q50,q60,q70,q80,q90,tt_q10,tt_q20,tt_q30,tt_q40,tt_q50,tt_q60,tt_q70,tt_q80,tt_q90,ADP,Pos,minpos,UPURL,teamid,League,PlayerName,xMLBAMID,playerids,playerid
NYY,Yankees,141.06,508.605,633.319,143.723,76.9006,23.3121,1.2048,42.306,108.813,102.371,112.224,24.6995,156.142,6.3332,4.4747,1.6821,,8.8034,2.4686,0.282583,0.41524,0.582698,0.997938,0.412303,0.1772,0.246545,0.718733,0.300114,3.89982,0.322336,-1.336,,125.865,51.033,-0.178,-0.377546,-1.71355,6.60607,50.3077472448349,-7.538000136613846,169.692,1130.1,8.014893617,1130.1,8.014893617,0.590482,0.0150381,0.532624,0.0234636,0.0278691,0.378,0.389,0.398,0.405,0.412,0.419,0.427,0.436,0.449,0.394,0.4,0.405,0.409,0.413,0.416,0.421,0.425,0.432,1.8600000143051147,0.37086093,OF,/players/aaron-judge/15640/stats/batting,9,AL,Aaron Judge,592450,15640,15640
KCR,Royals,139.93,573.62,633.655,168.088,98.9711,36.4372,4.6995,27.98,98.881,88.5781,47.0172,6.3366,105.89,6.3366,4.3674,2.3137,,31.2131,9.749,0.293029,0.350747,0.51927,0.870018,0.368171,0.0742,0.16711,0.444018,0.226241,6.69002,0.315474,2.04,,103.226,28.3552,5.971,1.28647,3.32647,6.58404,29.57482075691223,12.968000411987305,135.146,952.8,6.805714285,952.8,6.805714285,0.565137,0.015564,0.51924,0.0224506,0.0273179,0.334,0.345,0.354,0.361,0.368,0.375,0.382,0.391,0.404,0.349,0.355,0.36,0.364,0.368,0.372,0.377,0.382,0.389,3.0799999237060547,0.02531646,SS,/players/bobby-witt-jr/25764/stats/batting,7,AL,Bobby Witt Jr.,677951,25764,25764
BAL,Orioles,145.86,581.814,665.535,159.779,95.6867,31.6873,4.2671,28.1381,100.663,83.8217,70.8129,3.9932,134.225,5.9898,4.2924,2.6262,,23.5715,6.0782,0.274623,0.356884,0.488842,0.845726,0.3623,0.1064,0.201679,0.527571,0.214219,5.96581,0.310662,1.637,,105.248,26.6098,-1.667,1.11282,2.74981,6.05473,30.64613914489746,5.626000165939331,135.563,952.6,6.524657534,952.6,6.524657534,0.551258,0.0160669,0.517102,0.0213683,0.0267348,0.329,0.34,0.348,0.355,0.362,0.368,0.376,0.385,0.397,0.342,0.349,0.354,0.358,0.362,0.366,0.371,0.376,0.383,12.34000015258789,0.05228758,SS,/players/gunnar-henderson/26289/stats/batting,2,AL,Gunnar Henderson,683002,26289,26289
SEA,Mariners,137.84,527.329,614.647,121.521,61.6428,21.8677,0.472,37.5386,88.6566,90.9368,75.8475,10.449,163.683,5.5318,4.3095,1.6291,,8.012,2.544,0.230446,0.330986,0.487264,0.81825,0.34555,0.1234,0.266304,0.46338,0.256818,3.74019,0.254171,-1.549,,88.8412,16.2159,0.978,-0.314616,-1.86362,5.93465,19.225674152374268,7.388999760150909,129.111,830,6.014492753,830,6.014492753,0.576729,0.0150381,0.510802,0.0232626,0.0277001,0.311,0.323,0.331,0.338,0.345,0.352,0.36,0.369,0.382,0.327,0.333,0.338,0.342,0.346,0.35,0.354,0.359,0.366,18.350000381469727,0.23899371,C,/players/cal-raleigh/21534/stats/batting,11,AL,Cal Raleigh,663728,21534,21534
SEA,Mariners,138.87,559.982,617.685,154.023,95.152,26.6838,2.3468,29.8404,85.2589,91.3125,44.2262,3.7061,134.004,8.0299,4.4535,0.9935,,22.5976,6.3366,0.27505,0.334493,0.490947,0.825441,0.351889,0.0715999,0.216945,0.330037,0.215897,5.61256,0.309998,0.593,,92.4595,19.4753,5.433,0.975899,1.5689,5.60267,25.941690325737,7.559000015258789,133.478,857,6.165467625,857,6.165467625,0.562089,0.015564,0.513263,0.0226163,0.0274542,0.318,0.329,0.337,0.344,0.351,0.358,0.366,0.375,0.388,0.333,0.339,0.344,0.348,0.352,0.356,0.36,0.365,0.373,9.529999732971191,0.00625,OF,/players/julio-rodriguez/23697/stats/batting,11,AL,Julio Rodríguez,677594,23697,23697
NYM,Mets,137.61,493.934,621.171,134.867,76.5401,22.6519,1.4192,34.2553,104.95,88.6954,117.153,8.0752,110.542,3.727,4.3214,2.0361,,19.6569,6.3443,0.273046,0.41307,0.532708,0.945779,0.402672,0.1886,0.177958,1.0598,0.259663,4.88568,0.284649,-0.671,,118.593,45.1966,-6.444,0.0832868,-0.587713,5.54755,47.067087173461914,-13.511999607086182,164.729,1038.2,7.523188405,1038.2,7.523188405,0.564851,0.0144867,0.529981,0.0226636,0.026898,0.369,0.38,0.388,0.395,0.402,0.409,0.416,0.425,0.438,0.385,0.391,0.395,0.399,0.403,0.406,0.41,0.415,0.422,4.679999828338623,0.01875,OF,/players/juan-soto/20123/stats/batting,25,NL,Juan Soto,665742,20123,20123
LAD,Dodgers,142.27,554.639,658.176,152.7,78.0118,25.2294,5.8554,43.6038,119.845,99.3695,91.4865,16.4544,160.568,4.6072,4.0187,3.4245,,22.2884,6.177,0.275315,0.379982,0.577767,0.957749,0.397544,0.139,0.243959,0.569768,0.302452,6.7527,0.30776,0.086,,122.917,45.1487,0,0.88733,0.97333,5.30475,46.548777520656586,-16.597999572753906,158.424,1135.1,7.993661971,1135.1,7.993661971,0.600241,0.0139068,0.52863,0.0233967,0.0272177,0.364,0.375,0.383,0.39,0.397,0.404,0.412,0.421,0.434,0.381,0.386,0.391,0.394,0.398,0.401,0.405,0.41,0.416,1.2400000095367432,0.91860465,DH,/players/shohei-ohtani/19755/stats/batting,22,NL,Shohei Ohtani,660271,19755,19755
ATL,Braves,147.08,570.607,676.219,162.971,102.675,27.1071,2.3667,30.8226,109.255,84.0841,90.7485,4.0573,135.462,7.4384,4.195,3.2298,,24.157,6.0771,0.28561,0.388057,0.503463,0.89152,0.383303,0.1342,0.200323,0.669918,0.217853,5.59795,0.323483,1.467,,118.468,38.5678,-3.325,1.04349,2.51049,5.2903,40.73126840591431,-11.521999597549438,147.689,1045.7,7.113605442,1045.7,7.113605442,0.551211,0.0170118,0.524219,0.021197,0.0271793,0.349,0.361,0.369,0.376,0.383,0.39,0.397,0.406,0.419,0.362,0.369,0.374,0.379,0.383,0.388,0.392,0.398,0.406,5.420000076293945,0.04210526,OF,/players/ronald-acuna-jr/18401/stats/batting,16,NL,Ronald Acuña Jr.,660670,18401,18401
SDP,Padres,135.86,538.82,619.251,148.06,87.8641,28.0575,1.7149,30.4235,96.2044,82.368,67.5603,3.7155,120.049,6.1925,4.0932,2.5849,,23.0316,5.5791,0.274786,0.359697,0.502613,0.86231,0.368676,0.1091,0.193862,0.562772,0.227827,5.52282,0.299756,0.632,,101.134,27.9648,3.191,1.27917,1.91117,5.06032,32.647775173187256,-3.7909998893737793,141.879,913.3,6.715441176,913.3,6.715441176,0.561762,0.0160669,0.51939,0.0225746,0.0277084,0.334,0.346,0.354,0.361,0.368,0.375,0.383,0.392,0.405,0.349,0.355,0.36,0.365,0.369,0.373,0.377,0.382,0.39,14.079999923706055,0.01290323,SS/OF,/players/fernando-tatis-jr/19709/stats/batting,29,NL,Fernando Tatis Jr.,665487,19709,19709
NYM,Mets,139.43,568.811,644.192,147.308,91.1403,28.9636,0.899,26.305,94.4021,73.411,57.8484,1.2884,118.597,10.3071,3.9475,3.2773,,22.9415,5.3116,0.258975,0.336181,0.451792,0.787974,0.341225,0.0898,0.184102,0.487772,0.192817,5.21709,0.282812,-0.573,,90.8497,14.7335,1.589,1.36999,0.796994,4.86734,18.079806447029114,8.061000108718872,122.636,822.1,5.914388489,822.1,5.914388489,0.539341,0.0144867,0.50896,0.0212499,0.0257181,0.309,0.32,0.327,0.334,0.341,0.347,0.354,0.363,0.375,0.323,0.329,0.334,0.338,0.341,0.345,0.349,0.354,0.36,25.670000076293945,0.0125,SS,/players/francisco-lindor/12916/stats/batting,25,NL,Francisco Lindor,596019,12916,12916
TOR,Blue Jays,143.49,551.164,636.639,163.554,99.521,31.2761,0.5749,32.1822,93.6356,99.0014,73.6591,8.9129,87.5248,6.3664,4.6505,0.799,,4.789,1.7002,0.296743,0.383084,0.530744,0.913827,0.387321,0.1157,0.13748,0.84158,0.234,3.05389,0.301238,-0.49,,113.611,38.3871,-1.281,-0.864929,-1.35493,4.71754,37.63200581073761,-13.43500030040741,151.958,1007.7,7.046853146,1007.7,7.046853146,0.56608,0.0144867,0.525518,0.0224353,0.0267059,0.354,0.365,0.373,0.38,0.387,0.394,0.401,0.41,0.422,0.369,0.375,0.38,0.384,0.387,0.391,0.395,0.4,0.406,18.299999237060547,0.15286624,1B,/players/vladimir-guerrero-jr/19611/stats/batting,14,AL,Vladimir Guerrero Jr.,665489,19611,19611
CIN,Reds,139.58,544.354,616.808,143.206,85.2616,29.2328,5.3376,23.3735,83.2925,81.5875,62.8527,6.1681,154.488,4.3177,4.4967,0.7866,,37.5653,10.6572,0.263074,0.341508,0.465201,0.806709,0.344716,0.1019,0.250463,0.406846,0.202127,6.88026,0.323006,2.048,,88.7361,15.8556,1.498,2.18317,4.23117,4.63499,16.54689311981201,8.234000086784363,116.847,828,5.914285714,828,5.914285714,0.542271,0.0165489,0.510383,0.0218344,0.0273972,0.311,0.322,0.33,0.337,0.344,0.351,0.359,0.368,0.381,0.324,0.331,0.336,0.34,0.345,0.349,0.353,0.359,0.366,8.529999732971191,0.02469136,SS,/players/elly-de-la-cruz/26668/stats/batting,18,NL,Elly De La Cruz,682829,26668,26668
ARI,Diamondbacks,134.9,529.863,609.917,138.294,76.1862,25.1723,10.2597,26.6762,95.5681,80.9253,65.688,2.4397,126.054,7.9289,4.111,2.3252,,32.5641,7.6882,0.261,0.348773,0.498269,0.847042,0.361578,0.1077,0.206675,0.521108,0.237269,7.96501,0.292774,2.671,,96.0946,24.0283,2.45,2.39152,5.06252,4.56332,28.406744480133057,-4.096999883651733,132.293,888.4,6.58074074,888.4,6.58074074,0.561754,0.0160669,0.516807,0.022794,0.0278875,0.327,0.338,0.346,0.354,0.361,0.368,0.376,0.385,0.398,0.341,0.348,0.353,0.357,0.361,0.366,0.37,0.375,0.383,14.420000076293945,0.02083333,OF,/players/corbin-carroll/25878/stats/batting,15,NL,Corbin Carroll,682998,25878,25878
