Team,ShortName,ProjTeam,ProjAbbName,ProjShortName,ProjLeague,ProjTeamid,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,wOBA,wRAA,wRC,wRC+,WAR,FPTS,FPTS_G,SPTS,SPTS_G,woba_sd,truetalent_sd,woba_sd_book,woba_se,total_se,q10,q20,q30,q40,q50,q60,q70,q80,q90,tt_q10,tt_q20,tt_q30,tt_q40,tt_q50,tt_q60,tt_q70,tt_q80,tt_q90,ADP,Pos,minpos,UPURL,teamid,League,PlayerName,xMLBAMID,playerids,playerid
NYM,Mets,NYN,NYM,Mets,NL,25,94.94999694824219,334.9424133300781,428.608154296875,94.20230102539062,51.6057014465332,16.36720085144043,1.1475000381469727,25.081899642944336,76.01029968261719,63.64229965209961,86.7073974609375,7.714900016784668,72.74949645996094,2.5715999603271484,2.981800079345703,1.4048999547958374,15.555700302124023,4.285699844360352,0.28124924547121,0.2022999249820145,0.16973427997259025,1.1918625101227822,0.42949419338370465,0.5616195332367597,0.9911137266204644,0.28037028776554973,0.28789033407110454,0.41819469670371867,36.58743051066976,87.23078729021817,175.36301226428924,,767.7588250160217,8.085927853526226,767.7588250160217,8.085927853526226,,,,,,,,,,,,,,,,,,,,,,,,4.710000038146973,0.01875,OF,/players/juan-soto/20123/stats/batting,25,NL,Juan Soto,665742,20123,20123
LAD,Dodgers,LAN,LAD,Dodgers,NL,22,96.75,370.7544860839844,447.5596618652344,105.02310180664062,51.197898864746094,17.249099731445312,4.567800045013428,32.00830078125,86.23889923095703,71.1187973022461,68.61090087890625,14.769499778747559,105.81330108642578,3.1328999996185303,2.7327001094818115,2.3285999298095703,17.436100006103516,4.036900043487549,0.2832685934995011,0.15330001053483194,0.2364227836026193,0.6484147094406071,0.39702291129297196,0.6134320962367487,1.0104550075297207,0.33016350273724754,0.3098237752206237,0.4151745440303669,37.107744147020284,89.99036760797195,170.50222122943296,,831.3684333801269,8.592955383773921,831.3684333801269,8.592955383773921,,,,,,,,,,,,,,,,,,,,,,,,1.2400000095367432,0.91860465,DH,/players/shohei-ohtani/19755/stats/batting,22,NL,Shohei Ohtani,660271,19755,19755
HOU,Astros,HOU,HOU,Astros,AL,21,84.55999755859375,314.3290100097656,374.7210388183594,95.06199645996094,53.039398193359375,18.86549949645996,1.2350000143051147,21.922100067138672,59.649898529052734,62.688499450683594,51.97380065917969,10.492199897766113,61.514198303222656,5.246099948883057,2.7455999851226807,0.42649999260902405,3.0309998989105225,0.835099995136261,0.30242832647552176,0.13869998018545535,0.16415998017405364,0.8449073887460034,0.4068504686929893,0.5795322470938646,0.9863827157868539,0.2771039206183429,0.3130475301086885,0.41097733386307883,29.791650525833305,74.06782929525703,168.2260366359497,,660.9156810641289,7.815937797374743,660.9156810641289,7.815937797374743,,,,,,,,,,,,,,,,,,,,,,,,33.15999984741211,0.68085106,DH/OF,/players/yordan-alvarez/19556/stats/batting,21,AL,Yordan Alvarez,670541,19556,19556
NYY,Yankees,NYA,NYY,Yankees,AL,9,105.80000305175781,395.6560974121094,474.98956298828125,111.02239990234375,60.32080078125,17.99169921875,1.0124000310897827,31.697500228881836,79.11409759521484,77.58979797363281,69.49099731445312,4.749899864196777,120.9916000366211,5.224899768829346,3.356100082397461,1.2615000009536743,6.6128997802734375,1.6121000051498413,0.2806032830746559,0.1463000510522114,0.2547247549513128,0.5743456346838951,0.3920778588214526,0.5715352340242381,0.9636130928456907,0.29093195094958224,0.32203597862247735,0.4061552255475568,35.90372502381982,92.02740270895222,165.45716704377568,,814.1707729220391,7.695375703569151,814.1707729220391,7.695375703569151,,,,,,,,,,,,,,,,,,,,,,,,1.8700000047683716,0.37086093,OF,/players/aaron-judge/15640/stats/batting,9,AL,Aaron Judge,592450,15640,15640
ATH,Athletics,OAK,ATH,Athletics,AL,10,96.68000030517578,373.38299560546875,438.2034606933594,99.49140167236328,49.58209991455078,19.059200286865234,1.4608999490737915,29.38920021057129,72.49500274658203,66.18579864501953,57.01029968261719,3.5055999755859375,120.63999938964844,3.0673999786376953,2.765899896621704,1.9768999814987183,3.6835999488830566,0.8640999794006348,0.2664593804306231,0.13010006719803419,0.27530590287617196,0.4725654838448961,0.365794069189815,0.5614610296803706,0.9272550988701855,0.2950016492497475,0.31002253555220716,0.39059326156480945,27.586492163965964,79.36360834677029,150.78944782556937,,708.438605225086,7.327664490989452,708.438605225086,7.327664490989452,,,,,,,,,,,,,,,,,,,,,,,,19.350000381469727,0.04273504,1B,/players/nick-kurtz/35110/stats/batting,10,AL,Nick Kurtz,701762,35110,35110
TOR,Blue Jays,TOR,TOR,Blue Jays,AL,14,110.4800033569336,431.406005859375,490.2117004394531,126.84739685058594,77.51850128173828,24.25160026550293,0.4805000126361847,24.596799850463867,70.66600036621094,76.23149871826172,49.21730041503906,1.4706000089645386,70.14659881591797,5.392300128936768,3.580899953842163,0.6152999997138977,3.832200050354004,1.2235000133514404,0.2940325241831108,0.10040009320650227,0.1430945013206226,0.701634879606885,0.3706255968709403,0.5235216899741735,0.8941472868451138,0.22948916579106265,0.3005218170291045,0.3821754670219655,27.51027217161764,85.43256271597498,148.41384755278165,,750.9020076304673,6.796723251396802,750.9020076304673,6.796723251396802,,,,,,,,,,,,,,,,,,,,,,,,18.239999771118164,0.15286624,1B,/players/vladimir-guerrero-jr/19611/stats/batting,14,AL,Vladimir Guerrero Jr.,665489,19611,19611
PHI,Phillies,PHI,PHI,Phillies,NL,26,92,346.30279541015625,406.8877258300781,96.73799896240234,53.55759811401367,22.828500747680664,0.5105000138282776,19.841400146484375,59.015098571777344,61.75740051269531,53.99399948120117,6.917099952697754,83.28579711914062,3.2551000118255615,3.0027999877929688,0.3330000042915344,7.031799793243408,1.9031000137329102,0.2793451287270933,0.13269999573236035,0.2046898734761095,0.6482978052543888,0.3787610877220915,0.5200988921370835,0.898859979859175,0.24075376340999022,0.312361277022304,0.38028700270612603,22.210338136562044,70.28725889005496,144.48347713845456,,630.8307004511356,6.856855439686257,630.8307004511356,6.856855439686257,,,,,,,,,,,,,,,,,,,,,,,,47.88999938964844,0.01515152,OF,/players/bryce-harper/11579/stats/batting,26,NL,Bryce Harper,547180,11579,11579
LAD,Dodgers,LAN,LAD,Dodgers,NL,22,83.55999755859375,315.5798034667969,376.71319580078125,86.12760162353516,49.59870147705078,16.6028995513916,1.5901999473571777,18.335899353027344,62.60409927368164,53.238800048828125,54.6234016418457,5.27400016784668,57.025299072265625,2.63700008392334,2.608799934387207,1.26419997215271,13.846199989318848,2.4818999767303467,0.2729186110054629,0.14499996881110694,0.15137590004259513,0.9578801432084363,0.38191072926353725,0.5099144370655064,0.8918251663290437,0.23699582606004355,0.2791764886555471,0.37943722269798935,20.30332414278581,64.81489161354483,146.02100680103857,,587.4444331645965,7.030211229394425,587.4444331645965,7.030211229394425,,,,,,,,,,,,,,,,,,,,,,,,13.149999618530273,0.14179104,OF,/players/kyle-tucker/18345/stats/batting,22,NL,Kyle Tucker,663656,18345,18345
ATL,Braves,ATL,ATL,Braves,NL,16,108.83999633789062,427.0028991699219,500.40179443359375,121.26640319824219,77.14129638671875,19.717599868774414,1.8863999843597412,22.521099090576172,79.92939758300781,61.93199920654297,61.89970016479492,0.5004000067710876,101.75479888916016,6.004799842834473,3.104300022125244,2.3901000022888184,18.966899871826172,4.079100131988525,0.2839943322023801,0.12369999638962001,0.20334619104301316,0.6083221709496105,0.37985232778642813,0.49723337441594434,0.8770857022023725,0.21323904221356427,0.32287507431790363,0.37872998875599556,26.682307419393144,85.80863610578953,144.5564425214036,,760.0499391317367,6.983186004271661,760.0499391317367,6.983186004271661,,,,,,,,,,,,,,,,,,,,,,,,5.309999942779541,0.04210526,OF,/players/ronald-acuna-jr/18401/stats/batting,16,NL,Ronald Acuña Jr.,660670,18401,18401
TEX,Rangers,TEX,TEX,Rangers,AL,13,81.02999877929688,309.9823913574219,360.6929931640625,88.06950378417969,51.846500396728516,17.379499435424805,0.43479999899864197,18.408700942993164,52.83449935913086,54.17210006713867,44.25699996948242,9.378000259399414,60.756500244140625,3.2462000846862793,2.611299991607666,0.5960999727249146,2.0848000049591064,0.5845999717712402,0.2841113116087684,0.12269991601791934,0.16844380510742363,0.7284323453727996,0.37648951455831503,0.5211415471993031,0.8976310617576181,0.23703023559053465,0.2984245958703364,0.376841125947542,18.679636928851085,61.29829398790092,145.54095801881954,,553.9613673061132,6.836497292995764,553.9613673061132,6.836497292995764,,,,,,,,,,,,,,,,,,,,,,,,95.19000244140625,0.04901961,SS,/players/corey-seager/13624/stats/batting,13,AL,Corey Seager,608369,13624,13624
BAL,Orioles,BAL,BAL,Orioles,AL,2,106.4800033569336,423.0237121582031,485.8406982421875,119.73639678955078,69.314697265625,24.10919952392578,3.5969998836517334,22.715499877929688,77.25029754638672,65.0083999633789,53.39390182495117,3.886699914932251,94.7573013305664,4.372600078582764,3.133500099182129,1.917099952697754,18.877599716186523,4.143899917602539,0.28304890092017243,0.10990001870599725,0.19503780081291314,0.563480608620157,0.3667993394389837,0.5181413929680115,0.8849407324069952,0.2350924920478391,0.3143044917038425,0.3764673574782029,25.013374559545372,82.41919750630542,145.322454722225,,749.009412074089,7.034272994557679,749.009412074089,7.034272994557679,,,,,,,,,,,,,,,,,,,,,,,,12.34000015258789,0.05228758,SS,/players/gunnar-henderson/26289/stats/batting,2,AL,Gunnar Henderson,683002,26289,26289
PHI,Phillies,PHI,PHI,Phillies,NL,26,92.63999938964844,345.385498046875,419.66998291015625,81.43160247802734,38.967498779296875,13.130200386047363,0.9800000190734863,28.353900909423828,67.52010345458984,63.14039993286133,65.30059814453125,4.196700096130371,113.87359619140625,4.616399765014648,2.8153998851776123,1.5520999431610107,4.678500175476074,1.1842999458312988,0.23577018415224724,0.155599878008218,0.2713408173769353,0.5734481067478513,0.36197589697263466,0.5257415388693107,0.8877174358419454,0.2899713547170635,0.25769201923357143,0.37623424290224844,21.527163879223558,71.11440682156109,141.70720633565054,,636.145829820633,6.8668591754299575,636.145829820633,6.8668591754299575,,,,,,,,,,,,,,,,,,,,,,,,24.540000915527344,0.95061728,DH/OF,/players/kyle-schwarber/16478/stats/batting,26,NL,Kyle Schwarber,656941,16478,16478
