Team,ShortName,ProjTeam,ProjAbbName,ProjShortName,ProjLeague,ProjTeamid,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,wOBA,wRAA,wRC,wRC+,WAR,FPTS,FPTS_G,SPTS,SPTS_G,woba_sd,truetalent_sd,woba_sd_book,woba_se,total_se,q10,q20,q30,q40,q50,q60,q70,q80,q90,tt_q10,tt_q20,tt_q30,tt_q40,tt_q50,tt_q60,tt_q70,tt_q80,tt_q90,ADP,Pos,minpos,UPURL,teamid,League,PlayerName,xMLBAMID,playerids,playerid
NYY,Yankees,NYA,NYY,Yankees,AL,9,35.27000045776367,113.28160095214844,158.32984924316406,32.68769836425781,16.713899612426758,5.316500186920166,0.2029999941587448,10.454299926757812,29.475400924682617,24.565099716186523,42.55910110473633,19.791200637817383,35.17390060424805,0.949999988079071,1.1187000274658203,0.4205000102519989,2.063999891281128,0.8349000215530396,0.28855258126220784,0.2688002376568538,0.22215583967510594,1.209962511226189,0.4825349121524973,0.6159261441339234,1.0984610562864208,0.3273735628717156,0.3232909609052066,0.43046820987845374,15.09331246988619,33.80120443061582,182.20547207052633,,316.72606271952395,8.98004135550857,316.72606271952395,8.98004135550857,,,,,,,,,,,,,,,,,,,,,,,,1.8700000047683716,0.37086093,OF,/players/aaron-judge/15640/stats/batting,9,AL,Aaron Judge,592450,15640,15640
TOR,Blue Jays,TOR,TOR,Blue Jays,AL,14,33,119.8270034790039,146.4268798828125,36.670799255371094,21.99690055847168,7.018700122833252,0.09539999812841415,7.559800148010254,22.924100875854492,22.720800399780273,24.467899322509766,7.467800140380859,17.482799530029297,0.878600001335144,1.069599986076355,0.18379999697208405,0.9474999904632568,0.46459999680519104,0.3060311798733793,0.16709977937173673,0.11939610776396402,1.399541262283682,0.42406990412892487,0.5554649574645087,0.9795348615934336,0.24943377759112945,0.3037014413298466,0.4045426416624075,10.87646939243056,28.17793378520779,163.8217571029337,,254.02847205027942,7.6978324863721035,254.02847205027942,7.6978324863721035,,,,,,,,,,,,,,,,,,,,,,,,18.239999771118164,0.15286624,1B,/players/vladimir-guerrero-jr/19611/stats/batting,14,AL,Vladimir Guerrero Jr.,665489,19611,19611
ATL,Braves,ATL,ATL,Braves,NL,16,38.2400016784668,143.6634979248047,175.8168487548828,41.706298828125,25.56209945678711,7.385900020599365,0.47380000352859497,8.284500122070312,29.307600021362305,22.12220001220703,28.99220085144043,3.692199945449829,33.732200622558594,1.2307000160217285,1.0907000303268433,0.8396999835968018,5.14709997177124,1.9134000539779663,0.2903054668065691,0.16490001417247704,0.19185988636155543,0.8594814544074464,0.41107779349179263,0.5213105700381386,0.9323883635299313,0.23100510323156953,0.3253125646770968,0.39592464269687,11.82934261949567,32.60345834754623,156.33533345263888,,286.97651913762087,7.504615756835054,286.97651913762087,7.504615756835054,,,,,,,,,,,,,,,,,,,,,,,,5.309999942779541,0.04210526,OF,/players/ronald-acuna-jr/18401/stats/batting,16,NL,Ronald Acuña Jr.,660670,18401,18401
HOU,Astros,HOU,HOU,Astros,AL,21,37.9900016784668,147.3820037841797,168.35293579101562,43.241600036621094,26.91550064086914,8.201299667358398,0.3587000072002411,7.76609992980957,23.66629981994629,25.216299057006836,17.188800811767578,0.5051000118255615,30.832300186157227,2.3568999767303467,1.2335000038146973,0.1915999948978424,0.8996000289916992,0.396699994802475,0.29339810103235103,0.1020997984442923,0.18314085252680595,0.5574933011155889,0.37337566047559234,0.5119933084023168,0.8853689688779092,0.2185952073699658,0.32245440865783626,0.37963250246409336,9.100237365406322,28.992434251243715,146.63375532085234,,252.8362372726202,6.65533630170727,252.8362372726202,6.65533630170727,,,,,,,,,,,,,,,,,,,,,,,,33.15999984741211,0.68085106,DH/OF,/players/yordan-alvarez/19556/stats/batting,21,AL,Yordan Alvarez,670541,19556,19556
SDP,Padres,SDN,SDP,Padres,NL,29,36.68000030517578,141.43519592285156,167.1977081298828,39.47370147705078,22.94070053100586,7.79449987411499,0.35339999198913574,8.385100364685059,26.661699295043945,22.3789005279541,22.956199645996094,3.511199951171875,31.285499572753906,1.0032000541687012,1.1052000522613525,0.6978999972343445,5.169300079345703,1.854200005531311,0.2790939074216183,0.13729972678909702,0.18711679677122517,0.733764841843482,0.3809800541793354,0.5170587224543016,0.8980387766336371,0.2379648150326833,0.3022131112321848,0.3792625000371175,8.98756476094023,28.743262595096425,149.1308019282598,,259.56401460170747,7.076445268324639,259.56401460170747,7.076445268324639,,,,,,,,,,,,,,,,,,,,,,,,14.100000381469727,0.01290323,SS/OF,/players/fernando-tatis-jr/19709/stats/batting,29,NL,Fernando Tatis Jr.,665487,19709,19709
ARI,Diamondbacks,ARI,ARI,Diamondbacks,NL,15,40.2400016784668,164.40609741210938,184.85438537597656,49.23569869995117,29.723499298095703,10.721699714660645,0.3743000030517578,8.416199684143066,28.81839942932129,24.464399337768555,16.729299545288086,2.2183001041412354,25.959699630737305,1.663699984550476,1.1620999574661255,0.8931999802589417,1.514799952507019,0.5774999856948853,0.2994761111355515,0.09049987919552059,0.14043323656042944,0.6444334789405628,0.3676248000645898,0.5228187933789706,0.8904435934435604,0.22334268224341913,0.3111424955662422,0.37760446341862314,9.687838742073119,31.52980907559921,143.2721126863662,,280.0926500678062,6.960552643756205,280.0926500678062,6.960552643756205,,,,,,,,,,,,,,,,,,,,,,,,32.150001525878906,0.168,2B,/players/ketel-marte/13613/stats/batting,15,NL,Ketel Marte,606466,13613,13613
KCR,Royals,KCA,KCR,Royals,AL,7,32.18000030517578,128.42039489746094,145.74073791503906,38.37699890136719,22.029199600219727,8.95740032196045,0.8313999772071838,6.558899879455566,23.274499893188477,20.46780014038086,14.909299850463867,5.392399787902832,23.359699249267578,0.8744000196456909,1.0045000314712524,0.5321000218391418,5.888000011444092,2.6084001064300537,0.2988388170898387,0.10230015343517325,0.16028256466551813,0.6382487929904035,0.3729854892296923,0.5347577364827293,0.9077432257124216,0.23591891939289056,0.31975965707533427,0.3758176341250338,7.42654153961722,24.646932970699698,140.4137908482085,,230.09467795491219,7.150238526191192,230.09467795491219,7.150238526191192,,,,,,,,,,,,,,,,,,,,,,,,3.0899999141693115,0.02531646,SS,/players/bobby-witt-jr/25764/stats/batting,7,AL,Bobby Witt Jr.,677951,25764,25764
TBR,Rays,TBA,TBR,Rays,AL,12,34.779998779296875,136.7696990966797,150.40463256835938,38.2859001159668,21.185699462890625,6.8796000480651855,0.19679999351501465,10.023799896240234,21.496299743652344,26.887300491333008,11.716500282287598,1.0528000593185425,27.039400100708008,0.7519999742507935,1.0242999792099,0.1421000063419342,1.097599983215332,0.5141000151634216,0.2799296947264853,0.07789986307078947,0.17977770790017733,0.4333121385330146,0.3377715704050714,0.552977008972326,0.8907485793773975,0.2730473142458407,0.2805705948741451,0.37503153220837926,7.56820635046611,25.339672880196215,142.00676060316906,,230.97912137508396,6.641148058710585,230.97912137508396,6.641148058710585,,,,,,,,,,,,,,,,,,,,,,,,16.56999969482422,0.03870968,3B,/players/junior-caminero/28163/stats/batting,12,AL,Junior Caminero,691406,28163,28163
TBR,Rays,TBA,TBR,Rays,AL,12,38.70000076293945,155.2397003173828,178.15286254882812,46.40610122680664,30.13949966430664,9.29580020904541,0.2964000105857849,6.6743998527526855,25.95400047302246,20.74340057373047,19.703699111938477,2.315999984741211,23.9689998626709,1.2470999956130981,1.1096999645233154,0.8526999950408936,0.7434999942779541,0.3111000061035156,0.29893191710580985,0.11059995798011996,0.1345417610458068,0.8220492813563255,0.3799031279508153,0.49161328815461475,0.8715164161054301,0.1926813710488049,0.31606845492662794,0.372748374508044,8.634225533287188,29.6843592951122,140.43397870733264,,259.41509312987324,6.703232248468034,259.41509312987324,6.703232248468034,,,,,,,,,,,,,,,,,,,,,,,,137.3000030517578,0.75496689,1B/3B,/players/yandy-diaz/16578/stats/batting,12,AL,Yandy Díaz,650490,16578,16578
NYM,Mets,NYN,NYM,Mets,NL,25,42.65999984741211,158.6844940185547,192.56307983398438,40.55630111694336,24.878700256347656,6.260200023651123,0.29280000925064087,9.124600410461426,29.064899444580078,24.967899322509766,30.752300262451172,0.5777000188827515,37.782798767089844,1.155400037765503,1.3395999670028687,0.6312000155448914,4.436100006103516,1.9467999935150146,0.25557822374378425,0.15969987751008058,0.19620998376045795,0.8139233001774743,0.37755079447267476,0.4712237476996594,0.8487745421723342,0.21564552395587516,0.277869688111301,0.3686611247919858,8.693608007144034,31.446420002984866,141.4309225002815,,272.7262271463871,6.3930198809630685,272.7262271463871,6.3930198809630685,,,,,,,,,,,,,,,,,,,,,,,,4.710000038146973,0.01875,OF,/players/juan-soto/20123/stats/batting,25,NL,Juan Soto,665742,20123,20123
ATH,Athletics,OAK,ATH,Athletics,AL,10,47.310001373291016,180.41270446777344,206.71961975097656,48.63359832763672,26.912099838256836,10.113100051879883,0.53329998254776,11.07509994506836,29.61199951171875,32.320899963378906,23.193899154663086,2.8940999507904053,48.35060119628906,1.4470000267028809,1.403499960899353,0.2624000012874603,1.5144000053405762,0.6772000193595886,0.2695685898124984,0.11219979594875157,0.23389459236880514,0.4797023941957361,0.35491390815694746,0.5156987139259503,0.8706126220828978,0.24613012411345192,0.3068742865972098,0.36794406467285645,9.212381583060903,33.637897876738236,135.1872637006324,,303.31308320164675,6.4111831409263695,303.31308320164675,6.4111831409263695,,,,,,,,,,,,,,,,,,,,,,,,43.0099983215332,0.82822086,DH/OF,/players/brent-rooker/19627/stats/batting,10,AL,Brent Rooker,667670,19627,19627
LAD,Dodgers,LAN,LAD,Dodgers,NL,22,38.279998779296875,148.02420043945312,171.43408203125,41.43980026245117,25.215499877929688,8.704000473022461,0.6615999937057495,6.858699798583984,25.22800064086914,23.603300094604492,20.949199676513672,2.228600025177002,19.065500259399414,0.857200026512146,1.2109999656677246,0.39250001311302185,1.8442000150680542,0.7315000295639038,0.2799528735127432,0.12219973664685257,0.1112118432548555,1.0988014681747247,0.3697708623252326,0.48669811953414904,0.8564689818593816,0.20674524602140582,0.280438082300173,0.36569128907480264,7.326335236301968,27.582593297293936,136.60460019859886,,244.39815952777863,6.384487129606636,244.39815952777863,6.384487129606636,,,,,,,,,,,,,,,,,,,,,,,,59.36000061035156,0,OF,/players/mookie-betts/13611/stats/batting,22,NL,Mookie Betts,605141,13611,13611
