Team,ShortName,W,L,GS,G,SV,HLD,BS,IP,TBF,H,R,ER,HR,SO,BB,IBB,HBP,ERA,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,GB%,AVG,BABIP,LOB%,FIP,FPTS,FPTS_IP,SPTS,SPTS_IP,WAR,RA9-WAR,QS,ra_talent_sd,chance_ra_se,total_ra_se,q10,q20,q30,q40,q50,q60,q70,q80,q90,tt_q10,tt_q20,tt_q30,tt_q40,tt_q50,tt_q60,tt_q70,tt_q80,tt_q90,ADP,teamid,League,PlayerName,xMLBAMID,playerids,playerid
DET,Tigers,14.0565,8.8786,32,32,0,0,,199.765,796.193,159.292,68.0408,61.9608,20.265,242.852,43.4873,0.3639,7.1108,2.79152,1.01509,10.9412,1.95923,5.58444,0.913,0.305017,0.054619,0.2503979504108429,0.423915,0.213645,0.288153,0.772547,2.7824,1156.6,5.7829999999999995,1076,5.38,5.88831,5.79346,22.656,0.364711,0.675092,0.767309,4.08,3.66,3.38,3.16,2.97,2.79,2.61,2.42,2.17,3.54,3.36,3.24,3.14,3.04,2.95,2.86,2.75,2.61,6.880000114440918,6,AL,Tarik Skubal,669373,22267,22267
PIT,Pirates,13.4889,9.1301,32,32,0,0,,193.982,785.35,158.024,69.1719,62.8983,17.5661,236.928,51.5779,0.5026,7.1695,2.91824,1.08052,10.9925,2.39302,4.59359,0.815,0.301684,0.0656751,0.23600903153419495,0.443775,0.217483,0.297511,0.759042,2.77812,1100.4,5.6721649484536085,1033,5.324742268041237,5.68034,5.7358,21.2696,0.412698,0.702417,0.814684,4.28,3.84,3.55,3.31,3.11,2.92,2.73,2.52,2.26,3.75,3.55,3.4,3.29,3.18,3.08,2.98,2.86,2.7,9.779999732971191,27,NL,Paul Skenes,694973,33677,33677
BOS,Red Sox,13.6153,8.9299,32,32,0,0,,192.855,773.898,157.514,70.8222,64.7075,19.4998,238.635,49.9141,0.493,6.0093,3.01971,1.07556,11.1364,2.32935,4.78092,0.91,0.308355,0.064497,0.24385782331228256,0.454958,0.219387,0.300136,0.758381,2.84475,1093.7,5.666839378238342,1028,5.3264248704663215,5.58996,5.39046,20.7292,0.404931,0.715383,0.822036,4.39,3.94,3.65,3.41,3.21,3.01,2.82,2.61,2.34,3.84,3.64,3.5,3.38,3.28,3.18,3.08,2.96,2.81,12.079999923706055,3,AL,Garrett Crochet,676979,27463,27463
PHI,Phillies,13.5481,9.3111,32,32,0,0,,198.055,812.033,182.637,77.1653,69.2585,17.5609,191.361,50.5743,0.4953,6.6741,3.14724,1.17751,8.69583,2.29819,3.78377,0.798,0.235657,0.0622811,0.17337608337402344,0.545382,0.241972,0.302413,0.747969,3.22256,976,4.929292929292929,964,4.8686868686868685,4.70429,5.14912,21.1259,0.388616,0.727403,0.824705,4.6,4.15,3.86,3.62,3.41,3.22,3.02,2.81,2.54,4.02,3.82,3.69,3.58,3.49,3.39,3.29,3.18,3.03,25.450000762939453,26,NL,Cristopher Sánchez,650911,20778,20778
ATL,Braves,11.8583,7.6903,27.54,27.54,0,0,,168.535,685.38,139.603,64.9401,59.7322,18.1269,205.598,44.2865,0.5229,8.6056,3.18978,1.09111,10.9792,2.36496,4.64246,0.968,0.299977,0.064616,0.23536096513271332,0.416542,0.220721,0.29718,0.750413,3.03503,918.2,5.433136094674556,864,5.112426035502959,4.15248,4.32281,17.7409,0.425209,0.784209,0.892069,4.65,4.16,3.84,3.58,3.36,3.15,2.94,2.71,2.43,4.03,3.81,3.67,3.55,3.44,3.34,3.23,3.11,2.94,39.040000915527344,16,NL,Chris Sale,519242,10603,10603
SFG,Giants,12.6106,10.3768,32,32,0,0,,199.392,830.798,193.788,81.7568,73.4716,16.616,187.378,47.1777,0.7552,6.0499,3.31631,1.20851,8.45775,2.12947,3.97176,0.75,0.22554,0.056786,0.16875413805246353,0.547547,0.249223,0.308891,0.731312,3.13982,974.1000000000003,4.894974874371861,989,4.969849246231155,4.10883,3.93109,20.748,0.379994,0.742824,0.834376,4.79,4.34,4.04,3.81,3.6,3.4,3.2,2.98,2.7,4.19,4,3.87,3.77,3.67,3.57,3.48,3.37,3.22,57.540000915527344,30,NL,Logan Webb,657277,17995,17995
KCR,Royals,11.7946,8.559,29.16,29.16,0,0,,172.018,711.112,139.942,68.7067,63.2757,18.9602,210.673,62.2664,0.598,5.6349,3.31059,1.17551,11.0224,3.25778,3.38341,0.992,0.296258,0.087562,0.20869610458612442,0.398402,0.217568,0.292524,0.759983,3.3028,893.0999999999999,5.192441860465116,831,4.8313953488372094,4.06641,4.11862,17.3513,0.44794,0.790011,0.908167,4.79,4.3,3.97,3.71,3.49,3.27,3.06,2.83,2.53,4.18,3.96,3.81,3.68,3.57,3.46,3.34,3.21,3.04,47.709999084472656,7,AL,Cole Ragans,666142,21846,21846
TEX,Rangers,11.3999,9.1401,29.16,29.16,0,0,,174.797,715.795,152.535,73.6362,68.3769,23.5976,202.853,39.7982,0.4402,5.3427,3.52061,1.10032,10.4446,2.04914,5.09705,1.215,0.283396,0.0556,0.22779583185911179,0.378878,0.227442,0.290266,0.745132,3.34386,873,4.988571428571428,834,4.765714285714286,4.04904,3.37753,17.1296,0.485259,0.803605,0.938754,5.03,4.52,4.18,3.92,3.68,3.46,3.24,3,2.69,4.43,4.19,4.02,3.88,3.76,3.64,3.52,3.38,3.19,49.720001220703125,13,AL,Jacob deGrom,594798,10954,10954
BOS,Red Sox,11.557,9.9604,30.78,30.78,0,0,,181.357,757.232,171.233,80.8822,74.3967,21.1382,189.678,47.9002,0.5013,5.6603,3.692,1.2083,9.41295,2.37709,3.95986,1.049,0.250489,0.063257,0.18723206222057343,0.450923,0.243342,0.304541,0.729404,3.44459,854.5000000000001,4.720994475138122,850,4.696132596685083,3.88205,3.47428,16.9886,0.418179,0.809093,0.910772,5.22,4.73,4.4,4.14,3.91,3.7,3.48,3.24,2.94,4.56,4.36,4.22,4.1,3.99,3.89,3.78,3.66,3.49,137.47999572753906,3,AL,Sonny Gray,543243,12768,12768
TOR,Blue Jays,11.8896,9.3988,30.78,30.78,0,0,,177.809,746.471,149.425,75.6648,69.9145,21.1198,208.814,64.94,1.1317,5.6523,3.53879,1.20559,10.5693,3.287,3.21549,1.069,0.279735,0.086996,0.19273904711008072,0.381153,0.221082,0.287715,0.750553,3.52154,876.5000000000001,4.924157303370787,822,4.617977528089888,3.7563,3.24935,16.9304,0.400527,0.800373,0.894997,5.01,4.53,4.21,3.95,3.73,3.52,3.3,3.07,2.78,4.35,4.16,4.02,3.91,3.81,3.71,3.61,3.49,3.33,74.19000244140625,14,AL,Dylan Cease,656302,18525,18525
