Team,ShortName,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,OBP,SLG,OPS,wOBA,BB%,K%,BB/K,ISO,Spd,BABIP,UBR,GDPRuns,wRC,wRAA,UZR,wBsR,BaseRunning,WAR,Off,Def,wRC+,FPTS,FPTS_G,SPTS,SPTS_G,ADP,Pos,minpos,UPURL,teamid,League,PlayerName,xMLBAMID,playerids,playerid
NYY,Yankees,149,516,644,149,78,26,1,43,110,119,117,24,158,6,5,0,,8,2,0.288,0.421474,0.594,1.01547,0.419441,0.18109,0.245192,0.738562,0.306,3.80363,0.329032,0,,131.719,55.6256,5.43447,-0.365885,-0.365885,7.84375,56.26468014717102,-1.7655320167541504,174.609,1182.3,7.934899328,1182.3,7.934899328,1.8600000143051147,0.37086093,OF,/players/aaron-judge/15640/stats/batting,9,AL,Aaron Judge,592450,15640,15640
LAD,Dodgers,157,578,679,167,82,29,5,51,135,135,93,16,162,5,4,0,,28,5,0.288851,0.389368,0.619932,1.0093,0.417332,0.136494,0.238506,0.572289,0.331081,7.04885,0.314815,0,,137.715,57.4862,0,2.57877,2.57877,6.76498,60.50524353981018,-16.975000381469727,171.98,1282.4,8.168152866,1282.4,8.168152866,1.2400000095367432,0.91860465,DH,/players/shohei-ohtani/19755/stats/batting,22,NL,Shohei Ohtani,660271,19755,19755
SEA,Mariners,159,552,637,127,63,23,0,42,84,111,77,10,172,5,3,0,,7,2,0.230483,0.328502,0.5,0.828502,0.349363,0.120773,0.270531,0.446429,0.269517,3.02577,0.25,0,,94.1032,18.7895,8.54657,-0.29135,-0.29135,6.26018,23.551968663930893,15.6965651512146,131.738,874.4,5.499371069,874.4,5.499371069,18.350000381469727,0.23899371,C,/players/cal-raleigh/21534/stats/batting,11,AL,Cal Raleigh,663728,21534,21534
KCR,Royals,157,617,679,174,102,35,9,28,101,96,47,6,121,7,7,0,,33,9,0.282609,0.337386,0.505017,0.842403,0.355688,0.0699088,0.177812,0.393162,0.222408,7.50942,0.308026,0,,103.732,23.5029,7.34009,1.80637,1.80637,6.24484,23.051726460456848,14.615092277526855,126.547,972.9,6.196815286,972.9,6.196815286,3.0799999237060547,0.02531646,SS,/players/bobby-witt-jr/25764/stats/batting,7,AL,Bobby Witt Jr.,677951,25764,25764
NYM,Mets,159,551,686,149,87,24,1,38,112,105,127,9,119,3,4,1,,24,3,0.271375,0.408072,0.524164,0.932235,0.39766,0.185075,0.173134,1.06897,0.252788,4.962,0.280206,0,,128.178,47.122,-7.05979,2.07982,2.07982,6.15207,51.916582345962524,-14.609789371490479,161.296,1143.1,7.189308176,1143.1,7.189308176,4.679999828338623,0.01875,OF,/players/juan-soto/20123/stats/batting,25,NL,Juan Soto,665742,20123,20123
BAL,Orioles,156,593,672,161,94,33,5,29,102,93,69,3,146,6,4,0,,22,4,0.271777,0.351767,0.491289,0.843056,0.360986,0.102919,0.21659,0.475177,0.219512,6.29194,0.312958,0,,105.553,26.151,-2.45558,1.54742,1.54742,5.81862,28.997478008270264,4.744420766830444,134.658,961,6.16025641,961,6.16025641,12.34000015258789,0.05228758,SS,/players/gunnar-henderson/26289/stats/batting,2,AL,Gunnar Henderson,683002,26289,26289
SEA,Mariners,159,627,686,167,105,30,2,30,97,101,47,5,152,9,2,0,,28,6,0.26601,0.325826,0.463054,0.78888,0.337997,0.0690691,0.222222,0.310811,0.197044,5.80063,0.306452,0,,94.948,13.8918,6.92657,1.99768,1.99768,5.53677,21.32866358757019,9.176565647125244,123.909,893,5.616352201,893,5.616352201,9.529999732971191,0.00625,OF,/players/julio-rodriguez/23697/stats/batting,11,AL,Julio Rodríguez,677594,23697,23697
ATL,Braves,151,546,651,156,96,26,1,33,124,87,96,4,135,7,1,0,,30,6,0.286036,0.398866,0.52027,0.919136,0.395262,0.147448,0.20794,0.709091,0.234234,5.80102,0.324675,0,,120.371,43.4505,-5.09143,2.09544,2.09544,5.52532,45.21184706687927,-12.866428852081299,155.881,1068.1,7.073509933,1068.1,7.073509933,5.420000076293945,0.04210526,OF,/players/ronald-acuna-jr/18401/stats/batting,16,NL,Ronald Acuña Jr.,660670,18401,18401
NYM,Mets,151,577,651,152,96,29,1,26,99,87,56,2,117,12,6,0,,22,4,0.263423,0.337798,0.45302,0.790818,0.341643,0.0863095,0.18006,0.479339,0.189597,5.38242,0.286344,0,,92.0308,15.1101,5.56486,1.80134,1.80134,5.44165,19.487754344940186,12.039860725402832,122.923,843,5.582781456,843,5.582781456,25.670000076293945,0.0125,SS,/players/francisco-lindor/12916/stats/batting,25,NL,Francisco Lindor,596019,12916,12916
LAD,Dodgers,151,558,651,150,84,28,2,35,98,108,88,6,92,2,2,1,,24,3,0.268145,0.368512,0.514113,0.882625,0.376492,0.134715,0.141623,0.951219,0.245968,5.36868,0.264935,0,,110.45,33.5298,0.997015,2.22756,2.22756,5.30597,36.17946767807007,-5.977985203266144,144.004,1010.8,6.694039735,1010.8,6.694039735,13.220000267028809,0.14179104,OF,/players/kyle-tucker/18345/stats/batting,22,NL,Kyle Tucker,663656,18345,18345
SDP,Padres,156,586,672,155,97,29,2,27,105,83,77,4,131,6,2,0,,26,5,0.265125,0.35559,0.460854,0.816444,0.35312,0.114907,0.195652,0.587302,0.19573,5.77949,0.298544,0,,101.261,21.8594,9.94482,1.91659,1.91659,5.28816,26.78393805027008,2.544816493988037,131.222,915.7,5.869871794,915.7,5.869871794,14.079999923706055,0.01290323,SS/OF,/players/fernando-tatis-jr/19709/stats/batting,29,NL,Fernando Tatis Jr.,665487,19709,19709
SFG,Giants,156,581,672,143,81,32,1,28,97,81,79,1,165,9,4,0,,9,2,0.245243,0.341865,0.450317,0.792182,0.344054,0.117002,0.244973,0.477612,0.205074,4.20849,0.291536,0,,96.3147,16.9127,5.84662,-0.389272,-0.389272,5.01988,18.45991823077202,8.246616840362549,123.666,857,5.493589743,857,5.493589743,164.55999755859375,0,3B,/players/matt-chapman/16505/stats/batting,30,NL,Matt Chapman,656305,16505,16505
LAD,Dodgers,151,565,651,155,97,32,2,24,97,92,75,3,76,4,6,0,,10,2,0.274436,0.360522,0.468045,0.828567,0.357043,0.115824,0.117455,0.986111,0.193609,4.56975,0.277652,0,,100.17,23.2497,-4.06892,-0.101003,-0.101003,4.9249,23.57081064581871,2.9060802459716797,130.68,883.2,5.849006622,883.2,5.849006622,59.0099983215332,0,OF,/players/mookie-betts/13611/stats/batting,22,NL,Mookie Betts,605141,13611,13611
CHC,Cubs,149,587,644,150,88,29,6,26,95,95,35,1,158,9,6,6,,34,8,0.255357,0.304276,0.460714,0.764991,0.326599,0.0537459,0.245928,0.218543,0.205357,7.66295,0.302564,0,,83.1752,7.08167,13.1391,2.41096,2.41096,4.8859,10.889586687088013,15.43905234336853,111.108,789.9,5.301342281,789.9,5.301342281,32.709999084472656,0.00636943,OF,/players/pete-crow-armstrong/27769/stats/batting,17,NL,Pete Crow-Armstrong,691718,27769,27769
CLE,Guardians,157,601,679,163,99,33,3,28,97,94,67,20,78,4,6,0,,30,6,0.271277,0.345369,0.475177,0.820546,0.342902,0.0989011,0.1146,0.863014,0.203901,5.9439,0.269639,0,,96.6833,16.4542,3.564,2.35791,2.35791,4.85737,19.916709899902344,4.189000129699707,121.941,941,5.993630573,941,5.993630573,6.079999923706055,0.1625,3B,/players/jose-ramirez/13510/stats/batting,5,AL,José Ramírez,608070,13510,13510
TEX,Rangers,149,561,644,145,88,30,2,25,89,81,73,3,145,5,4,0,,23,5,0.258621,0.347245,0.452107,0.799353,0.345635,0.113523,0.225376,0.503704,0.193487,5.33213,0.304348,0,,93.1285,17.0349,8.92825,1.23527,1.23527,4.83725,19.4854998588562,5.628253936767578,124.044,848.1,5.691946308,848.1,5.691946308,39.849998474121094,0,OF,/players/wyatt-langford/33333/stats/batting,13,AL,Wyatt Langford,694671,33333,33333
ARI,Diamondbacks,147,553,637,142,77,26,13,26,108,89,67,3,135,10,5,2,,34,6,0.256098,0.344461,0.489547,0.834008,0.356029,0.1059,0.2118,0.5,0.233449,8.47005,0.291262,0,,97.4916,22.2252,6.98305,3.37912,3.37912,4.7515,24.889873027801514,0.35805273056030273,128.492,914.9,6.223809523,914.9,6.223809523,14.420000076293945,0.02083333,OF,/players/corbin-carroll/25878/stats/batting,15,NL,Corbin Carroll,682998,25878,25878
TOR,Blue Jays,125,434,495,117,85,18,0,15,45,64,50,2,58,4,6,0,,1,0,0.270335,0.346639,0.411483,0.758122,0.330931,0.10084,0.117647,0.857143,0.141148,1.50007,0.279661,0,,65.6191,7.17835,13.2249,-0.697657,-0.697657,4.69818,6.946703791618347,21.949856758117676,113.113,578.3,4.6264,578.3,4.6264,158.9499969482422,0.056,C,/players/alejandro-kirk/22581/stats/batting,14,AL,Alejandro Kirk,672386,22581,22581
ARI,Diamondbacks,159,573,686,150,102,28,5,15,98,77,84,1,86,9,8,11,,23,6,0.261905,0.360877,0.404762,0.765639,0.337493,0.12272,0.126036,0.973684,0.142857,5.97556,0.281991,0,,94.6672,13.611,1.56671,0.936882,0.936882,4.65712,13.778514504432678,8.916710376739502,115.794,823.6,5.179874213,823.6,5.179874213,76.68000030517578,0,SS,/players/geraldo-perdomo/22799/stats/batting,15,NL,Geraldo Perdomo,672695,22799,22799
