Team,ShortName,W,L,GS,G,SV,HLD,BS,IP,TBF,H,R,ER,HR,SO,BB,IBB,HBP,ERA,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,GB%,AVG,BABIP,LOB%,FIP,FPTS,FPTS_IP,SPTS,SPTS_IP,WAR,RA9-WAR,ADP,teamid,League,PlayerName,xMLBAMID,playerids,playerid
DET,Tigers,14,5,32,32,0,0,,199,774,151,60,56,17,244,37,,6,2.54348,0.945652,11.0543,1.66304,6.64706,0.782609,0.315202,0.0474198,0.26778242737054825,,0.206795,0.285057,0.778364,2.46122,1229.9,6.180402010050252,1133,5.693467336683417,6.82219,6.81089,6.880000114440918,6,AL,Tarik Skubal,669373,22267,22267
BOS,Red Sox,16,6,32,32,0,0,,199,809,164,67,62,19,248,53,,4,2.78351,1.09061,11.2317,2.39284,4.69388,0.879002,0.307076,0.0654206,0.24165553599596024,,0.218391,0.299107,0.790671,2.7716,1137.5,5.71608040201005,1073,5.391959798994975,5.93377,6.25696,12.079999923706055,3,AL,Garrett Crochet,676979,27463,27463
PIT,Pirates,13,6,32,32,0,0,,182,727,145,60,56,16,207,47,,5,2.75459,1.05175,10.217,2.30384,4.43478,0.801336,0.284123,0.0640669,0.2200557291507721,,0.214393,0.284116,0.780312,2.87359,1031,5.664835164835165,960,5.274725274725275,5.07359,5.9004,9.779999732971191,27,NL,Paul Skenes,694973,33677,33677
SFG,Giants,16,8,32,32,0,0,,203,831,186,75,69,15,192,43,,5,3.05542,1.12831,8.53719,1.88717,4.52381,0.673989,0.231425,0.0511571,0.18026796355843544,,0.237726,0.297012,0.741463,2.91547,1074.1,5.291133004926108,1060,5.221674876847291,5.07082,5.29358,57.540000915527344,30,NL,Logan Webb,657277,17995,17995
PHI,Phillies,11,7,32,32,0,0,,199,818,181,78,73,18,192,47,,7,3.28099,1.14414,8.682,2.12002,4.09524,0.807628,0.234973,0.057377,0.1775956228375435,,0.236842,0.294355,0.737885,3.18,1002.6,5.038190954773869,983,4.939698492462312,4.74983,5.02268,25.450000762939453,26,NL,Cristopher Sánchez,650911,20778,20778
NYY,Yankees,14,9,31,31,0,0,,188,770,162,76,70,15,171,54,,7,3.36842,1.1462,8.21053,2.57895,3.18367,0.736842,0.222857,0.07,0.15285714715719223,,0.227907,0.28,0.719955,3.33981,944.5,5.023936170212766,904,4.808510638297872,4.18262,4.01688,49.81999969482422,9,AL,Max Fried,608331,13743,13743
KCR,Royals,10,7,29,29,0,0,,154,637,124,65,60,16,193,53,,4,3.50847,1.15254,11.2881,3.12712,3.60976,0.915254,0.302658,0.0838446,0.218813918530941,,0.213483,0.291228,0.721476,3.06734,835.4000000000002,5.424675324675326,777,5.045454545454546,4.02582,3.26763,47.709999084472656,7,AL,Cole Ragans,666142,21846,21846
HOU,Astros,14,7,31,31,0,0,,182,748,150,67,62,17,193,60,,7,3.05903,1.15086,9.55277,2.9517,3.23636,0.858676,0.258345,0.0798258,0.1785195916891098,,0.219745,0.281106,0.767878,3.34384,932.7,5.124725274725275,874,4.802197802197802,3.95141,4.68691,36.77000045776367,21,AL,Hunter Brown,686613,25880,25880
ATL,Braves,12,5,28,28,0,0,,162,667,137,60,56,17,195,44,,10,3.10345,1.11468,10.826,2.45389,4.41176,0.938252,0.292398,0.0662768,0.22612084448337555,,0.22293,0.298701,0.769868,3.09504,861.5,5.317901234567901,817,5.04320987654321,3.84728,4.39642,39.040000915527344,16,NL,Chris Sale,519242,10603,10603
SEA,Mariners,13,10,32,32,0,0,,193,766,159,78,72,24,197,41,,10,3.33333,1.03086,9.16667,1.88889,4.85294,1.11111,0.257009,0.0529595,0.20404982566833496,,0.221667,0.272289,0.733813,3.48082,960.6,4.97720207253886,894,4.632124352331606,3.82093,3.62182,35.130001068115234,11,AL,Bryan Woo,693433,30279,30279
LAD,Dodgers,12,6,26,26,0,0,,156,614,119,62,57,17,167,40,,5,3.30765,1.01956,9.60285,2.29401,4.18605,0.960285,0.271493,0.0648567,0.2066364884376526,,0.209756,0.266187,0.715259,3.24183,834.9000000000002,5.351923076923078,758,4.858974358974359,3.79603,3.68969,26.780000686645508,22,NL,Yoshinobu Yamamoto,808967,33825,33825
TOR,Blue Jays,11,8,31,31,0,0,,169,707,140,73,68,19,197,66,,4,3.60656,1.21433,10.4918,3.49727,3,1.03825,0.278665,0.0928882,0.1857764944434166,,0.219002,0.285366,0.743945,3.54194,836.9000000000001,4.95207100591716,782,4.627218934911243,3.65815,3.12636,74.19000244140625,14,AL,Dylan Cease,656302,18525,18525
DET,Tigers,15,9,31,31,0,0,,200,831,174,81,75,18,185,67,,9,3.39429,1.21143,8.33143,3.03429,2.74576,0.822857,0.222222,0.0809328,0.14128942042589188,,0.231118,0.283058,0.743671,3.62085,948.1999999999999,4.741,908,4.54,3.60459,4.38824,82.37999725341797,6,AL,Framber Valdez,664285,17295,17295
BOS,Red Sox,13,9,31,31,0,0,,176,735,168,79,73,22,182,47,,5,3.74026,1.22078,9.35065,2.3961,3.90244,1.11039,0.248062,0.0635659,0.18449611961841583,,0.245,0.304038,0.737299,3.53773,803.0000000000002,4.562500000000001,802,4.556818181818182,3.55186,3.32869,137.47999572753906,3,AL,Sonny Gray,543243,12768,12768
PHI,Phillies,12,10,31,31,0,0,,176,732,156,85,78,23,197,54,,4,3.98628,1.19152,10.0499,2.75109,3.65306,1.17904,0.268769,0.0735736,0.19519518315792084,,0.231648,0.292978,0.705446,3.59677,833.9,4.738068181818182,801,4.551136363636363,3.49009,2.71533,71.6500015258789,26,NL,Jesús Luzardo,666200,19959,19959
BOS,Red Sox,13,8,29,29,0,0,,166,702,161,70,64,15,145,48,,4,3.48387,1.25806,7.83871,2.6129,3,0.812903,0.206422,0.0688073,0.1376146748661995,,0.247934,0.298246,0.741163,3.51578,759.3000000000001,4.574096385542169,769,4.632530120481928,3.47528,3.61932,183.47000122070312,3,AL,Ranger Suarez,624133,17277,17277
SEA,Mariners,13,8,31,31,0,0,,168,689,155,72,66,19,166,31,,7,3.53419,1.10359,8.89641,1.64523,5.40741,1.03588,0.241722,0.044702,0.19701986387372017,,0.238179,0.291667,0.718391,3.32471,824.5,4.907738095238095,811,4.8273809523809526,3.43078,2.67643,64.52999877929688,11,AL,George Kirby,669923,25436,25436
CIN,Reds,9,8,29,29,0,0,,161,672,152,74,68,19,144,47,,4,3.79518,1.22892,8.0241,2.60241,3.08333,1.08434,0.214182,0.0694645,0.14471781998872757,,0.244131,0.288747,0.727273,3.85803,697.5,4.332298136645963,693,4.304347826086956,3.33715,3.11852,219.72000122070312,18,NL,Andrew Abbott,671096,29911,29911
PHI,Phillies,11,6,26,26,0,0,,159,647,136,65,60,17,164,43,,7,3.42657,1.12665,9.3007,2.44755,3.8,0.979021,0.253817,0.0667939,0.18702291697263718,,0.227743,0.285714,0.733652,3.43817,791.9000000000002,4.980503144654089,752,4.729559748427673,3.33365,3.71236,112.94999694824219,26,NL,Zack Wheeler,554430,10310,10310
