Team,ShortName,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,OBP,SLG,OPS,wOBA,BB%,K%,BB/K,ISO,Spd,BABIP,UBR,GDPRuns,wRC,wRAA,UZR,wBsR,BaseRunning,WAR,Off,Def,wRC+,FPTS,FPTS_G,SPTS,SPTS_G,ADP,Pos,minpos,UPURL,teamid,League,PlayerName,xMLBAMID,playerids,playerid
NYY,Yankees,141,500,624,144,76,25,1,42,107,115,113,23,153,6,5,0,14,8,2,0.288,0.421474,0.594,1.01547,0.419441,0.18109,0.245192,0.738562,0.306,3.80363,0.329032,,,127.629,53.8981,5.5,-0.354523,-0.354523,7.63416,54.517326444387436,-1.3783068656921387,174.609,1146,8.127659574,1146,8.127659574,1.8600000143051147,0.37086093,OF,/players/aaron-judge/15640/stats/batting,9,AL,Aaron Judge,592450,15640,15640
LAD,Dodgers,152,592,696,171,84,30,5,52,138,138,95,16,166,5,4,0,6,29,5,0.288851,0.389368,0.619932,1.0093,0.417332,0.136494,0.238506,0.572289,0.331081,7.04885,0.314815,,,141.163,58.9255,0,2.64333,2.64333,6.92412,62.020106077194214,-17.5,171.98,1311,8.625,1311,8.625,1.2400000095367432,0.91860465,DH,/players/shohei-ohtani/19755/stats/batting,22,NL,Shohei Ohtani,660271,19755,19755
SEA,Mariners,152,538,621,124,61,22,0,41,82,108,75,10,168,5,3,0,6,7,2,0.230483,0.328502,0.5,0.828502,0.349363,0.120773,0.270531,0.446429,0.269517,3.02577,0.25,,,91.682,18.3061,9.9,-0.283854,-0.283854,6.71462,22.94598725438118,21.308730125427246,131.738,853.3,5.613815789,853.3,5.613815789,18.350000381469727,0.23899371,C,/players/cal-raleigh/21534/stats/batting,11,AL,Cal Raleigh,663728,21534,21534
KCR,Royals,152,598,658,169,99,34,9,27,98,93,46,6,117,7,7,0,8,32,9,0.282609,0.337386,0.505017,0.842403,0.355688,0.0699088,0.177812,0.393162,0.222408,7.50942,0.308026,,,100.524,22.776,7.1,1.7505,1.7505,6.07114,22.33877944946289,14.353086471557617,126.547,946.7,6.228289473,946.7,6.228289473,3.0799999237060547,0.02531646,SS,/players/bobby-witt-jr/25764/stats/batting,7,AL,Bobby Witt Jr.,677951,25764,25764
NYM,Mets,152,538,670,146,85,23,1,37,109,103,124,9,116,3,4,1,14,23,3,0.271375,0.408072,0.524164,0.932235,0.39766,0.185075,0.173134,1.06897,0.252788,4.962,0.280206,,,125.189,46.0229,-6.9,2.03131,2.03131,6.00691,50.70569705963135,-14.285361766815186,161.296,1116.1,7.342763157,1116.1,7.342763157,4.679999828338623,0.01875,OF,/players/juan-soto/20123/stats/batting,25,NL,Juan Soto,665742,20123,20123
NYM,Mets,151,596,672,157,99,30,1,27,102,90,58,2,121,12,6,0,8,23,4,0.263423,0.337798,0.45302,0.790818,0.341643,0.0863095,0.18006,0.479339,0.189597,5.38242,0.286344,,,94.9995,15.5976,5.7,1.85945,1.85945,5.68667,20.11638629436493,13.107407093048096,122.923,872.2,5.77615894,872.2,5.77615894,25.670000076293945,0.0125,SS,/players/francisco-lindor/12916/stats/batting,25,NL,Francisco Lindor,596019,12916,12916
BAL,Orioles,152,574,651,156,91,32,5,28,99,90,67,3,141,6,4,0,6,21,4,0.271777,0.351767,0.491289,0.843056,0.360986,0.102919,0.21659,0.475177,0.219512,6.29194,0.312958,,,102.254,25.3338,-2.4,1.49906,1.49906,5.65518,28.091304421424866,4.775925636291504,134.658,931.8,6.130263157,931.8,6.130263157,12.34000015258789,0.05228758,SS,/players/gunnar-henderson/26289/stats/batting,2,AL,Gunnar Henderson,683002,26289,26289
SEA,Mariners,152,609,666,162,102,29,2,29,94,98,46,5,148,9,2,0,13,27,6,0.26601,0.325826,0.463054,0.78888,0.337997,0.0690691,0.222222,0.310811,0.197044,5.80063,0.306452,,,92.1799,13.4868,6.7,1.93944,1.93944,5.3997,20.70683479309082,9.147089719772339,123.909,865.8,5.696052631,865.8,5.696052631,9.529999732971191,0.00625,OF,/players/julio-rodriguez/23697/stats/batting,11,AL,Julio Rodríguez,677594,23697,23697
MIL,Brewers,152,566,648,153,101,31,1,20,87,82,75,4,124,3,4,0,17,6,2,0.270318,0.356481,0.434629,0.79111,0.343987,0.115741,0.191358,0.604839,0.164311,3.6188,0.312207,,,92.8399,16.2737,1.5,-0.774328,-0.774328,5.2253,16.108076691627502,13.404762268066406,121.982,814.2,5.356578947,814.2,5.356578947,55.79999923706055,0.14473684,C,/players/william-contreras/20503/stats/batting,23,NL,William Contreras,661388,20503,20503
SDP,Padres,147,562,644,149,93,28,2,26,101,80,74,4,126,6,2,0,11,25,5,0.265125,0.35559,0.460854,0.816444,0.35312,0.114907,0.195652,0.587302,0.19573,5.77949,0.298544,,,97.0422,20.9486,9.6,1.83673,1.83673,5.07421,25.667945384979248,2.501235008239746,131.222,882.9,6.006122448,882.9,6.006122448,14.079999923706055,0.01290323,SS/OF,/players/fernando-tatis-jr/19709/stats/batting,29,NL,Fernando Tatis Jr.,665487,19709,19709
ARI,Diamondbacks,152,574,661,147,80,27,13,27,112,92,70,3,140,10,5,2,5,35,6,0.256098,0.344461,0.489547,0.834008,0.356029,0.1059,0.2118,0.5,0.233449,8.47005,0.291262,,,101.165,23.0625,7.2,3.50643,3.50643,4.8837,25.827646017074585,-0.08615541458129883,128.492,945.1,6.217763157,945.1,6.217763157,14.420000076293945,0.02083333,OF,/players/corbin-carroll/25878/stats/batting,15,NL,Corbin Carroll,682998,25878,25878
CLE,Guardians,148,564,637,153,93,31,3,26,91,88,63,19,73,4,6,0,7,28,6,0.271277,0.345369,0.475177,0.820546,0.342902,0.0989011,0.1146,0.863014,0.203901,5.9439,0.269639,,,90.7029,15.4364,3.7,2.21206,2.21206,4.77286,18.684754371643066,6.040534973144531,121.941,881.6,5.956756756,881.6,5.956756756,6.079999923706055,0.1625,3B,/players/jose-ramirez/13510/stats/batting,5,AL,José Ramírez,608070,13510,13510
