Team,ShortName,W,L,GS,G,SV,HLD,BS,IP,TBF,H,R,ER,HR,SO,BB,IBB,HBP,ERA,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,GB%,AVG,BABIP,LOB%,FIP,FPTS,FPTS_IP,SPTS,SPTS_IP,WAR,RA9-WAR,ADP,teamid,League,PlayerName,xMLBAMID,playerids,playerid
DET,Tigers,13,5,30,30,0,0,,184,717,140,56,52,16,226,34,0,6,2.54348,0.945652,11.0543,1.66304,6.64706,0.782609,0.315202,0.0474198,0.26778243109583855,,0.206795,0.285057,0.778364,2.46122,1132.8000000000002,6.156521739130436,1044,5.673913043478261,6.3026,6.22651,6.880000114440918,6,AL,Tarik Skubal,669373,22267,22267
BOS,Red Sox,15,6,30,30,0,0,,184.3,749,152,62,57,18,230,49,1,4,2.78351,1.09061,11.2317,2.39284,4.69388,0.879002,0.307076,0.0654206,0.24165553599596024,,0.218391,0.299107,0.790671,2.7716,1048.2200225830077,5.68757463497508,988.5000152587891,5.363537704235328,5.49248,5.79684,12.079999923706055,3,AL,Garrett Crochet,676979,27463,27463
PIT,Pirates,13,6,32,32,0,0,,179.7,718,143,59,55,16,204,46,0,5,2.75459,1.05175,10.217,2.30384,4.43478,0.801336,0.284123,0.0640668,0.2200557067990303,,0.214393,0.284116,0.780312,2.87359,1016.1799774169924,5.654869196851885,945.4999847412109,5.261547027257531,5.00732,5.85027,9.779999732971191,27,NL,Paul Skenes,694973,33677,33677
SFG,Giants,16,8,32,32,0,0,,200.3,821,184,74,68,15,190,42,1,5,3.05542,1.12831,8.53719,1.88717,4.52381,0.673989,0.231425,0.0511571,0.18026796728372574,,0.237726,0.297012,0.741463,2.91547,1058.3200225830078,5.283674520511797,1045.500015258789,5.219670490911727,5.00154,5.221,57.540000915527344,30,NL,Logan Webb,657277,17995,17995
PHI,Phillies,10,6,29,29,0,0,,178.3,732,162,70,65,16,172,42,0,6,3.28099,1.14414,8.682,2.12002,4.09524,0.807628,0.234973,0.057377,0.1775956228375435,,0.236842,0.294355,0.737885,3.18,901.420022583008,5.0556366077085215,883.5000152587891,4.95513180110447,4.25463,4.48583,25.450000762939453,26,NL,Cristopher Sánchez,650911,20778,20778
LAD,Dodgers,13,7,28,28,0,0,,168.7,663,129,67,62,18,180,43,0,5,3.30765,1.01956,9.60285,2.29401,4.18605,0.960285,0.271493,0.0648567,0.20663651078939438,,0.209756,0.266187,0.715259,3.24183,907.5799774169922,5.379845843716531,825.4999847412109,4.893301717097704,4.10547,3.99585,26.780000686645508,22,NL,Yoshinobu Yamamoto,808967,33825,33825
NYY,Yankees,13,8,28,28,0,0,,171,700,147,69,64,14,156,49,1,6,3.36842,1.1462,8.21053,2.57895,3.18367,0.736842,0.222857,0.07,0.15285714715719223,,0.227907,0.28,0.719955,3.33981,858,5.017543859649122,820,4.795321637426901,3.80487,3.66861,49.81999969482422,9,AL,Max Fried,608331,13743,13743
HOU,Astros,13,6,28,30,0,0,,167.7,689,138,62,57,16,178,55,0,6,3.05903,1.15086,9.55277,2.9517,3.23636,0.858676,0.258345,0.0798258,0.1785195916891098,,0.219745,0.281106,0.767878,3.34384,858.3799774169922,5.11854497935332,803.4999847412109,4.791293973542515,3.61461,4.25783,36.77000045776367,21,AL,Hunter Brown,686613,25880,25880
TOR,Blue Jays,11,8,30,30,0,0,,164.7,689,136,71,66,19,192,64,2,4,3.60656,1.21433,10.4918,3.49727,3,1.03825,0.278665,0.0928882,0.1857764944434166,,0.219002,0.285366,0.743945,3.54194,811.4799774169923,4.927018776278447,756.4999847412109,4.593199749596503,3.56543,3.06262,74.19000244140625,14,AL,Dylan Cease,656302,18525,18525
CIN,Reds,9,8,30,30,0,0,,166,691,156,76,70,20,148,48,0,4,3.79518,1.22892,8.0241,2.60241,3.08333,1.08434,0.214182,0.0694645,0.14471780508756638,,0.244131,0.288747,0.727273,3.85803,716.8000000000001,4.3180722891566266,710,4.27710843373494,3.44065,3.24591,219.72000122070312,18,NL,Andrew Abbott,671096,29911,29911
BOS,Red Sox,12,7,27,28,0,0,,155,654,150,65,60,14,135,45,0,4,3.48387,1.25806,7.83871,2.6129,3,0.812903,0.206422,0.0688073,0.1376146748661995,,0.247934,0.298246,0.741163,3.51578,707.8,4.566451612903226,716,4.619354838709677,3.2322,3.40485,183.47000122070312,3,AL,Ranger Suarez,624133,17277,17277
CIN,Reds,8,6,24,24,0,0,,137,548,100,58,54,16,159,43,0,13,3.54745,1.0438,10.4453,2.82482,3.69767,1.05109,0.290146,0.0784672,0.21167884021997452,,0.203252,0.264984,0.704809,3.55849,707.0000000000002,5.160583941605841,627,4.576642335766423,3.21839,3.17432,336.5799865722656,18,NL,Hunter Greene,668881,22182,22182
SEA,Mariners,11,8,27,28,0,0,,162,642,133,65,60,20,165,34,1,8,3.33333,1.03086,9.16667,1.88889,4.85294,1.11111,0.257009,0.0529595,0.20404985547065735,,0.221667,0.272289,0.733813,3.48082,811,5.006172839506172,754,4.654320987654321,3.19389,3.08207,35.130001068115234,11,AL,Bryan Woo,693433,30279,30279
PHI,Phillies,11,9,28,28,0,0,,160.3,666,142,77,71,21,179,49,0,4,3.98628,1.19152,10.0499,2.75109,3.65306,1.17904,0.268769,0.0735736,0.19519518315792084,,0.231648,0.292978,0.705446,3.59677,757.7200225830079,4.726887137602577,727.5000152587891,4.5383655733549375,3.17903,2.51618,71.6500015258789,26,NL,Jesús Luzardo,666200,19959,19959
BOS,Red Sox,11,8,27,27,0,0,,154,645,147,69,64,19,160,41,0,4,3.74026,1.22078,9.35065,2.3961,3.90244,1.11039,0.248062,0.0635659,0.18449611961841583,,0.245,0.304038,0.737299,3.53773,708.7,4.601948051948052,708,4.597402597402597,3.10803,2.92588,137.47999572753906,3,AL,Sonny Gray,543243,12768,12768
DET,Tigers,13,8,27,27,0,0,,175,729,153,71,66,16,162,59,0,8,3.39429,1.21143,8.33143,3.03429,2.74576,0.822857,0.222222,0.0809328,0.14128944277763367,,0.231118,0.283058,0.743671,3.62085,823.4000000000001,4.7051428571428575,790,4.514285714285714,3.1069,3.75959,82.37999725341797,6,AL,Framber Valdez,664285,17295,17295
KCR,Royals,8,5,22,24,0,0,,118,489,95,50,46,12,148,41,0,3,3.50847,1.15254,11.2881,3.12712,3.60976,0.915254,0.302658,0.0838446,0.218813918530941,,0.213483,0.291228,0.721476,3.06734,642.6,5.445762711864407,598,5.067796610169491,3.05761,2.45897,47.709999084472656,7,AL,Cole Ragans,666142,21846,21846
TEX,Rangers,11,9,29,29,0,0,,157.7,669,136,72,67,18,181,58,0,9,3.82372,1.23018,10.3297,3.31008,3.12069,1.02727,0.270553,0.0866966,0.18385648727416992,,0.225914,0.292804,0.722749,3.59804,752.979977416992,4.774762155918895,715.4999847412109,4.537095742468791,3.02415,2.43475,164.67999267578125,13,AL,MacKenzie Gore,669022,22201,22201
SEA,Mariners,11,7,27,27,0,0,,147.7,604,136,63,58,17,146,27,0,6,3.53419,1.10359,8.89641,1.64523,5.40741,1.03588,0.241722,0.044702,0.19701986759901047,,0.238179,0.291667,0.718391,3.32471,723.2799774169922,4.896953231965521,710.4999847412109,4.810426536367419,3.01655,2.38734,64.52999877929688,11,AL,George Kirby,669923,25436,25436
SEA,Mariners,9,6,29,30,0,0,,160.3,645,133,66,61,21,175,39,1,5,3.42483,1.07299,9.82533,2.18964,4.48718,1.17904,0.271318,0.0604651,0.2108527235686779,,0.221298,0.276543,0.743338,3.47824,800.120022583008,4.991391187464073,746.5000152587891,4.656893331547589,2.97219,2.85251,36.91999816894531,11,AL,Logan Gilbert,669302,22250,22250
ATL,Braves,9,4,21,22,0,0,,124.7,513,105,46,43,13,150,34,0,8,3.10345,1.11468,10.826,2.45389,4.41176,0.938252,0.292398,0.0662768,0.22612084448337555,,0.22293,0.298701,0.769868,3.09504,663.8799774169921,5.3238171103768455,628.4999847412109,5.040096231935557,2.94841,3.39113,39.040000915527344,16,NL,Chris Sale,519242,10603,10603
TOR,Blue Jays,11,9,28,28,0,0,,162.3,676,152,74,68,21,157,46,1,2,3.77079,1.21996,8.7061,2.55083,3.41304,1.16451,0.232249,0.0680473,0.16420117765665054,,0.242038,0.291111,0.735469,3.76976,717.5200225830079,4.420948916151216,708.5000152587891,4.36537277841484,2.92948,2.58136,114.51000213623047,14,AL,Kevin Gausman,592332,14107,14107
TEX,Rangers,10,7,26,26,0,0,,144.7,573,119,61,56,20,154,35,0,2,3.48307,1.06427,9.57844,2.17692,4.4,1.24395,0.268761,0.061082,0.2076788954436779,,0.222015,0.273481,0.738095,3.57052,712.3799774169923,4.923151295378423,660.4999847412109,4.564616438640738,2.92326,2.7882,49.720001220703125,13,AL,Jacob deGrom,594798,10954,10954
MIN,Twins,11,10,28,28,0,0,,155.3,630,134,70,65,23,169,36,0,9,3.7669,1.09466,9.79395,2.08628,4.69444,1.3329,0.268254,0.0571429,0.21111112460494041,,0.22906,0.282443,0.725689,3.75329,720.9200225830078,4.642112095405061,680.5000152587891,4.38184160905647,2.85658,2.65833,79.4000015258789,8,AL,Joe Ryan,657746,21390,21390
MIN,Twins,10,7,25,25,0,0,,141.3,589,131,63,58,16,141,37,0,6,3.69427,1.18896,8.98089,2.35669,3.81081,1.01911,0.239389,0.0628183,0.17657046020030975,,0.239927,0.29563,0.721154,3.52438,661.2200225830078,4.679547121742132,651.5000152587891,4.6107572624761115,2.80107,2.49286,741.530029296875,8,AL,Pablo López,641154,17085,17085
PHI,Phillies,9,5,21,21,0,0,,128.7,524,110,53,49,14,133,35,0,6,3.42657,1.12665,9.3007,2.44755,3.8,0.979021,0.253817,0.0667939,0.1870228871703148,,0.227743,0.285714,0.733652,3.43817,637.1799774169922,4.950893492819892,604.4999847412109,4.696969689784187,2.69845,2.96235,112.94999694824219,26,NL,Zack Wheeler,554430,10310,10310
NYM,Mets,12,9,30,30,0,0,,160.7,668,133,75,69,21,174,61,0,7,3.86434,1.20722,9.74487,3.4163,2.85246,1.1761,0.260479,0.0913174,0.16916166990995407,,0.221667,0.276543,0.722965,3.93787,729.0799774169923,4.5369010035004065,674.4999847412109,4.197261963598245,2.62304,2.35351,56.54999923706055,25,NL,Freddy Peralta,642547,18679,18679
ATL,Braves,11,9,24,25,0,0,,137.3,575,117,64,59,17,164,46,0,7,3.86744,1.18718,10.7502,3.01529,3.56522,1.11435,0.285217,0.08,0.2052174061536789,,0.224138,0.293255,0.711207,3.51387,671.7200225830079,4.892352568483123,634.5000152587891,4.621267306305903,2.61254,2.26975,107.9800033569336,16,NL,Spencer Strider,675911,27498,27498
ARI,Diamondbacks,11,6,25,25,0,0,,155,634,132,59,55,15,144,48,0,6,3.19355,1.16129,8.36129,2.7871,3,0.870968,0.227129,0.0757098,0.15141955763101578,,0.227586,0.27791,0.761006,3.5803,745.3,4.808387096774193,706,4.554838709677419,2.55178,4.06845,735.0399780273438,15,NL,Corbin Burnes,669203,19361,19361
CLE,Guardians,11,9,28,28,0,0,,165,686,150,74,68,21,153,48,0,7,3.70909,1.2,8.34545,2.61818,3.1875,1.14545,0.223032,0.0699708,0.15306122601032257,,0.237718,0.282276,0.735469,3.93514,713.7,4.325454545454546,693,4.2,2.54927,2.71033,187.3000030517578,5,AL,Tanner Bibee,676440,30134,30134
CIN,Reds,7,6,21,27,0,1,,104.7,435,92,48,44,14,123,28,0,0,3.78224,1.14613,10.5731,2.40688,4.39286,1.20344,0.282759,0.0643678,0.2183908075094223,,0.226044,0.288889,0.717131,3.32616,529.3799774169922,5.056160390135331,507.49998474121094,4.847182421524716,2.54285,1.97699,105,18,NL,Chase Burns,695505,35333,35333
