Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Tarik Skubal","DET",15.0466,7.3297,15.0209,2.60008,29.454,29.454,0,0,,188.89,741.343,142.076,58.59,54.57,15.771,37.0712,0.490318,7.29323,234.199,11.1588,1.76632,6.31755,0.751438,0.315911,0.0500054,0.2659059353172779,0.203845,0.948419,0.282555,0.767549,,,2.44542,6.84895,6.34148,6.880000114440918,,,,,,,1168.6000000000001,6.183068783068784,1073,5.677248677248677,,,,,,,,,,,,,,,,,,,"Tarik Skubal","22267",669373
"Paul Skenes","PIT",13.3687,8.62658,14.4448,3.09006,29.891,29.891,0,0,,185.006,746.819,149.974,67.9,63.52,17.1684,47.6066,0.461888,5.10558,220.61,10.732,2.31592,4.63403,0.835191,0.2954,0.0637459,0.23165415227413177,0.216067,1.06797,0.29103,0.747245,,,2.81139,5.81217,4.95502,9.779999732971191,,,,,,,1052.9,5.691351351351352,987,5.335135135135135,,,,,,,,,,,,,,,,,,,"Paul Skenes","33677",694973
"Cristopher Sánchez","PHI",14.3885,7.72041,15.2271,3.07982,29.348,29.348,0,0,,187.813,761.213,165.273,69.3,64.27,14.0748,44.4038,0.474978,6.01759,191.581,9.18055,2.12783,4.31451,0.674466,0.251678,0.0583329,0.1933453120291233,0.23252,1.11641,0.299322,0.738934,,,2.87464,5.21511,5.05706,25.450000762939453,,,,,,,1024,5.446808510638298,992,5.276595744680851,,,,,,,,,,,,,,,,,,,"Cristopher Sanchez","20778",650911
"Logan Webb","SFG",13.5545,9.0853,16.0811,3.26021,30.046,30.046,0,0,,194.426,796.75,177.974,75.74,70.43,15.1141,47.6201,0.823644,5.63347,191.804,8.87862,2.20434,4.02779,0.699633,0.240733,0.0597679,0.1809648461639881,0.239374,1.16031,0.303515,0.733018,,,2.99439,5.1982,4.6615,57.540000915527344,,,,,,,1010.3000000000002,5.207731958762888,997,5.139175257731959,,,,,,,,,,,,,,,,,,,"Logan Webb","17995",657277
"Garrett Crochet","BOS",13.2701,8.44333,14.6791,3.25978,29.34,29.34,0,0,,183.85,741.722,152.42,71.72,66.59,21.0646,42.288,0.531758,6.25056,218.561,10.6992,2.07012,5.16841,1.03117,0.294668,0.0570133,0.23765436932444572,0.219884,1.05906,0.289612,0.7444,,,3.03904,5.18472,4.42826,12.079999923706055,,,,,,,1002.1000000000001,5.446195652173913,941,5.114130434782608,,,,,,,,,,,,,,,,,,,"Garrett Crochet","27463",676979
"Chris Sale","ATL",10.8818,7.73991,12.4073,3.56021,25.583,25.583,0,0,,156.96,646.903,129.897,66.5,62.09,16.9648,42.0833,0.413145,12.0422,204.025,11.6987,2.41303,4.84812,0.972754,0.315387,0.0650535,0.2503337860107422,0.219132,1.09569,0.303754,0.711601,,,2.97503,4.49484,3.26176,39.040000915527344,,,,,,,860.7,5.482165605095542,810,5.159235668789809,,,,,,,,,,,,,,,,,,,"Chris Sale","10603",519242
"Bryan Woo","SEA",13.2067,8.43815,14.7267,3.3901,29.291,29.291,0,0,,183.446,735.533,151.11,73.8,69.1,24.3835,36.9986,0.489713,7.45971,189.43,9.2936,1.81518,5.11994,1.19627,0.257542,0.0503018,0.2072400152683258,0.218659,1.02542,0.265529,0.7424,,,3.5249,4.34586,4.13224,35.130001068115234,,,,,,,912.4,4.9857923497267755,849,4.639344262295082,,,,,,,,,,,,,,,,,,,"Bryan Woo","30279",693433
"Max Fried","NYY",13.5842,7.72013,14.414,3.24991,28.699,28.699,0,0,,180.199,741.981,151.832,69.85,65.07,14.6052,55.5561,0.472399,9.40956,173.708,8.67582,2.77474,3.12672,0.729454,0.234114,0.0748753,0.1592387929558754,0.224267,1.15089,0.280799,0.735731,,,3.3424,4.25155,4.37896,49.81999969482422,,,,,,,905.3,5.029444444444445,858,4.766666666666667,,,,,,,,,,,,,,,,,,,"Max Fried","13743",608331
"Dylan Cease","TOR",12.275,8.26232,12.3573,3.36977,29.088,29.088,0,0,,168.955,693.596,130.278,67.58,63.26,18.4902,62.4761,0.580724,4.41335,199.947,10.6509,3.32802,3.20037,0.98495,0.288275,0.0900757,0.19819963723421097,0.207877,1.14086,0.273809,0.75014,,,3.37868,4.1591,3.84737,74.19000244140625,,,,,,,893.2,5.285207100591716,813,4.810650887573964,,,,,,,,,,,,,,,,,,,"Dylan Cease","18525",656302
"Jesús Luzardo","PHI",12.1161,8.92857,13.6286,3.68003,29.342,29.342,0,0,,176.012,729.128,153.321,77.68,71.97,20.8396,51.8559,0.49133,7.06884,195.04,9.97297,2.65154,3.7612,1.06559,0.267498,0.0711205,0.1963776797056198,0.228768,1.1657,0.291602,0.724408,,,3.46243,4.06483,3.2181,71.6500015258789,,,,,,,859.3000000000002,4.882386363636365,820,4.659090909090909,,,,,,,,,,,,,,,,,,,"Jesus Luzardo","19959",666200
"Cole Ragans","KCR",10.6617,7.94314,11.4987,3.4101,26.132,26.132,0,0,,153.972,628.744,116.875,62.2,58.34,19.5259,50.4605,0.503291,7.02324,195.223,11.4112,2.94952,3.86883,1.14133,0.310497,0.080256,0.2302408069372177,0.204592,1.08679,0.273062,0.750973,,,3.36792,3.91102,3.50315,47.709999084472656,,,,,,,808.4000000000001,5.24935064935065,729,4.733766233766234,,,,,,,,,,,,,,,,,,,"Cole Ragans","21846",666142
"Framber Valdez","DET",13.0411,8.73278,15.6384,3.35022,28.856,28.856,0,0,,187.51,774.575,161.453,75.37,69.8,14.4514,60.1597,0.513506,10.0702,171.414,8.22742,2.88751,2.84931,0.693632,0.2213,0.0776681,0.14363224804401398,0.229225,1.18187,0.283525,0.726201,,,3.43235,3.87912,4.3636,82.37999725341797,,,,,,,932.4,4.959574468085107,890,4.73404255319149,,,,,,,,,,,,,,,,,,,"Framber Valdez","17295",664285
"Yoshinobu Yamamoto","LAD",12.9182,6.35827,12.4779,3.36023,26.497,26.497,0,0,,161.105,660.17,133.387,64.37,60.15,15.9582,51.7494,0.396702,4.13082,178.657,9.98051,2.89094,3.45234,0.891494,0.270622,0.078388,0.1922343447804451,0.220733,1.14916,0.286638,0.741831,,,3.24553,3.86638,3.7585,26.780000686645508,,,,,,,838.8000000000002,5.209937888198759,787,4.888198757763975,,,,,,,,,,,,,,,,,,,"Yoshinobu Yamamoto","33825",808967
"Logan Gilbert","SEA",11.468,8.41193,12.4315,3.57004,27.956,27.956,0,0,,164.872,664.476,133.747,70.05,65.4,24.5348,38.9807,0.514652,6.12974,201.179,10.9819,2.12787,5.161,1.3393,0.302764,0.0586638,0.24410006031394005,0.215942,1.04765,0.277434,0.742004,,,3.45008,3.82535,3.3565,36.91999816894531,,,,,,,832.1,5.043030303030303,767,4.648484848484848,,,,,,,,,,,,,,,,,,,"Logan Gilbert","22250",669302
"George Kirby","SEA",11.2746,8.64101,12.63,3.71003,27.99,27.99,0,0,,165.613,678.205,150.158,72.87,68.27,19.871,35.1418,0.445389,7.08727,161.247,8.76274,1.90973,4.58847,1.07986,0.237756,0.0518159,0.18593977019190788,0.236106,1.11887,0.286434,0.713928,,,3.51262,3.80994,3.09605,64.52999877929688,,,,,,,788.4000000000001,4.749397590361446,766,4.614457831325301,,,,,,,,,,,,,,,,,,,"George Kirby","25436",669923
"Jacob deGrom","TEX",10.8576,7.99783,12.2077,3.44985,26.093,26.093,0,0,,157.859,633.092,124.726,64.3,60.51,20.0486,40.6965,0.451578,2.58616,175.658,10.0148,2.32023,4.31629,1.14303,0.277461,0.0642822,0.2131783813238144,0.211468,1.04791,0.265609,0.736215,,,3.38323,3.79572,3.55244,49.720001220703125,,,,,,,818.2,5.178481012658228,750,4.746835443037975,,,,,,,,,,,,,,,,,,,"Jacob deGrom","10954",594798
"Hunter Brown","HOU",11.792,9.44011,14.1817,3.7398,29.337,29.337,0,0,,178.999,746.283,154.487,79.2,74.38,19.7562,61.7383,0.55207,6.89257,189.385,9.52219,3.10418,3.06754,0.993333,0.253771,0.0827277,0.17104288935661316,0.227975,1.20797,0.287573,0.726668,,,3.60415,3.71533,3.30918,36.77000045776367,,,,,,,849.2000000000002,4.744134078212292,806,4.5027932960893855,,,,,,,,,,,,,,,,,,,"Hunter Brown","25880",686613
"Sonny Gray","BOS",11.1391,8.96083,12.9305,3.72019,28.131,28.131,0,0,,167.798,693.008,150.329,74.57,69.36,20.0747,45.9919,0.420926,4.87834,170.995,9.17145,2.46682,3.71793,1.07672,0.246743,0.0663656,0.1803770437836647,0.234107,1.16998,0.288769,0.723776,,,3.56179,3.56824,3.01264,137.47999572753906,,,,,,,796.2,4.739285714285715,769,4.5773809523809526,,,,,,,,,,,,,,,,,,,"Sonny Gray","12768",543243
"Joe Ryan","MIN",9.93436,10.1008,13.3753,4.13011,28.038,28.038,0,0,,168.533,697.792,150.662,82.68,77.34,27.0162,40.8844,0.44311,7.44434,186.658,9.96791,2.18331,4.56551,1.44272,0.267498,0.0585911,0.20890682563185692,0.231979,1.13655,0.283729,0.708195,,,3.86426,3.54283,2.23364,79.4000015258789,,,,,,,755.9,4.472781065088757,724,4.284023668639053,,,,,,,,,,,,,,,,,,,"Joe Ryan","21390",657746
