Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Aaron Judge","NYY",149,644,517,147,78,25,1,43,111,111,115,24,158,6,5,1,,9,2,0.285289,0.179145,0.245869,0.72862,0.418361,0.588343,0.415881,1.0067,0.303054,3.85147,0.325684,-1.05884,-0.3749,129.858,53.7643,172.157,-1.43373,2.62933,53.33550298213959,-4.57066798210144,7.25705,1.8600000143051147,,,,,,,1163.1,7.806040268,1163.1,7.806040268,,,,,,,,,,,,,,,,,,,"Aaron Judge","15640",592450
"Bobby Witt Jr.","KCR",157,679,616,177,104,37,7,29,104,95,49,6,117,7,6,1,,33,10,0.287809,0.0720544,0.172461,0.417801,0.344055,0.512129,0.361915,0.856184,0.224321,6.97416,0.311751,1.69436,1.59245,107.165,26.9357,130.837,3.28681,7.02273,27.964963674545288,14.297733306884766,6.71505,3.0799999237060547,,,,,,,997.7,6.35477707,997.7,6.35477707,,,,,,,,,,,,,,,,,,,"Bobby Witt Jr.","25764",677951
"Cal Raleigh","SEA",159,637,550,127,63,23,0,41,88,103,78,11,171,5,4,1,,8,2,0.230465,0.122086,0.268418,0.454838,0.329743,0.493663,0.34746,0.823406,0.263198,3.26146,0.252091,-1.31604,-0.308807,93.1183,17.8046,130.427,-1.62485,4.7388,21.233572006225586,11.888797760009766,6.36877,18.350000381469727,,,,,,,871.9,5.483647798,871.9,5.483647798,,,,,,,,,,,,,,,,,,,"Cal Raleigh","21534",663728
"Shohei Ohtani","LAD",157,679,575,162,81,28,5,48,129,119,94,16,164,5,4,2,,26,6,0.282115,0.137747,0.241232,0.571014,0.384687,0.598948,0.407475,0.983635,0.316833,6.78446,0.311302,0.0704774,1.74709,132.281,52.0519,165.227,1.81756,0,54.3097208738327,-16.975000381469727,6.1311,1.2400000095367432,,,,,,,1222.7,7.787898089,1222.7,7.787898089,,,,,,,,,,,,,,,,,,,"Shohei Ohtani","19755",660271
"Juan Soto","NYM",159,686,548,149,86,24,1,38,114,102,128,9,120,4,4,2,,23,5,0.272206,0.186837,0.175546,1.06432,0.410569,0.528415,0.400164,0.938984,0.256209,4.79233,0.282405,-0.570734,1.0859,129.573,48.5168,163.011,0.515164,-7.17124,51.74673926830292,-14.72123908996582,6.12329,4.679999828338623,,,,,,,1144.6,7.198742138,1144.6,7.198742138,,,,,,,,,,,,,,,,,,,"Juan Soto","20123",665742
"Gunnar Henderson","BAL",156,672,590,161,95,33,5,29,102,89,70,4,141,6,4,1,,23,5,0.273194,0.104659,0.209134,0.50044,0.35432,0.490071,0.361641,0.844391,0.216877,6.25139,0.311803,1.29987,1.33552,105.911,26.5087,135.109,2.63539,-2.11649,30.44309949874878,5.083509206771851,6.00122,12.34000015258789,,,,,,,966.1,6.192948717,966.1,6.192948717,,,,,,,,,,,,,,,,,,,"Gunnar Henderson","26289",683002
"Julio Rodríguez","SEA",159,686,625,169,105,30,2,32,96,101,48,5,151,9,4,1,,26,7,0.270511,0.0703345,0.219584,0.320309,0.330156,0.476941,0.344943,0.807097,0.20643,5.58275,0.308221,0.500728,1.54076,98.8165,17.7603,128.693,2.04149,6.53717,25.240963459014893,8.787170886993408,5.89721,9.529999732971191,,,,,,,921.4,5.794968553,921.4,5.794968553,,,,,,,,,,,,,,,,,,,"Julio Rodriguez","23697",677594
"Fernando Tatis Jr.","SDP",156,672,586,158,96,30,2,30,105,86,75,4,131,6,3,1,,26,6,0.269948,0.112003,0.194757,0.575093,0.357639,0.481703,0.360883,0.839342,0.211755,5.65212,0.299147,0.535383,1.65236,105.497,26.0947,136.54,2.18774,6.76074,31.290380477905273,-0.6392602920532227,5.42346,14.079999923706055,,,,,,,954.8,6.12051282,954.8,6.12051282,,,,,,,,,,,,,,,,,,,"Fernando Tatis Jr.","19709",665487
"Ronald Acuña Jr.","ATL",151,651,548,157,97,26,2,31,115,84,92,4,133,7,3,2,,26,6,0.285822,0.140824,0.204131,0.68987,0.393474,0.511844,0.389298,0.905318,0.226022,5.71114,0.324068,1.1668,1.55001,117.219,40.2981,151.796,2.71681,-4.10219,42.680826902389526,-11.877188682556152,5.36758,5.420000076293945,,,,,,,1039,6.880794701,1039,6.880794701,,,,,,,,,,,,,,,,,,,"Ronald Acuna Jr.","18401",660670
"Francisco Lindor","NYM",151,651,576,150,94,29,1,26,97,81,57,2,119,11,5,2,,23,5,0.261204,0.0880548,0.182081,0.483602,0.336992,0.452408,0.341434,0.789399,0.191204,5.29808,0.284593,-0.458417,1.59291,91.9206,14.9999,122.78,1.13449,3.62246,18.710659384727478,10.097458839416504,5.16341,25.670000076293945,,,,,,,831.9,5.509271523,831.9,5.509271523,,,,,,,,,,,,,,,,,,,"Francisco Lindor","12916",596019
"Mookie Betts","LAD",151,651,567,155,97,31,3,24,95,90,73,3,77,4,5,1,,9,2,0.273986,0.111962,0.117696,0.951283,0.357969,0.467903,0.356027,0.825872,0.193917,4.45685,0.277654,-0.226291,-0.239654,99.6334,22.7127,129.984,-0.465945,-3.05484,22.668914318084717,3.920161008834839,4.93637,59.0099983215332,,,,,,,876.1,5.801986754,876.1,5.801986754,,,,,,,,,,,,,,,,,,,"Mookie Betts","13611",605141
"Kyle Tucker","LAD",151,651,555,149,86,28,2,33,101,99,88,6,95,3,3,2,,22,4,0.268407,0.134808,0.146649,0.919252,0.36972,0.505122,0.373596,0.874842,0.236715,5.37164,0.269771,0.0249932,1.66779,108.919,31.9987,142.019,1.69278,-0.575392,34.113611936569214,-7.550392031669617,4.93373,13.220000267028809,,,,,,,985.8,6.528476821,985.8,6.528476821,,,,,,,,,,,,,,,,,,,"Kyle Tucker","18345",663656
"José Ramírez","CLE",157,679,602,165,99,34,3,29,95,96,66,20,80,5,6,0,,32,7,0.273401,0.0977005,0.117303,0.832892,0.34695,0.48361,0.347209,0.83056,0.210209,5.88774,0.271721,-0.0724456,2.31889,99.0573,18.8282,124.907,2.24645,1.61227,22.179306983947754,2.237273335456848,4.88917,6.079999923706055,,,,,,,964.5,6.143312101,964.5,6.143312101,,,,,,,,,,,,,,,,,,,"Jose Ramirez","13510",608070
"Alejandro Kirk","TOR",125,495,435,118,84,19,0,15,52,63,50,2,60,4,5,0,,1,0,0.272261,0.10177,0.120724,0.842998,0.349611,0.422447,0.336507,0.772058,0.150185,1.73826,0.282838,-1.32341,-0.760899,67.8583,9.41752,116.955,-2.08431,5.86283,7.799227476119995,14.587827205657959,4.88055,158.9499969482422,,,,,,,585.8,4.6864,585.8,4.6864,,,,,,,,,,,,,,,,,,,"Alejandro Kirk","22581",672386
"Corbin Carroll","ARI",147,637,553,143,78,26,12,27,104,87,68,3,133,9,5,2,,34,7,0.258549,0.1068,0.209238,0.510425,0.346616,0.493909,0.358803,0.840525,0.23536,8.21453,0.292019,2.14544,2.93842,98.9265,23.66,130.392,5.08386,4.83022,28.029467582702637,-1.7947821617126465,4.85246,14.420000076293945,,,,,,,921.4,6.26802721,921.4,6.26802721,,,,,,,,,,,,,,,,,,,"Corbin Carroll","25878",682998
"Vladimir Guerrero Jr.","TOR",157,679,590,173,106,33,0,34,98,105,78,9,92,6,5,0,,5,2,0.29369,0.114411,0.135859,0.842132,0.379322,0.521395,0.382494,0.900717,0.227705,2.7568,0.298101,-0.398813,-0.963541,118.51,38.2808,148.634,-1.36235,-1.26722,37.558151721954346,-13.592215299606323,4.84307,18.299999237060547,,,,,,,1050,6.687898089,1050,6.687898089,,,,,,,,,,,,,,,,,,,"Vladimir Guerrero Jr.","19611",665489
"Elly De La Cruz","CIN",156,672,598,157,95,31,6,25,97,89,66,6,173,4,3,1,,41,11,0.26226,0.0982061,0.257854,0.38086,0.33793,0.459205,0.341344,0.797134,0.196944,7.38593,0.32816,1.68633,2.67195,94.8365,15.4345,114.537,4.35827,0.927093,15.93624496459961,7.877092361450195,4.72387,8.529999732971191,,,,,,,897.4,5.752564102,897.4,5.752564102,,,,,,,,,,,,,,,,,,,"Elly De La Cruz","26668",682829
