Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Aaron Judge","NYY",145.031,637.46,518.133,148.58,72.6461,26.054,0.424187,49.4555,105.693,119.562,108.341,18.1717,161.958,5.98223,4.23527,0.518367,8.8839,7.82272,2.90097,0.28676,0.169958,0.254067,0.668948,0.412921,0.625031,0.428161,1.03795,0.33827,3.21978,0.318774,,-0.737802,134.895,59.5738,180.616,-0.737802,-2.34,59.83074027299881,-9.346328496932983,7.40996,1.8600000143051147,,,,,,,1201.2,8.284137931,1201.2,8.284137931,,,,,,,,,,,,,,,,,,,"Aaron Judge","15640",592450
"Bobby Witt Jr.","KCR",151.508,660.63,599.574,174.792,102.535,35.3733,5.59448,31.2891,104.698,96.8299,48.0517,5.00917,113.224,6.4303,5.70242,0.871406,6.99725,37.1645,8.40647,0.291527,0.0727362,0.171388,0.424395,0.347512,0.525742,0.369275,0.873254,0.234215,7.03262,0.311446,,2.9868,108.213,30.1545,135.907,2.9868,3.65,30.944785118103027,10.66425895690918,6.58349,3.0799999237060547,,,,,,,1017,6.690789473,1017,6.690789473,,,,,,,,,,,,,,,,,,,"Bobby Witt Jr.","25764",677951
"Cal Raleigh","SEA",150.173,624.759,539.524,120.989,58.6691,22.3594,0.862468,39.0984,82.1363,103.193,74.061,6.89836,172.944,6.22504,4.43806,0.511009,6.31869,7.37438,2.59251,0.224252,0.118543,0.276817,0.428238,0.322429,0.486297,0.34296,0.808726,0.262045,3.62041,0.246719,,-0.4586,88.9894,15.1693,127.328,-0.4586,14.95,19.66424897313118,21.713271141052246,6.43348,18.350000381469727,,,,,,,818.6,5.457333333,818.6,5.457333333,,,,,,,,,,,,,,,,,,,"Cal Raleigh","21534",663728
"Shohei Ohtani","LAD",148.471,660.145,558.783,159.029,77.9084,30.8219,3.10769,47.1912,120.983,118.395,91.1977,13.4794,156.836,4.74998,3.60491,0.744579,8.77931,25.3353,8.33883,0.284599,0.138148,0.237578,0.581486,0.387305,0.604242,0.411839,0.991547,0.319643,5.95071,0.312082,,0.593399,130.947,52.9457,168.217,0.593399,0,53.96720468997955,-14.015655517578125,6.33465,1.2400000095367432,,,,,,,1193.3,8.062837837,1193.3,8.062837837,,,,,,,,,,,,,,,,,,,"Shohei Ohtani","19755",660271
"Juan Soto","NYM",154.721,678.189,547.652,147.864,82.8759,26.4289,0.426828,38.1321,107.506,99.4817,121.453,8.89755,123.369,4.14937,3.84537,1.08931,13.8182,16.688,6.10427,0.269996,0.179084,0.18191,0.984468,0.403879,0.528698,0.397203,0.932577,0.258702,3.96301,0.281366,,-0.479773,126.467,46.3339,160.983,-0.479773,-2.99,48.538015216588974,-10.347920656204224,6.21585,4.679999828338623,,,,,,,1103.9,7.121935483,1103.9,7.121935483,,,,,,,,,,,,,,,,,,,"Juan Soto","20123",665742
"Julio Rodríguez","SEA",151.697,660.122,598.619,163.538,103.354,25.8034,6.17544,28.2055,95.714,87.3561,47.7989,3.64073,146.466,9.24977,3.88954,0.565011,10.753,25.7031,6.52578,0.273193,0.0724092,0.221877,0.326348,0.334447,0.478283,0.34756,0.81273,0.20509,6.70989,0.316319,,1.43331,96.4917,18.4932,130.496,1.43331,0.52,25.16050434112549,2.66990065574646,5.17197,9.529999732971191,,,,,,,893,5.875,893,5.875,,,,,,,,,,,,,,,,,,,"Julio Rodriguez","23697",677594
"Gunnar Henderson","BAL",152.451,659.683,583.008,155.857,93.5481,34.622,2.7184,24.968,94.2205,80.0941,64.9951,3.17676,140.412,5.72751,5.4101,0.542429,12.1802,20.6208,5.18264,0.267332,0.0985247,0.212848,0.462888,0.343749,0.464521,0.347507,0.80827,0.197189,5.59549,0.309401,,0.938297,96.399,18.4523,125.373,0.938297,-1.33,20.6658416390419,5.727916598320007,5.02344,12.34000015258789,,,,,,,883.1,5.809868421,883.1,5.809868421,,,,,,,,,,,,,,,,,,,"Gunnar Henderson","26289",683002
"Fernando Tatis Jr.","SDP",148.591,648.008,566.792,154.761,93.8461,27.6995,4.10539,29.11,99.4738,85.3559,69.8378,3.09162,128.964,6.20575,4.20589,0.966764,12.5319,23.181,7.16396,0.273047,0.107773,0.199016,0.541529,0.356708,0.490482,0.363286,0.84719,0.217435,5.89751,0.304296,,0.601287,102.995,26.4277,138.187,0.601287,4.32,29.929458022117615,-2.750302314758301,4.98656,14.079999923706055,,,,,,,929.7,6.239597315,929.7,6.239597315,,,,,,,,,,,,,,,,,,,"Fernando Tatis Jr.","19709",665487
"Vladimir Guerrero Jr.","TOR",152.945,662.68,578.513,173.064,109.538,30.8515,1.17838,31.4961,97.6332,97.9924,72.0978,6.99098,87.6268,7.14441,4.28974,0.635218,16.4771,5.82875,2.26556,0.299154,0.108797,0.132231,0.822782,0.381102,0.519886,0.383936,0.900988,0.220732,3.45193,0.305315,,-0.962153,116.437,38.1365,149.627,-0.962153,-0.37,37.79872238636017,-12.365972638130188,4.93567,18.299999237060547,,,,,,,1019.6,6.664052287,1019.6,6.664052287,,,,,,,,,,,,,,,,,,,"Vladimir Guerrero Jr.","19611",665489
"Corey Seager","TEX",123.222,528.594,455.698,125.483,73.199,23.586,0.685601,28.0128,71.2216,83.5433,59.842,8.45226,99.8131,4.6463,4.2564,0.490178,10.2633,1.75948,0.696385,0.275365,0.11321,0.188828,0.59954,0.362235,0.514549,0.370491,0.876784,0.239184,2.37971,0.293473,,-0.786454,87.1072,24.6497,141.167,-0.786454,-0.09,24.86081826686859,3.971386581659317,4.8113,94.87000274658203,,,,,,,778.5,6.329268292,778.5,6.329268292,,,,,,,,,,,,,,,,,,,"Corey Seager","13624",608369
