Team,ShortName,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,OBP,SLG,OPS,wOBA,BB%,K%,BB/K,ISO,Spd,BABIP,UBR,GDPRuns,wRC,wRAA,UZR,wBsR,BaseRunning,WAR,Off,Def,wRC+,FPTS,FPTS_G,SPTS,SPTS_G,ADP,Pos,minpos,UPURL,teamid,League,PlayerName,xMLBAMID,playerids,playerid
NYY,Yankees,149,517,644,147,78,25,1,43,111,111,115,24,158,6,5,1,,9,2,0.285289,0.418361,0.588343,1.0067,0.415881,0.179145,0.245869,0.72862,0.303054,3.85147,0.325684,-1.05884,,129.858,53.7643,2.62933,-0.3749,-1.43373,7.25705,53.33550298213959,-4.57066798210144,172.157,1163.1,7.806040268,1163.1,7.806040268,1.8600000143051147,0.37086093,OF,/players/aaron-judge/15640/stats/batting,9,AL,Aaron Judge,592450,15640,15640
KCR,Royals,157,616,679,177,104,37,7,29,104,95,49,6,117,7,6,1,,33,10,0.287809,0.344055,0.512129,0.856184,0.361915,0.0720544,0.172461,0.417801,0.224321,6.97416,0.311751,1.69436,,107.165,26.9357,7.02273,1.59245,3.28681,6.71505,27.964963674545288,14.297733306884766,130.837,997.7,6.35477707,997.7,6.35477707,3.0799999237060547,0.02531646,SS,/players/bobby-witt-jr/25764/stats/batting,7,AL,Bobby Witt Jr.,677951,25764,25764
SEA,Mariners,159,550,637,127,63,23,0,41,88,103,78,11,171,5,4,1,,8,2,0.230465,0.329743,0.493663,0.823406,0.34746,0.122086,0.268418,0.454838,0.263198,3.26146,0.252091,-1.31604,,93.1183,17.8046,4.7388,-0.308807,-1.62485,6.36877,21.233572006225586,11.888797760009766,130.427,871.9,5.483647798,871.9,5.483647798,18.350000381469727,0.23899371,C,/players/cal-raleigh/21534/stats/batting,11,AL,Cal Raleigh,663728,21534,21534
LAD,Dodgers,157,575,679,162,81,28,5,48,129,119,94,16,164,5,4,2,,26,6,0.282115,0.384687,0.598948,0.983635,0.407475,0.137747,0.241232,0.571014,0.316833,6.78446,0.311302,0.0704774,,132.281,52.0519,0,1.74709,1.81756,6.1311,54.3097208738327,-16.975000381469727,165.227,1222.7,7.787898089,1222.7,7.787898089,1.2400000095367432,0.91860465,DH,/players/shohei-ohtani/19755/stats/batting,22,NL,Shohei Ohtani,660271,19755,19755
NYM,Mets,159,548,686,149,86,24,1,38,114,102,128,9,120,4,4,2,,23,5,0.272206,0.410569,0.528415,0.938984,0.400164,0.186837,0.175546,1.06432,0.256209,4.79233,0.282405,-0.570734,,129.573,48.5168,-7.17124,1.0859,0.515164,6.12329,51.74673926830292,-14.72123908996582,163.011,1144.6,7.198742138,1144.6,7.198742138,4.679999828338623,0.01875,OF,/players/juan-soto/20123/stats/batting,25,NL,Juan Soto,665742,20123,20123
BAL,Orioles,156,590,672,161,95,33,5,29,102,89,70,4,141,6,4,1,,23,5,0.273194,0.35432,0.490071,0.844391,0.361641,0.104659,0.209134,0.50044,0.216877,6.25139,0.311803,1.29987,,105.911,26.5087,-2.11649,1.33552,2.63539,6.00122,30.44309949874878,5.083509206771851,135.109,966.1,6.192948717,966.1,6.192948717,12.34000015258789,0.05228758,SS,/players/gunnar-henderson/26289/stats/batting,2,AL,Gunnar Henderson,683002,26289,26289
SEA,Mariners,159,625,686,169,105,30,2,32,96,101,48,5,151,9,4,1,,26,7,0.270511,0.330156,0.476941,0.807097,0.344943,0.0703345,0.219584,0.320309,0.20643,5.58275,0.308221,0.500728,,98.8165,17.7603,6.53717,1.54076,2.04149,5.89721,25.240963459014893,8.787170886993408,128.693,921.4,5.794968553,921.4,5.794968553,9.529999732971191,0.00625,OF,/players/julio-rodriguez/23697/stats/batting,11,AL,Julio Rodríguez,677594,23697,23697
SDP,Padres,156,586,672,158,96,30,2,30,105,86,75,4,131,6,3,1,,26,6,0.269948,0.357639,0.481703,0.839342,0.360883,0.112003,0.194757,0.575093,0.211755,5.65212,0.299147,0.535383,,105.497,26.0947,6.76074,1.65236,2.18774,5.42346,31.290380477905273,-0.6392602920532227,136.54,954.8,6.12051282,954.8,6.12051282,14.079999923706055,0.01290323,SS/OF,/players/fernando-tatis-jr/19709/stats/batting,29,NL,Fernando Tatis Jr.,665487,19709,19709
ATL,Braves,151,548,651,157,97,26,2,31,115,84,92,4,133,7,3,2,,26,6,0.285822,0.393474,0.511844,0.905318,0.389298,0.140824,0.204131,0.68987,0.226022,5.71114,0.324068,1.1668,,117.219,40.2981,-4.10219,1.55001,2.71681,5.36758,42.680826902389526,-11.877188682556152,151.796,1039,6.880794701,1039,6.880794701,5.420000076293945,0.04210526,OF,/players/ronald-acuna-jr/18401/stats/batting,16,NL,Ronald Acuña Jr.,660670,18401,18401
NYM,Mets,151,576,651,150,94,29,1,26,97,81,57,2,119,11,5,2,,23,5,0.261204,0.336992,0.452408,0.789399,0.341434,0.0880548,0.182081,0.483602,0.191204,5.29808,0.284593,-0.458417,,91.9206,14.9999,3.62246,1.59291,1.13449,5.16341,18.710659384727478,10.097458839416504,122.78,831.9,5.509271523,831.9,5.509271523,25.670000076293945,0.0125,SS,/players/francisco-lindor/12916/stats/batting,25,NL,Francisco Lindor,596019,12916,12916
LAD,Dodgers,151,567,651,155,97,31,3,24,95,90,73,3,77,4,5,1,,9,2,0.273986,0.357969,0.467903,0.825872,0.356027,0.111962,0.117696,0.951283,0.193917,4.45685,0.277654,-0.226291,,99.6334,22.7127,-3.05484,-0.239654,-0.465945,4.93637,22.668914318084717,3.920161008834839,129.984,876.1,5.801986754,876.1,5.801986754,59.0099983215332,0,OF,/players/mookie-betts/13611/stats/batting,22,NL,Mookie Betts,605141,13611,13611
LAD,Dodgers,151,555,651,149,86,28,2,33,101,99,88,6,95,3,3,2,,22,4,0.268407,0.36972,0.505122,0.874842,0.373596,0.134808,0.146649,0.919252,0.236715,5.37164,0.269771,0.0249932,,108.919,31.9987,-0.575392,1.66779,1.69278,4.93373,34.113611936569214,-7.550392031669617,142.019,985.8,6.528476821,985.8,6.528476821,13.220000267028809,0.14179104,OF,/players/kyle-tucker/18345/stats/batting,22,NL,Kyle Tucker,663656,18345,18345
