Team,ShortName,W,L,GS,G,SV,HLD,BS,IP,TBF,H,R,ER,HR,SO,BB,IBB,HBP,ERA,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,GB%,AVG,BABIP,LOB%,FIP,FPTS,FPTS_IP,SPTS,SPTS_IP,WAR,RA9-WAR,QS,ADP,teamid,League,PlayerName,xMLBAMID,playerids,playerid
DET,Tigers,14,7,32,32,0,0,,200,790,156,65,59,19,245,40,,7,2.66859,0.980679,10.9973,1.81245,6.06765,0.84838,0.310013,0.0510928,0.25892017409205437,,0.210279,0.286644,0.775346,2.62323,1189.6999999999998,5.948499999999999,1102,5.51,6.33613,6.18169,22,6.880000114440918,6,AL,Tarik Skubal,669373,22267,22267
BOS,Red Sox,15,8,32,32,0,0,,197,796,162,69,64,20,245,52,,5,2.90048,1.08316,11.1845,2.3614,4.7364,0.894352,0.307722,0.0649696,0.24275226891040802,,0.218893,0.299639,0.774851,2.80782,1109.6000000000001,5.632487309644671,1044,5.299492385786802,5.79882,5.89967,21,12.079999923706055,3,AL,Garrett Crochet,676979,27463,27463
PIT,Pirates,13,8,32,32,0,0,,189,761,152,65,60,17,223,49,,6,2.83954,1.06669,10.6196,2.35013,4.51872,0.808429,0.293318,0.0649116,0.228406123816967,,0.216021,0.291031,0.76912,2.82403,1075.3000000000002,5.689417989417991,1005,5.317460317460317,5.41044,5.83595,21,9.779999732971191,27,NL,Paul Skenes,694973,33677,33677
PHI,Phillies,12,8,32,32,0,0,,200,820,183,78,71,18,193,49,,7,3.21389,1.16088,8.68894,2.2094,3.93271,0.802798,0.235312,0.0598347,0.17547748237848282,,0.239403,0.298371,0.743029,3.20135,1000.8,5.004,984,4.92,4.78548,5.15763,20,25.450000762939453,26,NL,Cristopher Sánchez,650911,20778,20778
SFG,Giants,14,9,32,32,0,0,,202,836,191,79,72,16,191,45,,6,3.18557,1.16832,8.49756,2.00805,4.23176,0.711908,0.228466,0.0539885,0.17447776347398758,,0.243489,0.302978,0.736235,3.02739,1030.4,5.100990099009901,1031,5.103960396039604,4.53359,4.54127,20,57.540000915527344,30,NL,Logan Webb,657277,17995,17995
KCR,Royals,11,8,29,29,0,0,,163,674,132,67,62,17,202,58,,5,3.40398,1.16467,11.1478,3.19611,3.48793,0.955779,0.299201,0.0857818,0.2134190797805786,,0.215566,0.291774,0.741913,3.19167,868.9000000000001,5.330674846625768,809,4.96319018404908,4.06341,3.7084,17,47.709999084472656,7,AL,Cole Ragans,666142,21846,21846
ATL,Braves,12,6,28,28,0,0,,165,676,138,62,58,18,200,44,,10,3.14744,1.10267,10.9041,2.40858,4.52718,0.95341,0.29623,0.0654337,0.23079676926136017,,0.221802,0.297921,0.760099,3.06446,878.8,5.326060606060606,829,5.024242424242424,3.98853,4.38289,18,39.040000915527344,16,NL,Chris Sale,519242,10603,10603
NYY,Yankees,14,9,31,31,0,0,,189,779,169,76,70,17,176,54,,7,3.32454,1.1799,8.37183,2.57912,3.246,0.812211,0.225217,0.0693828,0.15583398938179016,,0.234682,0.288245,0.736708,3.41901,919.1000000000003,4.862962962962964,893,4.724867724867725,3.90722,3.96429,19,49.81999969482422,9,AL,Max Fried,608331,13743,13743
HOU,Astros,13,8,31,31,0,0,,183,759,157,74,68,19,197,60,,7,3.34491,1.18849,9.67012,2.96264,3.26402,0.939784,0.259232,0.079421,0.1798107773065567,,0.227437,0.290415,0.751701,3.44336,905.3,4.946994535519125,861,4.704918032786885,3.77622,3.97855,19,36.77000045776367,21,AL,Hunter Brown,686613,25880,25880
BOS,Red Sox,12,10,31,31,0,0,,178,746,169,80,74,21,186,47,,5,3.71574,1.21444,9.3823,2.38644,3.9315,1.0792,0.249291,0.0634085,0.18588214367628098,,0.244156,0.304288,0.733293,3.4904,835.5000000000001,4.693820224719102,833,4.679775280898877,3.71259,3.37465,17,137.47999572753906,3,AL,Sonny Gray,543243,12768,12768
