Team,ShortName,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,OBP,SLG,OPS,wOBA,BB%,K%,BB/K,ISO,Spd,BABIP,UBR,GDPRuns,wRC,wRAA,UZR,wBsR,BaseRunning,WAR,Off,Def,wRC+,FPTS,FPTS_G,SPTS,SPTS_G,ADP,Pos,minpos,UPURL,teamid,League,PlayerName,xMLBAMID,playerids,playerid
NYY,Yankees,142,482,600,136,73,22,1,40,103,97,106,23,148,6,4,2,,8,2,0.282583,0.41524,0.582698,0.997938,0.412303,0.1772,0.246545,0.718733,0.300115,3.89982,0.322336,-1.26571,,119.243,48.3481,-0.168635,-0.357683,-1.6234,6.25852,47.66102075576782,-7.141420274972916,169.692,1070.7,7.540140845,1070.7,7.540140845,1.8600000143051147,0.37086093,OF,/players/aaron-judge/15640/stats/batting,9,AL,Aaron Judge,592450,15640,15640
KCR,Royals,142,543,600,159,94,35,4,26,94,84,45,6,100,6,4,2,,30,9,0.293029,0.350747,0.51927,0.870018,0.368171,0.0742,0.16711,0.444018,0.226241,6.69002,0.315474,1.93165,,97.7438,26.8491,5.65386,1.21814,3.14979,6.23434,28.004009246826172,12.279230117797852,135.146,900.9,6.344366197,900.9,6.344366197,3.0799999237060547,0.02531646,SS,/players/bobby-witt-jr/25764/stats/batting,7,AL,Bobby Witt Jr.,677951,25764,25764
BAL,Orioles,142,525,600,144,86,29,4,25,91,76,64,4,121,5,4,2,,21,5,0.274623,0.356884,0.488842,0.845726,0.3623,0.1064,0.201679,0.527571,0.214219,5.96581,0.310662,1.4758,,94.8842,23.9895,-1.50285,1.00324,2.47904,5.45852,27.628418684005737,5.072008013725281,135.563,856.2,6.029577464,856.2,6.029577464,12.34000015258789,0.05228758,SS,/players/gunnar-henderson/26289/stats/batting,2,AL,Gunnar Henderson,683002,26289,26289
SEA,Mariners,142,544,600,150,92,26,2,29,83,89,43,4,130,8,4,1,,22,6,0.27505,0.334493,0.490947,0.825441,0.351889,0.0715999,0.216945,0.330037,0.215897,5.61256,0.309998,0.576022,,89.8123,18.9177,5.27745,0.947958,1.52398,5.44226,25.198953986167908,7.3425774574279785,133.478,833.4,5.869014084,833.4,5.869014084,9.529999732971191,0.00625,OF,/players/julio-rodriguez/23697/stats/batting,11,AL,Julio Rodríguez,677594,23697,23697
NYM,Mets,142,477,600,130,74,22,1,33,101,86,113,8,107,4,4,2,,19,6,0.273046,0.41307,0.532708,0.945779,0.402672,0.1886,0.177958,1.0598,0.259663,4.88568,0.284649,-0.64813,,114.551,43.6562,-6.22437,0.080448,-0.567683,5.35847,45.46291518211365,-13.051473617553711,164.729,1001,7.049295774,1001,7.049295774,4.679999828338623,0.01875,OF,/players/juan-soto/20123/stats/batting,25,NL,Juan Soto,665742,20123,20123
HOU,Astros,142,510,600,153,88,30,2,33,92,97,76,12,102,8,4,1,,4,1,0.29951,0.396265,0.558334,0.954599,0.401183,0.1271,0.170002,0.747639,0.258824,3.55439,0.315864,-1.01975,,113.825,42.9309,-0.743545,-0.769493,-1.78924,4.93978,41.686888217926025,-14.056648790836334,161.479,1012.2,7.128169014,1012.2,7.128169014,33.08000183105469,0.68085106,DH/OF,/players/yordan-alvarez/19556/stats/batting,21,AL,Yordan Alvarez,670541,19556,19556
SDP,Padres,142,522,600,143,85,27,2,29,93,80,65,4,116,6,4,3,,22,5,0.274786,0.359697,0.502613,0.86231,0.368676,0.1091,0.193862,0.562772,0.227827,5.52282,0.299756,0.612353,,97.9901,27.0955,3.0918,1.2394,1.85176,4.903,31.63284707069397,-3.6731481552124023,141.879,881.9,6.21056338,881.9,6.21056338,14.079999923706055,0.01290323,SS/OF,/players/fernando-tatis-jr/19709/stats/batting,29,NL,Fernando Tatis Jr.,665487,19709,19709
LAD,Dodgers,142,506,600,139,71,23,5,40,109,91,83,15,146,4,4,3,,20,6,0.275315,0.379982,0.577767,0.957749,0.397544,0.139,0.243959,0.569768,0.302452,6.7527,0.30776,0.0783985,,112.053,41.158,0,0.8089,0.887298,4.83586,42.43433701992035,-15.130908012390137,158.424,1025.8,7.223943661,1025.8,7.223943661,1.2400000095367432,0.91860465,DH,/players/shohei-ohtani/19755/stats/batting,22,NL,Shohei Ohtani,660271,19755,19755
TEX,Rangers,142,524,600,145,87,27,1,29,84,88,65,11,109,5,4,1,,3,1,0.276032,0.358947,0.498989,0.857936,0.362735,0.1081,0.181444,0.595776,0.222957,2.81824,0.295322,-1.18771,,95.0958,24.2012,-2.48255,-0.769233,-1.95695,4.74141,23.37654161453247,2.3148772716522217,135.824,857.5,6.038732394,857.5,6.038732394,94.87000274658203,0.04901961,SS,/players/corey-seager/13624/stats/batting,13,AL,Corey Seager,608369,13624,13624
ATL,Braves,142,506,600,145,91,24,2,27,97,75,81,4,120,7,4,3,,21,5,0.28561,0.388057,0.503463,0.89152,0.383303,0.1342,0.200323,0.669918,0.217853,5.59795,0.323483,1.30165,,105.115,34.2207,-2.95023,0.925871,2.22752,4.69401,36.14031672477722,-10.223320484161377,147.689,930.7,6.554225352,930.7,6.554225352,5.420000076293945,0.04210526,OF,/players/ronald-acuna-jr/18401/stats/batting,16,NL,Ronald Acuña Jr.,660670,18401,18401
LAD,Dodgers,142,525,600,144,90,28,3,23,85,80,65,2,71,4,4,1,,8,2,0.273539,0.35541,0.467761,0.823171,0.35501,0.1081,0.117936,0.916597,0.194222,4.59068,0.277655,-0.269981,,91.3324,20.4378,-1.81476,-0.348667,-0.618648,4.60963,20.20821964740753,4.884023189544678,129.287,812.5,5.721830985,812.5,5.721830985,59.0099983215332,0,OF,/players/mookie-betts/13611/stats/batting,22,NL,Mookie Betts,605141,13611,13611
NYM,Mets,142,530,600,137,85,27,1,25,88,68,54,1,110,10,4,3,,21,5,0.258975,0.336181,0.451792,0.787974,0.341225,0.0898,0.184102,0.487772,0.192817,5.21709,0.282812,-0.533692,,84.6174,13.7228,1.47999,1.27601,0.742321,4.53344,16.83952671289444,7.508014917373657,122.636,774.1,5.45140845,774.1,5.45140845,25.670000076293945,0.0125,SS,/players/francisco-lindor/12916/stats/batting,25,NL,Francisco Lindor,596019,12916,12916
CIN,Reds,142,530,600,139,83,28,5,23,81,79,61,6,150,4,4,1,,37,10,0.263074,0.341508,0.465201,0.806709,0.344716,0.1019,0.250463,0.406846,0.202127,6.88026,0.323006,1.99219,,86.3181,15.4235,1.45718,2.12368,4.11587,4.50868,16.09599494934082,8.009628176689148,116.847,811.6,5.715492957,811.6,5.715492957,8.529999732971191,0.02469136,SS,/players/elly-de-la-cruz/26668/stats/batting,18,NL,Elly De La Cruz,682829,26668,26668
ARI,Diamondbacks,142,522,600,146,88,31,2,26,91,75,65,5,98,7,4,3,,6,2,0.279801,0.36466,0.493774,0.858434,0.367166,0.1087,0.163667,0.664154,0.213973,4.26848,0.299393,-0.101626,,97.2543,26.3597,-1.22052,-0.445221,-0.546847,4.49694,25.139931857585907,-1.1490773856639862,136.121,863.1,6.078169014,863.1,6.078169014,32.060001373291016,0.168,2B,/players/ketel-marte/13613/stats/batting,15,NL,Ketel Marte,606466,13613,13613
ARI,Diamondbacks,142,521,600,136,75,25,10,26,94,80,65,2,124,8,4,2,,32,8,0.261,0.348773,0.498269,0.847042,0.361578,0.1077,0.206675,0.521108,0.237269,7.96501,0.292774,2.62757,,94.5322,23.6376,2.41017,2.35264,4.98021,4.48913,27.944881439208984,-4.0303874015808105,132.293,871.9,6.140140845,871.9,6.140140845,14.420000076293945,0.02083333,OF,/players/corbin-carroll/25878/stats/batting,15,NL,Corbin Carroll,682998,25878,25878
TOR,Blue Jays,142,519,600,154,94,29,1,30,88,93,69,8,82,6,4,1,,5,2,0.296743,0.383084,0.530744,0.913827,0.387321,0.1157,0.13748,0.84158,0.234,3.05389,0.301238,-0.4618,,107.073,36.1779,-1.20728,-0.815152,-1.27695,4.44604,35.466272473335266,-12.66181480884552,151.958,944.1,6.648591549,944.1,6.648591549,18.299999237060547,0.15286624,1B,/players/vladimir-guerrero-jr/19611/stats/batting,14,AL,Vladimir Guerrero Jr.,665489,19611,19611
TBR,Rays,142,550,600,149,84,26,1,37,82,103,41,1,117,4,4,1,,5,2,0.27071,0.324124,0.525665,0.849788,0.360356,0.0686999,0.194491,0.35323,0.254955,3.51078,0.278848,-0.0775109,,93.9368,23.0422,-0.906993,-0.52756,-0.605071,4.44283,21.951659321784973,0.8213842511177063,131.897,852.2,6.00140845,852.2,6.00140845,16.65999984741211,0.03870968,3B,/players/junior-caminero/28163/stats/batting,12,AL,Junior Caminero,691406,28163,28163
