Team,ShortName,W,L,GS,G,SV,HLD,BS,IP,TBF,H,R,ER,HR,SO,BB,IBB,HBP,ERA,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,GB%,AVG,BABIP,LOB%,FIP,FPTS,FPTS_IP,SPTS,SPTS_IP,WAR,RA9-WAR,ADP,teamid,League,PlayerName,xMLBAMID,playerids,playerid
DET,Tigers,14,9,32,32,0,0,,200,797,159,68,62,20,243,44,,7,2.79152,1.01509,10.9412,1.95923,5.58444,0.912701,0.305017,0.054619,0.2503979504108429,0.423915,0.213645,0.288163,0.772506,2.78196,1153.6,5.768,1073,5.365,5.88932,5.79333,6.880000114440918,6,AL,Tarik Skubal,669373,22267,22267
PIT,Pirates,14,9,32,32,0,0,,200,810,163,71,65,18,244,53,,7,2.91824,1.08052,10.9925,2.39302,4.59359,0.814587,0.301684,0.0656751,0.23600903153419495,0.443775,0.217483,0.297524,0.758991,2.77753,1142.8,5.7139999999999995,1074,5.37,5.86512,5.93743,9.779999732971191,27,NL,Paul Skenes,694973,33677,33677
BOS,Red Sox,14,9,32,32,0,0,,200,803,163,73,67,20,247,52,,6,3.01971,1.07556,11.1364,2.32935,4.78092,0.910261,0.308355,0.064497,0.24385785311460495,0.454958,0.219387,0.300127,0.758414,2.84513,1130.2,5.651,1060,5.3,5.80017,5.66012,12.079999923706055,3,AL,Garrett Crochet,676979,27463,27463
ATL,Braves,14,9,32,32,0,0,,200,813,166,77,71,22,244,53,,10,3.18978,1.09111,10.9792,2.36496,4.64246,0.968183,0.299977,0.064616,0.23536096513271332,0.416542,0.220721,0.297175,0.750436,3.0353,1076.8000000000002,5.384000000000001,1013,5.065,4.91786,5.11281,39.040000915527344,16,NL,Chris Sale,519242,10603,10603
PHI,Phillies,14,10,32,32,0,0,,200,812,167,77,71,23,230,51,,9,3.19805,1.08721,10.3317,2.27348,4.54444,1.03511,0.282859,0.062243,0.2206161543726921,0.415291,0.221879,0.288005,0.756147,3.22515,1042.8999999999999,5.214499999999999,981,4.905,4.80177,5.29568,112.94999694824219,26,NL,Zack Wheeler,554430,10310,10310
PHI,Phillies,14,9,32,32,0,0,,200,820,184,78,70,18,193,51,,7,3.14724,1.17751,8.69583,2.29819,3.78377,0.797969,0.235657,0.0622811,0.17337607964873314,0.545382,0.241972,0.302413,0.747966,3.22251,992.1999999999999,4.960999999999999,978,4.89,4.75299,5.17771,25.450000762939453,26,NL,Cristopher Sánchez,650911,20778,20778
KCR,Royals,14,10,32,32,0,0,,200,827,163,80,74,22,245,72,,7,3.31059,1.17551,11.0224,3.25778,3.38341,0.992423,0.296258,0.087562,0.20869610458612442,0.398402,0.217568,0.292511,0.760032,3.30341,1038.6000000000001,5.1930000000000005,967,4.835,4.73232,4.8218,47.709999084472656,7,AL,Cole Ragans,666142,21846,21846
TEX,Rangers,13,10,32,32,0,0,,200,819,175,84,78,27,232,46,,6,3.52061,1.10032,10.4446,2.04914,5.09705,1.21517,0.283396,0.0556,0.2277957983314991,0.378878,0.227442,0.290261,0.745153,3.34411,1000.9000000000001,5.0045,957,4.785,4.63026,3.9258,49.720001220703125,13,AL,Jacob deGrom,594798,10954,10954
TBR,Rays,13,11,32,32,0,0,,200,821,173,81,74,23,222,59,,6,3.35229,1.1601,9.99332,2.64543,3.77758,1.03051,0.270486,0.0716029,0.19888288527727127,0.444956,0.228994,0.293892,0.753639,3.37074,996.3,4.9815,950,4.75,4.55073,4.39133,192.0800018310547,12,AL,Shane McClanahan,663556,21483,21483
LAD,Dodgers,14,9,32,32,0,0,,200,829,180,84,77,22,211,61,,7,3.44868,1.20534,9.47379,2.74728,3.44843,0.975959,0.254108,0.073688,0.18042001873254776,0.492277,0.236645,0.299588,0.745016,3.45646,959.4000000000001,4.797000000000001,932,4.66,4.45676,4.33403,26.780000686645508,22,NL,Yoshinobu Yamamoto,808967,33825,33825
