Team,ShortName,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,OBP,SLG,OPS,wOBA,BB%,K%,BB/K,ISO,Spd,BABIP,UBR,GDPRuns,wRC,wRAA,UZR,wBsR,BaseRunning,WAR,Off,Def,wRC+,FPTS,FPTS_G,SPTS,SPTS_G,ADP,Pos,minpos,UPURL,teamid,League,PlayerName,xMLBAMID,playerids,playerid
SEA,Mariners,150.173,539.627,624.759,126.394,59.0908,23.0143,0.496291,43.7929,87.6983,111.186,73.6998,6.89805,171.342,6.22499,4.40109,0.514089,6.40538,7.81804,2.27155,0.234225,0.330664,0.522175,0.85284,0.359211,0.117965,0.274253,0.430132,0.28795,3.5132,0.25115,,,97.2326,23.4125,14.95,-0.23883,-0.23883,7.29935,28.127243369817734,21.713271141052246,138.522,895.5,5.97,895.5,5.97,18.350000381469727,0.23899371,C,/players/cal-raleigh/21534/stats/batting,11,AL,Cal Raleigh,663728,21534,21534
NYY,Yankees,145.031,517.528,637.46,148.608,75.2786,24.1408,0.773241,48.415,104.828,117.643,108.538,18.1716,159.197,5.98223,4.28388,0.522419,9.01268,8.03256,2.88278,0.287149,0.413507,0.617435,1.03094,0.425978,0.170266,0.249736,0.681785,0.330286,3.49126,0.318882,,,133.765,58.4441,-2.34,-0.707063,-0.707063,7.29752,58.73181074857712,-9.346328496932983,179.112,1194.7,8.239310344,1194.7,8.239310344,1.8600000143051147,0.37086093,OF,/players/aaron-judge/15640/stats/batting,9,AL,Aaron Judge,592450,15640,15640
LAD,Dodgers,148.471,559.748,660.145,158.849,80.3721,26.4945,5.55656,46.4259,121.574,115.383,89.8878,13.4789,156.032,4.74997,3.63329,0.74886,8.53695,23.1039,10.7433,0.283787,0.385227,0.599796,0.985024,0.409205,0.136164,0.236361,0.576084,0.316009,6.21647,0.311488,,,129.535,51.5339,0,-0.845171,-0.845171,6.04302,51.116819739341736,-14.015655517578125,166.413,1170.3,7.907432432,1170.3,7.907432432,1.2400000095367432,0.91860465,DH,/players/shohei-ohtani/19755/stats/batting,22,NL,Shohei Ohtani,660271,19755,19755
NYM,Mets,154.721,546.9,678.189,145.712,83.0025,24.8264,0.66685,37.2161,106.93,97.0854,122.176,8.89715,121.038,4.14939,3.86973,1.09383,13.8157,17.3483,5.74112,0.266432,0.401771,0.518413,0.920184,0.392895,0.18015,0.178472,1.0094,0.251981,4.05682,0.276411,,,124.095,43.9619,-2.99,-0.204603,-0.204603,6.00132,46.441122353076935,-10.347920656204224,158.032,1090.1,7.032903225,1090.1,7.032903225,4.679999828338623,0.01875,OF,/players/juan-soto/20123/stats/batting,25,NL,Juan Soto,665742,20123,20123
KCR,Royals,151.508,599.806,660.63,170.71,101.082,36.1959,6.16594,27.2666,100.601,91.0523,47.7834,5.00911,114.439,6.43028,5.73992,0.870233,6.82434,35.2002,9.82508,0.284609,0.340918,0.501892,0.84281,0.357471,0.0723301,0.173228,0.417543,0.217283,7.13679,0.309252,,,101.882,23.8234,3.65,2.02435,2.02435,5.83726,23.65121102333069,10.66425895690918,127.776,950.5,6.253289473,950.5,6.253289473,3.0799999237060547,0.02531646,SS,/players/bobby-witt-jr/25764/stats/batting,7,AL,Bobby Witt Jr.,677951,25764,25764
SEA,Mariners,151.697,598.503,660.122,165.477,103.568,28.2014,3.87944,29.8279,96.5342,91.1022,47.9514,3.6407,148.43,9.24966,3.85505,0.562855,11.1465,25.4163,7.06542,0.276484,0.337616,0.48608,0.823696,0.352077,0.0726401,0.224852,0.323057,0.209596,6.12262,0.319851,,,98.9127,20.9142,0.52,1.15254,1.15254,5.39095,27.30074632167816,2.66990065574646,133.608,909.9,5.98618421,909.9,5.98618421,9.529999732971191,0.00625,OF,/players/julio-rodriguez/23697/stats/batting,11,AL,Julio Rodríguez,677594,23697,23697
BAL,Orioles,152.451,582.965,659.683,156.729,92.4704,33.1485,3.87315,27.2368,96.8635,82.9031,65.0961,3.17651,142.371,5.72755,5.35426,0.540394,11.9288,20.4605,5.17573,0.268848,0.345225,0.479161,0.824386,0.353186,0.0986779,0.215817,0.457229,0.210313,5.86585,0.309263,,,99.441,21.4943,-1.33,0.915497,0.915497,5.33234,23.685057044029236,5.727916598320007,129.285,905.5,5.957236842,905.5,5.957236842,12.34000015258789,0.05228758,SS,/players/gunnar-henderson/26289/stats/batting,2,AL,Gunnar Henderson,683002,26289,26289
CLE,Guardians,150.665,576.422,648.96,159.571,93.5421,33.4218,3.1622,29.4453,94.3543,89.7491,61.2354,14.925,74.4234,4.49994,5.89316,0.719608,6.99593,32.8966,10.3937,0.276831,0.347669,0.499033,0.846702,0.354841,0.0943593,0.114681,0.822798,0.222202,5.93669,0.271977,,,98.6965,22.0169,0.6,1.36996,1.36996,4.90875,24.442595601081848,1.19924658536911,130.165,935.1,6.192715231,935.1,6.192715231,6.079999923706055,0.1625,3B,/players/jose-ramirez/13510/stats/batting,5,AL,José Ramírez,608070,13510,13510
NYM,Mets,142.317,553.145,627.473,143.409,87.5791,27.117,1.63392,27.0789,87.9998,80.2163,53.5804,1.07556,117.334,9.59896,4.56221,0.701204,9.37849,22.2358,6.2784,0.259261,0.332731,0.461055,0.793786,0.342407,0.0853908,0.186994,0.456649,0.201794,5.51138,0.28147,,,89.0941,14.9534,1.02,0.887896,0.887896,4.74086,18.324426651000977,7.136438369750977,123.446,808.3,5.692253521,808.3,5.692253521,25.670000076293945,0.0125,SS,/players/francisco-lindor/12916/stats/batting,25,NL,Francisco Lindor,596019,12916,12916
TEX,Rangers,123.222,456.155,528.594,125.83,74.1421,23.6077,0.790074,27.2905,70.4302,82.9342,59.0883,8.45194,97.9033,4.64632,4.29885,0.494136,10.3016,1.82677,0.702431,0.27585,0.361635,0.51055,0.872185,0.368798,0.111784,0.185214,0.603537,0.2347,2.64753,0.293921,,,86.3804,23.9229,-0.09,-0.776724,-0.776724,4.73794,24.143754720687866,3.971386581659317,140,771.7,6.273983739,771.7,6.273983739,94.87000274658203,0.04901961,SS,/players/corey-seager/13624/stats/batting,13,AL,Corey Seager,608369,13624,13624
