Team,ShortName,W,L,GS,G,SV,HLD,BS,IP,TBF,H,R,ER,HR,SO,BB,IBB,HBP,ERA,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,GB%,AVG,BABIP,LOB%,FIP,FPTS,FPTS_IP,SPTS,SPTS_IP,WAR,RA9-WAR,QS,ADP,teamid,League,PlayerName,xMLBAMID,playerids,playerid
PIT,Pirates,14.0368,8.05422,29.891,29.891,0,0,,185.006,737.636,142.306,61.77,57.76,15.2198,216.889,45.9713,0.456139,6.56895,2.80985,1.01768,10.551,2.23637,4.71792,0.740401,0.294033,0.0623225,0.2317102588713169,,0.207717,0.280552,0.757667,2.71191,1090.3,5.893513513513513,1005,5.4324324324324325,6.04518,5.66663,14.25,9.779999732971191,27,NL,Paul Skenes,694973,33677,33677
DET,Tigers,14.5171,7.76224,29.454,29.454,0,0,,188.89,743.858,142.968,63.57,59.19,19.6623,228.388,39.1115,0.491921,6.09949,2.82021,0.963942,10.8819,1.86354,5.8394,0.936846,0.307032,0.0525793,0.25445232912898064,,0.204635,0.273649,0.766792,2.7882,1101.8000000000002,5.829629629629631,1006,5.322751322751323,6.01742,5.72612,15.1718,6.880000114440918,6,AL,Tarik Skubal,669373,22267,22267
BOS,Red Sox,13.5246,8.22817,29.34,29.34,0,0,,183.85,738.574,147.388,69.21,64.35,20.7249,223.044,45.5486,0.529481,5.28502,3.15012,1.04942,10.9187,2.22974,4.89684,1.01454,0.301993,0.061671,0.24032220244407654,,0.214307,0.285295,0.75479,3.0037,1014.1000000000001,5.511413043478262,940,5.108695652173913,5.22753,4.77398,14.6039,12.079999923706055,3,AL,Garrett Crochet,676979,27463,27463
SFG,Giants,13.5596,9.08072,30.046,30.046,0,0,,194.426,797.663,180.373,75.87,70.43,14.2363,184.283,46.1852,0.824475,5.97065,3.26021,1.16527,8.53046,2.13792,3.99008,0.658998,0.231028,0.0579007,0.17312749102711678,,0.241946,0.30373,0.729275,2.99613,1007.4000000000001,5.192783505154639,1000,5.154639175257732,5.20605,4.6615,16.0811,57.540000915527344,30,NL,Logan Webb,657277,17995,17995
PHI,Phillies,13.8758,8.14554,29.348,29.348,0,0,,187.813,767.791,168.952,74.3,68.66,16.2116,183.534,46.6756,0.479013,5.73535,3.29019,1.1481,8.79496,2.2367,3.93213,0.77686,0.239042,0.0607921,0.1782500334084034,,0.236171,0.296219,0.732528,3.14001,964.0000000000001,5.127659574468086,941,5.00531914893617,4.68568,4.47756,15.3706,25.450000762939453,26,NL,Cristopher Sánchez,650911,20778,20778
SEA,Mariners,13.3687,8.30149,29.291,29.291,0,0,,183.446,731.573,150.055,72.07,67.47,23.6865,186.312,35.0095,0.486999,6.74345,3.31013,1.00882,9.1406,1.71759,5.32175,1.16208,0.254673,0.0478551,0.20681780204176903,,0.217527,0.263365,0.743857,3.46526,915,5,849,4.639344262295082,4.39594,4.35888,14.6721,35.130001068115234,11,AL,Bryan Woo,693433,30279,30279
SEA,Mariners,11.7442,8.16623,27.956,27.956,0,0,,164.872,662.2,133.661,66.99,62.65,21.5939,193.574,38.119,0.51281,5.20777,3.41993,1.0419,10.5668,2.08083,5.07815,1.17876,0.29232,0.0575641,0.23475536704063416,,0.215975,0.277597,0.740312,3.278,861.0000000000001,5.218181818181819,798,4.836363636363636,4.16749,3.68898,12.3338,36.91999816894531,11,AL,Logan Gilbert,669302,22250,22250
ATL,Braves,10.7564,7.84908,25.583,25.583,0,0,,156.96,647.536,132.829,67.69,63.13,17.7693,193.013,44.4737,0.413463,8.31363,3.61984,1.1296,11.0673,2.5501,4.33994,1.01888,0.298073,0.0686814,0.22939156740903854,,0.223336,0.299661,0.719122,3.1564,824.5999999999999,5.252229299363057,781,4.974522292993631,4.06884,3.04213,12.4431,39.040000915527344,16,NL,Chris Sale,519242,10603,10603
LAD,Dodgers,13.0564,6.24273,26.497,26.497,0,0,,161.105,658.001,132.492,62.66,58.53,15.2619,175.471,49.2526,0.395333,5.27027,3.26973,1.12812,9.80256,2.75146,3.56268,0.852594,0.266673,0.0748519,0.19182123988866806,,0.219548,0.284026,0.742526,3.20361,851.7,5.290062111801243,798,4.956521739130435,4.0339,3.8721,12.4223,26.780000686645508,22,NL,Yoshinobu Yamamoto,808967,33825,33825
KCR,Royals,10.7753,7.83837,26.132,26.132,0,0,,153.972,633.557,120.339,61.55,57.65,17.0341,193.36,55.0325,0.507069,4.97228,3.36977,1.13898,11.3023,3.21677,3.51355,0.995678,0.305197,0.0868628,0.21833426505327225,,0.209813,0.284462,0.751178,3.23085,824.5000000000002,5.353896103896106,755,4.902597402597403,4.02376,3.50315,11.4743,47.709999084472656,7,AL,Cole Ragans,666142,21846,21846
