name,mlbam_id,espn_id,primary_position,PA,pos_adj_werth,werth_mean_sim,werth_std_sim,werth_q10_sim,werth_q90_sim,werth_skew_sim,risk_adj_werth_mc,waiver_floor,draft_value_mc
Aaron Judge,592450,33192.0,OF,637.46,18.718973832433917,18.718973832433917,2.76708185140247,15.202022128969947,22.29149704433322,-0.006843820959638089,18.718973832433917,-4.139623131043089,22.858596963477005
Shohei Ohtani,660271,39832.0,UTIL,660.145,17.682077145942323,17.682077145942323,3.9259999411754514,12.534399446741896,22.481495013657423,0.058458918180667174,17.682077145942323,-2.730910267246295,20.412987413188617
Juan Soto,665742,36969.0,OF,678.189,17.072091785726744,17.072091785726744,3.1690788548350755,12.89193363767357,20.97901039657259,-0.15214201770427965,17.07209178572674,-4.139623131043089,21.21171491676983
Ronald Acuña Jr.,660670,36185.0,OF,628.995,11.821432015433444,11.821432015433444,2.5882219811600224,8.526430037950286,15.208704943623754,0.04883759665466302,11.821432015433446,-4.139623131043089,15.961055146476536
Kyle Tucker,663656,34967.0,OF,620.3,11.17517761267123,11.17517761267123,2.257081439437815,8.246297542756809,13.932906223098174,0.008365254119201219,11.17517761267123,-4.139623131043089,15.314800743714319
Julio Rodríguez,677594,41044.0,OF,660.122,10.956111412796197,10.956111412796197,2.060189196177488,8.382998398469727,13.748189268583042,0.01953476786253284,10.956111412796199,-4.139623131043089,15.095734543839288
Corbin Carroll,682998,42404.0,OF,603.315,9.482364430805841,9.482364430805841,1.9760132706181515,7.016477943335967,12.091751019051127,0.0013004328181399423,9.482364430805841,-4.139623131043089,13.621987561848929
Kyle Schwarber,656941,33712.0,UTIL,657.028,9.198062871835031,9.198062871835031,3.145998038977253,5.191202430068892,13.238308619836234,0.0327142456617091,9.198062871835031,-2.730910267246295,11.928973139081325
Bobby Witt Jr.,677951,42403.0,SS,660.63,8.957393532602595,8.957393532602595,2.2368277261749285,6.1633100036108015,11.879885435141837,0.08404350162252099,8.957393532602595,-4.7964571447799536,13.753850677382548
Cal Raleigh,663728,41292.0,C,624.759,8.732568080841023,8.732568080841023,4.0684853772771215,3.713157179387656,13.979583046801661,0.12980315703260836,8.732568080841023,-5.97741071772182,14.709978798562844
Ketel Marte,606466,32512.0,2B,611.888,7.599796138322647,7.599796138322647,1.844120083647795,5.213101361838573,9.953943874381501,-0.009284655967540908,7.599796138322647,-2.730910267246295,10.330706405568943
José Ramírez,608070,32801.0,3B,648.96,7.595742673040032,7.595742673040032,2.1136615278992306,4.925329119134586,10.373629906930676,0.03608401162529926,7.595742673040032,-7.059204814833756,14.654947487873788
Bryce Harper,547180,30951.0,OF,606.406,7.2361202593932825,7.2361202593932825,2.099587503041297,4.609948491301436,10.001533997580704,-0.008337570368938294,7.2361202593932825,-4.139623131043089,11.375743390436371
Vladimir Guerrero Jr.,665489,35002.0,1B,662.68,7.130408103375208,7.130408103375208,2.0256188677954663,4.52558665197565,9.807032139874007,-0.037164095908810806,7.130408103375207,-4.017505808029069,11.147913911404277
Jackson Chourio,694192,4917869.0,OF,629.198,6.963880749607707,6.963880749607707,1.936147421740002,4.611474051519368,9.501819348256252,0.10157279547195958,6.963880749607706,-4.139623131043089,11.103503880650795
Fernando Tatis Jr.,665487,35983.0,SS,648.008,6.929848830189366,6.929848830189366,1.881231574481988,4.567221571061887,9.266726034817312,0.09110512147278234,6.929848830189366,-4.7964571447799536,11.72630597496932
Wyatt Langford,694671,4719324.0,OF,613.328,6.471499506171085,6.471499506171085,1.6061262594519,4.429180463811674,8.528890733932887,0.0019188341319726755,6.471499506171085,-4.139623131043089,10.611122637214173
James Wood,695578,4918256.0,OF,631.146,6.390008893823893,6.390008893823893,2.1592321170336266,3.626214038777291,9.204650555547868,0.003243350052908248,6.390008893823892,-4.139623131043089,10.52963202486698
Jazz Chisholm Jr.,665862,41433.0,2B,584.548,6.270779478944192,6.270779478944192,2.022772989705962,3.669081632032404,8.896031964452796,0.005551911567502945,6.270779478944192,-2.730910267246295,9.001689746190486
Brent Rooker,667670,40926.0,UTIL,638.626,6.2356646465356285,6.2356646465356285,2.3487163707620047,3.3260740617570455,9.308811952230357,0.041603413094890664,6.235664646535628,-2.730910267246295,8.966574913781923
Mookie Betts,605141,33039.0,OF,621.763,5.963632238986577,5.963632238986577,1.921425661803074,3.530292227116722,8.41220186031983,0.10277517812347538,5.963632238986575,-4.139623131043089,10.103255370029665
Gunnar Henderson,683002,42507.0,SS,659.683,5.946911560948122,5.946911560948122,2.047776176428388,3.363067392418002,8.58653389306841,0.04227654807206769,5.946911560948123,-4.7964571447799536,10.743368705728077
Riley Greene,682985,42179.0,OF,629.417,5.91684067415391,5.91684067415391,1.979639564066477,3.3245886048546547,8.418618309087158,0.10620165584967156,5.91684067415391,-4.139623131043089,10.056463805196998
Junior Caminero,691406,4905921.0,3B,636.417,5.905875568325386,5.905875568325386,2.713144397325881,2.4312606913722843,9.314458951186923,0.03335212062026724,5.905875568325386,-7.059204814833756,12.965080383159142
Pete Crow-Armstrong,691718,4717833.0,OF,618.554,5.8623226263972015,5.8623226263972015,2.9488380700754404,2.124061719189731,9.575060847155891,0.03280507375836978,5.862322626397201,-4.139623131043089,10.00194575744029
Nick Kurtz,701762,4966637.0,1B,576.852,5.6033129760561895,5.6033129760561895,2.0334534855722692,2.9750760770429436,8.244059242615814,0.12217632837702676,5.6033129760561895,-4.017505808029069,9.620818784085259
Randy Arozarena,668227,36488.0,OF,652.895,5.393376961435178,5.393376961435178,1.9216834931784872,2.9745870607068015,7.845055765312697,0.10460130566057216,5.393376961435177,-4.139623131043089,9.533000092478265
Pete Alonso,624413,37498.0,1B,655.341,5.265325051276804,5.265325051276804,2.3062023853152795,2.381177760644916,8.18430638281934,-0.09950688530797054,5.265325051276804,-4.017505808029069,9.282830859305873
George Springer,543807,32078.0,OF,568.236,4.798704237788915,4.798704237788915,1.4089459510118651,2.977110478329056,6.640101211102833,0.006479413725556704,4.798704237788915,-4.139623131043089,8.938327368832002
