name,mlbam_id,espn_id,pitcher_type,IP,pos_adj_werth,werth_mean_sim,werth_std_sim,werth_q10_sim,werth_q90_sim,werth_skew_sim,risk_adj_werth_mc,waiver_floor,draft_value_mc
Tarik Skubal,669373,42409.0,SP,188.89,15.174483022125397,15.174483022125397,2.1438505429495605,12.38445926075651,17.96806915481692,-0.03491662661187861,15.174483022125397,-1.736263707780635,16.91074672990603
Paul Skenes,694973,4719507.0,SP,185.006,11.70953158380988,11.70953158380988,2.2143325150127002,8.875754941325352,14.5377325428809,0.10603137505911772,11.70953158380988,-1.736263707780635,13.445795291590516
Garrett Crochet,676979,4297835.0,SP,183.85,9.940770250311783,9.940770250311783,1.7005290192765186,7.745947393009177,12.125088992750136,0.0290050547095639,9.940770250311784,-1.736263707780635,11.67703395809242
Bryan Woo,693433,4629089.0,SP,183.446,8.287331630569557,8.287331630569557,1.953770700316244,5.842625750243445,10.85869188435461,0.18302962272600715,8.28733163056956,-1.736263707780635,10.023595338350194
Logan Gilbert,669302,41221.0,SP,164.872,7.501347195205223,7.501347195205223,1.6226653645096911,5.402853147223844,9.633842813288911,0.07325173955452938,7.5013471952052235,-1.736263707780635,9.237610902985859
Chris Sale,519242,30948.0,SP,156.96,7.194850451260156,7.194850451260156,1.8223758365692246,4.897351396120291,9.60810481639893,0.27053342547947057,7.194850451260156,-1.736263707780635,8.931114159040792
Jacob deGrom,594798,32796.0,SP,157.859,6.715699877545487,6.715699877545487,1.8500023693776277,4.328338467938212,9.081587291097042,0.17825612673791927,6.715699877545487,-1.736263707780635,8.451963585326123
Cristopher Sánchez,650911,42359.0,SP,187.813,6.017099201609647,6.017099201609647,1.6808551651569377,3.8972726016958235,8.189649456409764,0.19258386813846334,6.017099201609648,-1.736263707780635,7.753362909390283
George Kirby,669923,42406.0,SP,165.613,5.821460590830333,5.821460590830333,1.6038821391558682,3.7601488128618477,7.935615003428768,0.10767567934716199,5.821460590830333,-1.736263707780635,7.557724298610968
Logan Webb,657277,41216.0,SP,194.426,5.620707677569783,5.620707677569783,1.700890124532704,3.4340748037038367,7.74825786851285,0.01367374125036155,5.620707677569782,-1.736263707780635,7.356971385350417
Joe Ryan,657746,42450.0,SP,168.533,5.257129033226922,5.257129033226922,1.520034595409167,3.282456146831155,7.219893098451526,0.1732352491768741,5.257129033226922,-1.736263707780635,6.993392741007557
Yoshinobu Yamamoto,808967,4872587.0,SP,161.105,5.007004081671438,5.007004081671438,1.7741867020423514,2.769604739957123,7.278913015155808,0.18669909568848767,5.007004081671438,-1.736263707780635,6.743267789452073
Zack Wheeler,554430,31267.0,SP,129.846,4.702257069343647,4.702257069343647,1.771496852320276,2.4443550809669023,7.0091149795640515,0.19266500372588155,4.702257069343647,-1.736263707780635,6.438520777124282
Mason Miller,695243,4730225.0,RP,64.3259,4.233440474997448,4.233440474997448,1.3209689219286198,2.5202779343216557,5.962699081842123,0.11817084556173221,4.2334404749974475,-0.6812617159613445,4.914702190958792
Cole Ragans,666142,41054.0,SP,153.972,3.7155626638522548,3.7155626638522548,1.516855486290848,1.7920060878095883,5.712359991417809,0.2118335549982709,3.7155626638522543,-1.736263707780635,5.451826371632889
Max Fried,608331,32685.0,SP,180.199,3.488928606053803,3.488928606053803,1.6280252942938631,1.441018195580547,5.589045650545325,0.09278904461587854,3.4889286060538027,-1.736263707780635,5.225192313834437
Hunter Brown,686613,4717803.0,SP,178.999,3.4803665208586883,3.4803665208586883,1.681299637176191,1.3338660943422693,5.65494657974671,0.06407567449124289,3.4803665208586883,-1.736263707780635,5.216630228639323
Cade Smith,671922,4987924.0,RP,67.7451,3.4271550403561766,3.4271550403561766,1.3130438268402744,1.7276734557854472,5.164075666670948,0.17864497340528473,3.4271550403561766,-0.6812617159613445,4.108416756317521
Jesús Luzardo,666200,39667.0,SP,176.012,3.3969059833699897,3.3969059833699897,1.6138835517539751,1.2947600530042616,5.521070375225315,0.1618356426529079,3.396936409053906,-1.736263707780635,5.133200116834541
Nathan Eovaldi,543135,31174.0,SP,153.424,3.2845878947076574,3.2845878947076574,1.5350922139532004,1.4103205751468062,5.290023314002789,0.3370434360375208,3.284587894707657,-1.736263707780635,5.0208516024882925
Edwin Díaz,621242,35394.0,RP,64.883,3.0910678461011796,3.0910678461011796,1.8242483065897726,0.806511414721701,5.514761894852141,0.32889612746528524,3.092194527473859,-0.6812617159613445,3.7734562434352035
Jared Lyons,805723,,SP,6.40282,-3.2913863997595794,-3.2913863997595794,13.673670579059067,-23.09065794505298,7.342950233423441,-1.5384522892716275,2.749582971200065,-1.736263707780635,4.4858466789807
Ben Kudrna,695667,,RP,12.2912,-3.4542483373446746,-3.4542483373446746,14.213940364550743,-22.108992653995905,5.7590483319905506,-2.214825999421752,2.7162901710112948,-0.6812617159613445,3.3975518869726393
Sonny Gray,543243,32082.0,SP,167.798,2.7069367231799877,2.7069367231799877,1.4940747445405234,0.7863767313043014,4.609412935271838,0.06341551375425065,2.707039113963759,-1.736263707780635,4.443302821744394
Shohei Ohtani,660271,39832.0,SP,113.22,2.587246138954877,2.587246138954877,1.8198147103978426,0.26649712344323306,5.012081220947365,0.2653954017083815,2.5889356836540185,-1.736263707780635,4.325199391434653
Brandon Woodruff,605540,37515.0,SP,141.725,2.573117415592707,2.573117415592707,1.615106168604076,0.5219680678534276,4.681333052715878,0.12617810187407247,2.5742259142974784,-1.736263707780635,4.310489622078114
Griffin Jax,643377,42604.0,RP,63.1288,2.5471054897978345,2.5471054897978345,1.1187734061973422,1.1114739597220558,3.9885824682057347,0.11226458490756602,2.547106984699987,-0.6812617159613445,3.2283687006613317
Shota Imanaga,684007,5134630.0,SP,154.408,2.389805241811133,2.389805241811133,1.2711898934476131,0.760946302431364,3.991128437871433,0.09251559889126384,2.389805241811133,-1.736263707780635,4.126068949591768
Jhoan Duran,661395,41109.0,RP,65.6282,2.3805238516562723,2.3805238516562723,1.2460989699032161,0.7310564156741917,3.9756126488253645,0.08967388881335542,2.380908378705446,-0.6812617159613445,3.0621700946667905
Miguel Ullola,699044,,RP,14.2562,-3.0728933318733596,-3.0728933318733596,13.607822874630505,-18.997473871868365,4.571307712028254,-2.5994737646531223,2.3660915816586967,-0.6812617159613445,3.0473532976200413
Nick Pivetta,601713,36071.0,SP,166.467,2.2463704838276617,2.2463704838276617,1.431545554741474,0.41071608701780576,4.117556128449982,0.025919074441807542,2.246877922633597,-1.736263707780635,3.983141630414232
Andrés Muñoz,662253,40939.0,RP,61.4268,1.9369410547019434,1.9369410547019434,1.8005579100416624,-0.3213533416585762,4.356491331553457,0.3989014824724735,1.960148510625677,-0.6812617159613445,2.6414102265870216
Chase Burns,695505,4927516.0,SP,124.481,1.9053969700007007,1.9053969700007007,1.9783764924450908,-0.4928625598922136,4.493387668467382,0.5173437624146239,1.9163866787001251,-1.736263707780635,3.6526503864807602
Drew Rasmussen,656876,42584.0,SP,151.437,1.768032181479477,1.768032181479477,1.387085333869855,-0.026321856888567682,3.5735739930482175,0.12407139189987466,1.76886807934416,-1.736263707780635,3.505131787124795
